loss,mae,val_loss,val_mae
0.2024163156747818,0.31676578521728516,0.08930780738592148,0.23610658943653107
0.07971224188804626,0.20781542360782623,0.07093649357557297,0.21830253303050995
0.06362630426883698,0.18674197793006897,0.030917253345251083,0.13709154725074768
0.03961462527513504,0.14596199989318848,0.016915950924158096,0.09875543415546417
0.03138240799307823,0.12969909608364105,0.014174205251038074,0.08872831612825394
0.026748133823275566,0.1161041259765625,0.013354464434087276,0.08441583812236786
0.021764889359474182,0.10526048392057419,0.011839439161121845,0.07945407927036285
0.01888897642493248,0.09970337897539139,0.009023702703416348,0.06858240067958832
0.017393875867128372,0.09385128319263458,0.007338676135987043,0.06085842102766037
0.017199330031871796,0.09125636518001556,0.0065569523721933365,0.05663174018263817
0.017828667536377907,0.09098032861948013,0.005968508310616016,0.053754184395074844
0.01350407488644123,0.08343462646007538,0.005546951200813055,0.052057407796382904
0.012409551069140434,0.07794711738824844,0.005055613815784454,0.04962962120771408
0.011608975939452648,0.07498545199632645,0.004690438974648714,0.04809262603521347
0.010527952574193478,0.07202057540416718,0.004347394686192274,0.04620204120874405
0.010210718028247356,0.06873750686645508,0.004059184342622757,0.044340234249830246
0.008928126655519009,0.06500735878944397,0.0037177701015025377,0.04208391159772873
0.008999394252896309,0.06482455879449844,0.003437981242313981,0.04009091854095459
0.008150025270879269,0.06149293854832649,0.00323084881529212,0.03860582038760185
0.007468636147677898,0.05933171510696411,0.003046847879886627,0.0372205451130867
0.008148438297212124,0.05965075269341469,0.0029112277552485466,0.03609487786889076
0.0066575175151228905,0.05436483025550842,0.0027579679153859615,0.03471202775835991
0.006841107737272978,0.05452784150838852,0.0025813726242631674,0.03315472975373268
0.006371249444782734,0.052095819264650345,0.00246089487336576,0.03200430050492287
0.005857724230736494,0.05044186860322952,0.0023448585998266935,0.03092687763273716
0.005203723907470703,0.047945741564035416,0.0022293305955827236,0.029758594930171967
0.005363764241337776,0.04710736125707626,0.002124188467860222,0.02863539755344391
0.004581640940159559,0.043234534561634064,0.0020232279784977436,0.02750692516565323
0.00439427187666297,0.04223320260643959,0.0019383798353374004,0.026464277878403664
0.0043134321458637714,0.042212244123220444,0.0018733962206169963,0.02571147121489048
0.00445850333198905,0.04127217456698418,0.0018184218788519502,0.025037147104740143
0.004067612811923027,0.040705110877752304,0.0017633201787248254,0.02430744282901287
0.003926516976207495,0.03907054290175438,0.001712851575575769,0.023575909435749054
0.0038200090639293194,0.03868340328335762,0.0016723276348784566,0.022964196279644966
0.003499803366139531,0.036901913583278656,0.0016420838655903935,0.022555794566869736
0.0038205375894904137,0.038210686296224594,0.0015996152069419622,0.021989798173308372
0.0039687505923211575,0.036925412714481354,0.0015457351692020893,0.02126462198793888
0.0030673544388264418,0.03435921296477318,0.001494591822847724,0.020594149827957153
0.0032100582029670477,0.03378847613930702,0.0014475038042291999,0.020003555342555046
0.0028791457880288363,0.032769959419965744,0.0014060500543564558,0.019502412527799606
