split,variant,family,family_label,removed_features,n_removed_features,mae,rmse,direction_acc,pred_real_corr,train_mae,train_rmse,n_train_rows,n_test_rows,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown,turnover_total,tc_total,n_reb
split_001_2015-03-31_2017-06-28,full,full,Full model,,0,0.016426024958491325,0.02259630337357521,0.503968253968254,0.028164360097346925,0.019816486164927483,0.02631719410419464,2016,252,0.17794261697049807,0.07219208211839995,2.304642613354896,4.309537798096777,0.041792037156612505,-0.014359538671363414,3.0,0.003,3
split_001_2015-03-31_2017-06-28,without_return_level,return_level,Return-level family,"ret_mean_5, ret_mean_10, ret_mean_20, ret_mean_60",4,0.009988968260586262,0.013090305030345917,0.5,0.021684441019119108,0.012610151432454586,0.017044031992554665,2016,252,0.28921856174081273,0.06969880170922885,3.680912643827338,5.909371329246442,0.06556914746779863,-0.010840086142222094,3.810805596184432,0.0038108055961844317,3
split_001_2015-03-31_2017-06-28,without_volatility,volatility,Volatility family,"ret_std_5, ret_std_10, ret_std_20, ret_std_60",4,0.009160091169178486,0.011520667001605034,0.5277777777777778,0.03521643936426612,0.012883450835943222,0.017801539972424507,2016,252,0.20568580608725995,0.08073438401291373,2.3573543829225487,3.8931545064941924,0.04787272685411881,-0.02088912475865834,2.7,0.0027,3
split_001_2015-03-31_2017-06-28,without_momentum,momentum,Momentum family,"mom_5, mom_10, mom_20, mom_60",4,0.012544439174234867,0.015803759917616844,0.4722222222222222,0.04326801347926012,0.014287831261754036,0.019541576504707336,2016,252,0.2583845485460756,0.08096516864087856,2.8796707142471325,4.994650552392303,0.05913993691606989,-0.016457732680508208,3.4,0.0034,3
split_001_2015-03-31_2017-06-28,without_macd,macd,MACD family,"macd_12_26, macd_signal_9, macd_hist",3,0.013722263276576996,0.01980637013912201,0.49206349206349204,0.01519409893499691,0.015833228826522827,0.020977554842829704,2016,252,0.2330102515249488,0.054815378351452275,3.8497111571948675,6.4203330613507,0.053759909803036354,-0.00921374232121841,1.3687259191100232,0.0013687259191100232,3
split_001_2015-03-31_2017-06-28,without_rsi,rsi,RSI family,rsi_14,1,0.015422233380377293,0.020963720977306366,0.4603174603174603,-0.1362862965610577,0.016952181234955788,0.02258097566664219,2016,252,0.1738968258330167,0.0513389420270565,3.149181863178328,5.430990168018135,0.04089634144889098,-0.009163525753159152,2.045325415658474,0.002045325415658474,3
split_001_2015-03-31_2017-06-28,without_volume,volume,Volume family,"volume, volume_chg, volume_roll_mean_20",3,0.0180599894374609,0.02367357350885868,0.47619047619047616,-0.025581899095399277,0.019340727478265762,0.02554762363433838,2016,252,0.20113062839119977,0.052824725552669885,3.496501987006194,5.953291939755904,0.0468815847105879,-0.009258744285543186,1.8573184374554774,0.0018573184374554774,3
split_002_2015-06-30_2017-09-27,full,full,Full model,,0,0.014912573620676994,0.019375551491975784,0.5595238095238095,0.011022816602611306,0.018966546282172203,0.02643888257443905,2016,252,0.1244290332881075,0.06586930876324036,1.8132676993086148,2.7035586560889535,0.029752873912471056,-0.017663270087893923,3.4471698319418014,0.0034471698319418014,3
split_002_2015-06-30_2017-09-27,without_return_level,return_level,Return-level family,"ret_mean_5, ret_mean_10, ret_mean_20, ret_mean_60",4,0.01027118880301714,0.013077394105494022,0.5357142857142857,0.16036059644727996,0.012316364794969559,0.016624443233013153,2016,252,0.10518031666641225,0.08626100169543481,1.2021219273587702,1.6724066153386694,0.025317300387817765,-0.04423284036489872,3.2666666666666666,0.003266666666666667,3
split_002_2015-06-30_2017-09-27,without_volatility,volatility,Volatility family,"ret_std_5, ret_std_10, ret_std_20, ret_std_60",4,0.009440227411687374,0.012299487367272377,0.5079365079365079,0.0999944716932418,0.012423115782439709,0.016764473170042038,2016,252,0.10700706783865477,0.08652994312033306,1.2177494621728455,1.6888832159761376,0.025740724447173235,-0.042565994773969384,2.661473672263542,0.0026614736722635423,3
split_002_2015-06-30_2017-09-27,without_momentum,momentum,Momentum family,"mom_5, mom_10, mom_20, mom_60",4,0.014051675796508789,0.01796692982316017,0.503968253968254,0.05017450434964075,0.014130178838968277,0.01883634738624096,2016,252,-0.029360320147355456,0.07957896979830499,-0.33518082517183584,-0.42982851055934324,-0.007422307877121281,-0.04423284036489872,3.666666666666667,0.003666666666666667,3
split_002_2015-06-30_2017-09-27,without_macd,macd,MACD family,"macd_12_26, macd_signal_9, macd_hist",3,0.014140462502837181,0.01862974278628826,0.49603174603174605,0.017871528999870788,0.016975458711385727,0.02224864438176155,2016,252,-0.04263452811747037,0.06776935989935787,-0.6094306916962083,-0.7714315990904859,-0.010833408132133737,-0.035708049572737766,3.166666666666667,0.003166666666666667,3
split_002_2015-06-30_2017-09-27,without_rsi,rsi,RSI family,rsi_14,1,0.01366680208593607,0.01877199299633503,0.503968253968254,0.02531468715521966,0.017230302095413208,0.023378808051347733,2016,252,0.12707189257745743,0.0816604257147992,1.5055064459616874,2.0983726822344915,0.030357424405963895,-0.03878304642967412,2.8666666666666667,0.0028666666666666667,3
split_002_2015-06-30_2017-09-27,without_volume,volume,Volume family,"volume, volume_chg, volume_roll_mean_20",3,0.01889285072684288,0.023522434756159782,0.48412698412698413,0.059333016331925885,0.02048792503774166,0.02701166644692421,2016,252,0.01171504602831952,0.07037421419622603,0.2002456989472927,0.2573716279295256,0.0029159822656852352,-0.034360565510236585,4.2,0.004200000000000001,3
split_003_2015-09-29_2017-12-27,full,full,Full model,,0,0.03385994955897331,0.04302212968468666,0.5317460317460317,0.07918787420169075,0.026289066299796104,0.034239720553159714,2016,252,0.182057006667099,0.05887200193989956,2.870910593959223,4.613534766748865,0.04270055668674644,-0.018995527485386132,3.0121817506768886,0.0030121817506768888,3
split_003_2015-09-29_2017-12-27,without_return_level,return_level,Return-level family,"ret_mean_5, ret_mean_10, ret_mean_20, ret_mean_60",4,0.011095879599452019,0.014533521607518196,0.44841269841269843,-0.03803524517767911,0.01208335068076849,0.016175802797079086,2016,252,0.25228492023366145,0.04753716993719327,4.757993594640184,8.394726082098545,0.0578541343688983,-0.010145460866609723,2.0502478498390495,0.0020502478498390497,3
split_003_2015-09-29_2017-12-27,without_volatility,volatility,Volatility family,"ret_std_5, ret_std_10, ret_std_20, ret_std_60",4,0.009658429771661758,0.012749885208904743,0.4722222222222222,-0.014296269223363313,0.012194578535854816,0.016596008092164993,2016,252,0.19653009493040163,0.05021522085143955,3.599089864153189,6.4763663511652965,0.04587770829303017,-0.013398711535177132,2.3845806845323145,0.0023845806845323144,3
split_003_2015-09-29_2017-12-27,without_momentum,momentum,Momentum family,"mom_5, mom_10, mom_20, mom_60",4,0.013959825970232487,0.017270199954509735,0.47619047619047616,-0.008988680725649461,0.01366658415645361,0.018317759037017822,2016,252,0.18030873492423583,0.05279477273136918,3.167023731020738,4.975278792981613,0.042314802060057666,-0.01899552748538602,2.0,0.002,3
split_003_2015-09-29_2017-12-27,without_macd,macd,MACD family,"macd_12_26, macd_signal_9, macd_hist",3,0.015924585983157158,0.020411845296621323,0.47619047619047616,-0.049491586201985384,0.015947749838232994,0.021308843046426773,2016,252,0.18491410655262164,0.06305174839837004,2.722887193080236,4.407085172550247,0.04333005322952199,-0.017673152046814633,2.8666666666666667,0.0028666666666666667,3
split_003_2015-09-29_2017-12-27,without_rsi,rsi,RSI family,rsi_14,1,0.017263399437069893,0.021214956417679787,0.5,0.024660252657404503,0.017378976568579674,0.023462433367967606,2016,252,0.1660200487277581,0.06153867125712034,2.526954378455783,4.043609976840871,0.039145842654384255,-0.017673152046814522,3.1994090546430813,0.0031994090546430816,3
split_003_2015-09-29_2017-12-27,without_volume,volume,Volume family,"volume, volume_chg, volume_roll_mean_20",3,0.016517404466867447,0.02103612944483757,0.4642857142857143,-0.0013672873812097814,0.019774332642555237,0.026596536859869957,2016,252,0.23774440696711374,0.06013210457476243,3.5780798991508087,6.390605944256773,0.05476993719165968,-0.012914479291855074,2.527725404396013,0.002527725404396013,3
split_004_2015-12-29_2018-03-29,full,full,Full model,,0,0.06914826482534409,0.09671139717102051,0.49603174603174605,0.06739816444491033,0.05349363759160042,0.07225100696086884,2016,252,0.09478659780596588,0.11808730159995946,0.8255304690220644,1.0502531950296135,0.022898090887721878,-0.08005282669985969,3.678923837657538,0.003678923837657538,3
split_004_2015-12-29_2018-03-29,without_return_level,return_level,Return-level family,"ret_mean_5, ret_mean_10, ret_mean_20, ret_mean_60",4,0.01660245470702648,0.02351374365389347,0.49206349206349204,0.023638404381172106,0.012152192182838917,0.01660868339240551,2016,252,-0.08366442362530768,0.16000640552259912,-0.46647774995453833,-0.5725908888087112,-0.021606323673987515,-0.09239696896183702,2.2862192184081858,0.002286219218408186,3
split_004_2015-12-29_2018-03-29,without_volatility,volatility,Volatility family,"ret_std_5, ret_std_10, ret_std_20, ret_std_60",4,0.016506848856806755,0.022232115268707275,0.5476190476190477,0.19726640010204552,0.01295916736125946,0.018053444102406502,2016,252,0.01754803527463955,0.132353175935414,0.19709533502238252,0.24618434624523777,0.004358432041192684,-0.08360964992334308,2.532977119391253,0.002532977119391253,3
split_004_2015-12-29_2018-03-29,without_momentum,momentum,Momentum family,"mom_5, mom_10, mom_20, mom_60",4,0.018355272710323334,0.027418162673711777,0.5674603174603174,0.09118748867805207,0.014330066740512848,0.01956212893128395,2016,252,-0.08959231483954311,0.16068705941472158,-0.5044682640141306,-0.6338705890311873,-0.02319251509050957,-0.09646870897854343,3.304134655293666,0.003304134655293666,3
split_004_2015-12-29_2018-03-29,without_macd,macd,MACD family,"macd_12_26, macd_signal_9, macd_hist",3,0.02207312174141407,0.029359176754951477,0.5198412698412699,-0.039691583635357894,0.016709912568330765,0.02215634286403656,2016,252,-0.06616090413773357,0.16051991203493032,-0.34656132978553617,-0.4223543973391042,-0.01696719047381301,-0.09559614727695653,3.046113816504323,0.003046113816504323,3
split_004_2015-12-29_2018-03-29,without_rsi,rsi,RSI family,rsi_14,1,0.024888137355446815,0.034745778888463974,0.5198412698412699,0.11893640298087975,0.01822568289935589,0.02530776336789131,2016,252,-0.16553347700744125,0.14615431743273932,-1.16528022450683,-1.4165292680648616,-0.0442325639285166,-0.08588042497196757,3.08514241402362,0.00308514241402362,3
split_004_2015-12-29_2018-03-29,without_volume,volume,Volume family,"volume, volume_chg, volume_roll_mean_20",3,0.03138779476284981,0.04642718285322189,0.49206349206349204,-0.03048175389210543,0.021723905578255653,0.02975158579647541,2016,252,0.029422844509489066,0.12202686733706003,0.29786456692707514,0.3940178275112647,0.007275916799325932,-0.06924366623387224,3.787528409677528,0.003787528409677528,3
split_005_2016-03-31_2018-06-28,full,full,Full model,,0,0.01702168956398964,0.023124556988477707,0.5357142857142857,0.07781109549390482,0.018984710797667503,0.026478728279471397,2016,252,0.1018322001059413,0.10315145148311194,0.9912156703759273,1.3400758843846703,0.02453987325120166,-0.02754332043264196,2.5063182672571154,0.0025063182672571153,3
