#{"t_start": 1773781204.8139353, "env_id": "None"}
r,l,t
9.276075,24,0.091012
23.602561,24,0.184597
5.761539,24,0.319306
7.619,24,0.433769
2.608887,24,0.526584
24.847981,24,0.67847
19.404741,24,0.803158
18.138608,24,0.903219
17.759268,24,1.056281
32.54288,24,1.158531
20.397877,24,1.292029
21.456678,24,1.369653
19.717649,24,1.451922
6.367303,24,1.575284
18.889975,24,1.673446
-0.098562,24,1.780033
10.143648,24,1.938118
22.888346,24,2.030356
20.316987,24,2.166353
29.526766,24,2.256936
14.460644,24,2.337865
10.479048,24,2.479388
22.270298,24,2.575654
-1.755573,24,2.665823
9.447521,24,2.837485
21.983484,24,2.931522
15.79855,24,3.12525
8.429656,24,3.276916
24.177629,24,3.362397
10.601319,24,3.52549
28.357345,24,3.653589
11.1309,24,3.775258
17.011824,24,4.052846
22.471591,24,4.217694
16.751962,24,4.475671
21.474872,24,4.58301
20.057178,24,4.674865
29.712981,24,4.813451
9.094204,24,4.895024
15.144501,24,4.981528
4.786221,24,5.13199
1.577572,24,5.219037
16.170878,24,5.338176
11.847005,24,5.41883
22.086592,24,5.491668
16.105598,24,5.662932
35.893237,24,5.775149
9.399577,24,5.867386
19.060284,24,6.062214
9.704615,24,6.140671
20.557887,24,6.277376
26.85608,24,6.38841
24.019969,24,6.483818
18.145899,24,6.629696
27.064225,24,6.737121
29.145176,24,6.810024
30.132939,24,6.930175
33.556645,24,7.041728
28.028598,24,7.197806
10.182922,24,7.301234
28.626515,24,7.391399
12.262327,24,7.562097
29.935933,24,7.652339
17.902672,24,7.732116
15.315106,24,7.875593
25.561946,24,7.950027
26.744262,24,8.081823
22.384887,24,8.192751
28.611491,24,8.292759
35.57846,24,8.452013
28.568427,24,8.556813
17.250698,24,8.634856
16.488374,24,8.78832
31.011457,24,8.878053
33.018773,24,9.005375
23.123053,24,9.111631
38.084646,24,9.1869
29.466671,24,9.321118
30.363783,24,9.42207
31.246688,24,9.494855
31.913536,24,9.682139
14.991427,24,9.794809
31.453821,24,9.922393
13.612839,24,10.020627
33.264539,24,10.104288
28.655126,24,10.244801
17.383737,24,10.357078
34.080225,24,10.443575
27.058357,24,10.569465
29.627675,24,10.671724
25.826606,24,10.812072
24.227696,24,10.905785
40.482757,24,11.004063
31.226999,24,11.158795
34.218725,24,11.265578
37.541778,24,11.367507
32.99825,24,11.499367
30.083179,24,11.588201
32.543278,24,11.716844
35.091446,24,11.805508
31.827948,24,11.898623
35.698459,24,12.024699
30.963606,24,12.118924
23.708578,24,12.205137
40.118431,24,12.343464
34.779105,24,12.447863
23.181151,24,12.573107
23.615085,24,12.664582
37.534187,24,12.742433
31.131227,24,12.853036
30.704019,24,12.93318
35.534425,24,13.019943
37.573156,24,13.1418
31.449276,24,13.22877
38.573718,24,13.354676
30.617857,24,13.435439
33.369065,24,13.52119
30.326801,24,13.662339
32.079813,24,13.764956
32.617538,24,13.842188
22.574058,24,13.973081
32.90349,24,14.074316
33.558637,24,14.20475
46.798375,24,14.307143
30.330171,24,14.387035
39.093292,24,14.507676
31.254968,24,14.603953
27.641581,24,14.67572
35.403954,24,14.798664
37.004652,24,14.883936
29.487699,24,15.007102
28.570915,24,15.110798
29.788364,24,15.18529
31.382096,24,15.317472
30.544348,24,15.404172
37.125176,24,15.493001
36.784599,24,15.62201
38.792272,24,15.727631
35.090201,24,15.842709
35.01163,24,15.917513
34.564798,24,15.989026
40.412346,24,16.124603
28.926481,24,16.199837
23.330999,24,16.287136
26.640317,24,16.421995
40.110113,24,16.506757
30.090245,24,16.669196
31.73677,24,16.776529
32.365034,24,16.867489
28.536495,24,17.006168
36.215103,24,17.109151
29.377037,24,17.208477
40.263368,24,17.451733
29.785032,24,17.598809
28.066566,24,17.820616
44.615628,24,17.996577
20.931766,24,18.09945
42.639124,24,18.268034
37.02174,24,18.372763
38.443272,24,18.460657
34.999751,24,18.596583
43.49146,24,18.695755
37.128615,24,18.826011
38.188859,24,18.936312
35.879049,24,19.026983
38.827132,24,19.193952
41.206399,24,19.306528
40.661836,24,19.399432
41.879399,24,19.542126
37.07536,24,19.644211
38.140497,24,19.782938
34.132374,24,19.884308
39.559259,24,19.972921
36.902301,24,20.115485
38.443251,24,20.212023
36.095682,24,20.308641
42.101606,24,20.452214
41.295351,24,20.560388
35.428746,24,20.697581
42.657746,24,20.814673
41.077794,24,20.926432
46.182145,24,21.071877
37.513801,24,21.187879
42.819303,24,21.285206
41.136631,24,21.469518
33.28583,24,21.582598
37.957921,24,21.724749
39.618561,24,21.826066
36.696371,24,21.918576
43.947109,24,22.047746
32.676595,24,22.143619
36.52813,24,22.231847
36.649351,24,22.362705
42.069071,24,22.46734
45.74242,24,22.62209
31.027385,24,22.713278
42.324254,24,22.807782
37.374348,24,22.946448
42.516361,24,23.042693
38.200835,24,23.141737
32.104956,24,23.277
41.285619,24,23.387704
42.722367,24,23.524863
47.065267,24,23.620166
35.645401,24,23.708322
42.802873,24,23.84619
44.399516,24,23.93972
43.885943,24,24.022867
43.274513,24,24.161773
25.418235,24,24.267186
