#{"t_start": 1773715961.2278743, "env_id": "None"}
r,l,t
-30.05381,24,0.081621
-12.007424,24,0.150261
-5.670569,24,0.263102
-7.940676,24,0.344271
-13.868748,24,0.435094
-9.519823,24,0.55409
-16.732924,24,0.633582
-5.865578,24,0.698262
-4.437647,24,0.802973
-17.967953,24,0.883039
-19.984055,24,0.99806
-9.599714,24,1.062696
-15.675433,24,1.120817
-22.555141,24,1.223251
-8.617663,24,1.296205
-9.017346,24,1.352086
-14.167437,24,1.470836
-14.232097,24,1.546267
-17.001895,24,1.65357
-1.679901,24,1.728376
0.147066,24,1.802988
-8.896448,24,1.91568
-16.99329,24,1.991966
2.910947,24,2.061708
-11.043672,24,2.181921
-8.743409,24,2.253566
-7.048301,24,2.3604
7.026852,24,2.443668
-11.577455,24,2.507163
-2.584409,24,2.627268
-7.286346,24,2.706278
-6.039541,24,2.77902
-13.091416,24,2.89624
-9.106478,24,2.978449
2.296839,24,3.097588
-8.273182,24,3.164966
-2.865453,24,3.241288
-1.871363,24,3.349105
-21.243696,24,3.411751
-5.489245,24,3.480054
-24.739678,24,3.607691
17.155083,24,3.677331
-10.650268,24,3.784645
-16.120272,24,3.861073
11.98537,24,3.924097
-3.457913,24,4.029463
-1.239465,24,4.106188
-7.971249,24,4.184688
3.701639,24,4.302309
6.340249,24,4.386039
-1.611966,24,4.493481
0.766822,24,4.567999
-2.274226,24,4.637417
3.288022,24,4.758216
-6.516831,24,4.835124
4.0207,24,4.913501
4.274256,24,5.02928
2.530992,24,5.112655
-4.766596,24,5.218878
10.14442,24,5.304252
14.465098,24,5.375864
11.627965,24,5.49373
-1.255831,24,5.567759
8.193034,24,5.646043
10.546178,24,5.748685
15.300615,24,5.816469
-4.847371,24,5.92224
1.700397,24,6.003464
17.155476,24,6.072124
6.833232,24,6.183175
-3.782546,24,6.26639
8.014827,24,6.341537
-5.99884,24,6.458765
13.616875,24,6.540462
-1.260041,24,6.651115
12.731454,24,6.727061
8.523155,24,6.798405
17.66998,24,6.897157
10.654844,24,6.972493
20.393472,24,7.060719
-3.165822,24,7.180561
6.966343,24,7.276294
14.85162,24,7.396412
15.139069,24,7.488292
18.285241,24,7.561258
13.10851,24,7.68897
15.352064,24,7.767514
20.106501,24,7.840503
10.078071,24,7.950155
21.347244,24,8.022163
19.846936,24,8.13975
17.456508,24,8.218028
25.310912,24,8.301285
8.468635,24,8.426852
13.733823,24,8.497829
5.465318,24,8.591439
8.705806,24,8.730516
11.929966,24,8.809297
16.971888,24,8.943477
9.382337,24,9.031307
8.20015,24,9.11911
6.603974,24,9.237801
6.326716,24,9.314312
17.757219,24,9.396303
18.170319,24,9.546803
27.460613,24,9.631682
5.545256,24,9.741091
17.861811,24,9.822675
31.383464,24,9.917424
12.586455,24,10.040288
17.997076,24,10.122802
19.517976,24,10.19712
20.709433,24,10.316164
20.270496,24,10.388215
16.768501,24,10.514198
13.354967,24,10.610957
12.913671,24,10.728506
12.637604,24,10.879947
22.83866,24,10.988659
21.985815,24,11.080704
27.425242,24,11.264052
11.834036,24,11.379813
16.685894,24,11.500715
10.78268,24,11.585309
22.535905,24,11.661253
24.294819,24,11.774867
25.172365,24,11.860622
19.372015,24,11.935381
24.271075,24,12.061695
13.013525,24,12.146902
22.613697,24,12.264274
24.718377,24,12.343263
13.741297,24,12.413202
36.508967,24,12.534159
21.796838,24,12.610167
28.398276,24,12.688787
29.979647,24,12.819106
23.240224,24,12.925601
21.910762,24,13.032709
17.311803,24,13.118788
35.42497,24,13.196313
28.600813,24,13.324307
18.668691,24,13.41144
23.11554,24,13.494929
23.44041,24,13.624272
29.000594,24,13.71675
28.837468,24,13.830615
26.240149,24,13.909469
23.087757,24,13.991866
32.638394,24,14.120362
28.672095,24,14.204048
28.593772,24,14.295022
19.804739,24,14.412118
19.632359,24,14.502021
11.717069,24,14.61613
25.218627,24,14.702901
26.632904,24,14.785107
27.258087,24,14.906995
29.67594,24,14.996521
26.253378,24,15.076121
16.345394,24,15.197419
24.322732,24,15.289337
31.210682,24,15.414325
20.141526,24,15.489558
29.334596,24,15.573105
28.328506,24,15.703226
14.528433,24,15.787872
34.110724,24,15.882811
32.433786,24,16.005803
28.550807,24,16.080101
27.226901,24,16.203866
27.488191,24,16.292193
31.647958,24,16.389289
22.235152,24,16.524052
32.738356,24,16.622427
29.022073,24,16.705652
21.626339,24,16.813816
31.299364,24,16.908888
27.833618,24,17.038015
22.284037,24,17.133878
29.961795,24,17.229802
13.736706,24,17.34904
26.466894,24,17.438515
33.395278,24,17.520952
30.439146,24,17.648804
29.020294,24,17.743011
38.024355,24,17.857938
33.900846,24,17.942258
37.724876,24,18.040879
38.294424,24,18.176497
27.997531,24,18.273646
34.681721,24,18.354443
31.545837,24,18.496045
24.363078,24,18.584174
25.709922,24,18.712837
31.727504,24,18.813791
29.344663,24,18.910442
40.567917,24,19.038327
32.735322,24,19.128863
29.719722,24,19.215123
27.619543,24,19.328801
29.327171,24,19.413683
31.332719,24,19.543406
26.855159,24,19.631228
38.810142,24,19.710812
30.627467,24,19.843019
37.29208,24,19.939318
35.98972,24,20.025741
28.117156,24,20.15533
31.990008,24,20.256446
