#{"t_start": 1773781277.2352164, "env_id": "None"}
r,l,t
11.368836,24,0.101895
12.520449,24,0.191134
10.261597,24,0.330379
18.848883,24,0.407108
9.693166,24,0.49862
11.291311,24,0.626685
0.874013,24,0.70293
13.41528,24,0.78103
7.181079,24,0.884873
15.244193,24,0.972214
5.192203,24,1.104303
8.29251,24,1.187546
2.254022,24,1.268244
6.194536,24,1.395728
19.080503,24,1.48437
9.377753,24,1.550089
14.531144,24,1.677648
1.264819,24,1.742555
11.552147,24,1.865581
12.66178,24,1.955977
6.481353,24,2.028712
13.374774,24,2.161179
14.24492,24,2.244356
5.667231,24,2.328671
1.250462,24,2.459458
7.71481,24,2.551999
19.855685,24,2.663757
9.108522,24,2.747849
0.300671,24,2.838359
11.664501,24,2.957663
4.501589,24,3.050873
12.115976,24,3.131238
18.717045,24,3.264062
5.547563,24,3.354101
0.302902,24,3.471961
1.374046,24,3.548769
6.504608,24,3.632433
5.630106,24,3.75737
16.71375,24,3.83702
13.246082,24,3.913227
9.334232,24,4.056376
11.061571,24,4.127115
14.091067,24,4.25037
9.533185,24,4.33483
18.123022,24,4.4219
12.666251,24,4.544242
0.934122,24,4.624405
9.80126,24,4.70686
6.051707,24,4.818821
20.94888,24,4.908772
7.998768,24,5.049012
15.476808,24,5.138173
16.161598,24,5.220857
10.183531,24,5.347004
6.952784,24,5.443028
12.66447,24,5.523514
17.261707,24,5.653978
17.859605,24,5.732468
20.352049,24,5.865483
20.566579,24,5.957018
14.989552,24,6.033201
16.656987,24,6.161678
11.11,24,6.238364
16.780873,24,6.314582
19.063885,24,6.428996
14.510844,24,6.497396
6.612707,24,6.627452
15.766966,24,6.712035
22.360388,24,6.780018
19.305764,24,6.900491
19.909065,24,7.001488
18.813444,24,7.075608
18.988312,24,7.213789
14.519273,24,7.297568
19.7018,24,7.441857
21.534252,24,7.545086
20.523209,24,7.624456
20.235452,24,7.750103
25.052256,24,7.836225
24.536244,24,7.921577
20.725487,24,8.041674
20.909693,24,8.121769
21.305752,24,8.261512
23.913221,24,8.342769
15.217164,24,8.424778
15.452545,24,8.546847
14.383276,24,8.628306
11.782292,24,8.719563
23.968375,24,8.857326
16.982464,24,8.925806
17.863587,24,9.066441
21.928482,24,9.178695
23.615216,24,9.260743
25.599996,24,9.394924
21.399343,24,9.490506
11.67881,24,9.570206
24.505488,24,9.6985
25.687402,24,9.800042
23.809287,24,9.912358
25.67952,24,9.998262
16.16299,24,10.081834
26.459389,24,10.226761
27.879017,24,10.340185
23.438519,24,10.427045
24.510004,24,10.540916
25.937168,24,10.61923
28.537492,24,10.764832
22.174227,24,10.867554
27.115328,24,10.942935
20.732051,24,11.064246
28.493087,24,11.168371
24.220771,24,11.249331
25.230261,24,11.391686
26.510232,24,11.483397
15.135578,24,11.598428
29.035279,24,11.695239
28.662405,24,11.778916
24.460499,24,11.917129
21.732334,24,12.001624
23.284383,24,12.078522
22.191562,24,12.194158
21.878373,24,12.291165
26.897609,24,12.436696
21.071492,24,12.536895
23.097139,24,12.624773
29.995339,24,12.775007
23.03144,24,12.856074
27.918582,24,12.945979
21.751297,24,13.098949
23.84946,24,13.197177
19.219548,24,13.326301
29.965593,24,13.431192
23.448374,24,13.52385
28.351796,24,13.66697
28.56006,24,13.757654
30.66493,24,13.843998
27.972379,24,14.004597
21.756835,24,14.120874
30.477411,24,14.268184
19.465499,24,14.366629
15.000499,24,14.447016
22.002404,24,14.572475
28.192006,24,14.662112
26.486521,24,14.750806
33.635406,24,14.885224
29.137257,24,14.988487
28.102633,24,15.125407
28.737529,24,15.234252
29.345367,24,15.322327
33.086113,24,15.489348
20.682119,24,15.579999
22.972707,24,15.666708
28.165019,24,15.823422
28.43968,24,15.92894
24.098837,24,16.052474
28.296407,24,16.134569
31.056742,24,16.220962
31.77475,24,16.373252
35.757249,24,16.477794
30.924116,24,16.555743
27.558712,24,16.707174
31.900624,24,16.816858
29.208231,24,16.952996
29.298475,24,17.049904
28.522121,24,17.162554
33.770638,24,17.291439
26.604994,24,17.391167
31.353679,24,17.494726
31.220205,24,17.631862
31.198918,24,17.732215
32.441629,24,17.87233
32.649209,24,17.972029
34.260558,24,18.071787
28.195181,24,18.22504
28.128828,24,18.322509
32.958291,24,18.401011
29.295141,24,18.549297
32.07624,24,18.664274
32.160225,24,18.807245
30.556659,24,18.888508
32.851759,24,18.99966
31.466601,24,19.114506
24.467058,24,19.224544
33.185889,24,19.312778
37.245231,24,19.44708
31.109807,24,19.560409
31.102823,24,19.694334
32.83618,24,19.799162
37.329561,24,19.897707
35.283596,24,20.052215
35.757726,24,20.151579
35.693126,24,20.23825
28.166553,24,20.36735
34.725527,24,20.477165
34.832936,24,20.619391
34.289333,24,20.723272
32.397633,24,20.825723
34.565736,24,20.946721
30.423548,24,21.036219
34.322366,24,21.131556
31.862207,24,21.273505
32.272357,24,21.363397
32.50179,24,21.505866
36.568744,24,21.630588
35.095913,24,21.723016
31.51615,24,21.869974
36.271051,24,21.963374
36.274638,24,22.063425
29.738364,24,22.209468
34.357439,24,22.306875
