#{"t_start": 1773781867.0660758, "env_id": "None"}
r,l,t
-67.292474,24,0.090376
-48.817003,24,0.166824
-63.356267,24,0.317443
-65.409852,24,0.403819
-71.150132,24,0.505927
-61.941819,24,0.626626
-62.194286,24,0.706339
-49.684837,24,0.800158
-64.241747,24,0.930235
-41.897949,24,1.067924
-62.401443,24,1.217721
-51.91424,24,1.320275
-66.290881,24,1.400229
-65.624673,24,1.535766
-64.941898,24,1.63398
-73.364046,24,1.704183
-50.89061,24,1.834904
-63.189068,24,1.910558
-61.858485,24,2.057972
-43.305996,24,2.160382
-61.450563,24,2.252371
-58.472423,24,2.383402
-64.410822,24,2.473624
-66.341402,24,2.558685
-65.962344,24,2.700114
-50.398177,24,2.796248
-60.44539,24,2.917629
-61.002315,24,2.995329
-56.557552,24,3.063994
-59.817333,24,3.198274
-56.135971,24,3.322224
-60.877631,24,3.419585
-50.401933,24,3.572366
-59.232654,24,3.672108
-46.635196,24,3.822796
-54.339732,24,3.905589
-62.611586,24,4.000642
-55.280935,24,4.184241
-70.100337,24,4.294341
-55.76103,24,4.374233
-63.092441,24,4.540981
-64.573298,24,4.618139
-65.527455,24,4.747642
-77.944822,24,4.866296
-47.680382,24,4.959827
-65.094097,24,5.116701
-71.175657,24,5.208446
-72.341796,24,5.282381
-57.51715,24,5.39095
-65.214338,24,5.482622
-49.752623,24,5.612582
-61.443934,24,5.714736
-44.68511,24,5.810063
-51.863284,24,5.948322
-59.765598,24,6.05757
-60.460709,24,6.144095
-83.358156,24,6.260133
-51.55433,24,6.339649
-64.622533,24,6.445196
-58.781533,24,6.532228
-66.884801,24,6.628162
-67.461325,24,6.752482
-70.178956,24,6.832435
-52.197719,24,6.91011
-60.460041,24,7.022021
-60.784022,24,7.101694
-67.140143,24,7.222023
-65.466175,24,7.316024
-59.543369,24,7.404336
-56.079816,24,7.520866
-71.999591,24,7.60641
-69.806862,24,7.687553
-74.839644,24,7.853964
-52.954723,24,7.966228
-60.153057,24,8.09755
-63.600767,24,8.183128
-52.806604,24,8.28259
-66.569911,24,8.428013
-64.279549,24,8.544644
-59.20156,24,8.620942
-63.610696,24,8.763518
-62.158512,24,8.999458
-46.979459,24,11.153222
-70.497593,24,11.2853
-58.384436,24,11.432824
-52.76866,24,11.736549
-71.252018,24,11.922689
-64.467704,24,12.06785
-58.983096,24,12.268431
-48.717779,24,12.420306
-61.990118,24,12.642273
-52.522151,24,12.786336
-56.091361,24,12.926796
-67.386076,24,13.089964
-69.37472,24,13.211326
-46.16076,24,13.30378
-67.073262,24,13.492613
-55.317368,24,13.58498
-58.621902,24,13.772045
-48.366288,24,13.943525
-62.046605,24,14.057699
-53.712636,24,14.256734
-62.517177,24,14.369306
-60.841819,24,14.529805
-48.905972,24,14.7275
-48.441145,24,14.841755
-49.695853,24,15.005984
-51.801894,24,15.170322
-62.585111,24,15.281872
-61.845474,24,15.435593
-49.401207,24,15.54926
-48.496088,24,15.631752
-56.952563,24,15.786645
-55.21288,24,15.887657
-57.727763,24,16.018231
-48.434816,24,16.139313
-55.994917,24,16.245425
-65.162338,24,16.382312
-55.958898,24,16.476408
-59.653919,24,16.562728
-63.673164,24,16.720978
-55.025707,24,16.814544
-55.789595,24,16.955681
-49.885275,24,17.052853
-66.375303,24,17.144773
-60.150905,24,17.281848
-59.749049,24,17.381912
-67.631261,24,17.451258
-61.708334,24,17.604428
-58.086955,24,17.706003
-51.867658,24,17.84397
-54.623781,24,17.947698
-63.408806,24,18.03694
-55.065591,24,18.194591
-50.922824,24,18.291308
-52.73413,24,18.387766
-46.951634,24,18.533399
-49.69936,24,18.647184
-58.991839,24,18.89027
-44.357842,24,19.051561
-52.36954,24,19.221081
-52.501371,24,19.432933
-51.842023,24,19.577893
-55.480158,24,19.713517
-51.60331,24,19.922503
-54.543978,24,20.046093
-51.784455,24,20.276421
-65.658084,24,20.418135
-56.111619,24,20.613085
-55.218672,24,20.815127
-59.215566,24,20.970074
-58.791318,24,21.105886
-53.632999,24,21.368225
-60.645542,24,21.496167
-69.242385,24,21.767241
-50.746442,24,21.953771
-52.488212,24,22.125611
-39.789438,24,22.342861
-42.638472,24,22.480859
-48.626417,24,22.594003
-71.162605,24,22.85741
-59.640755,24,22.965682
-53.475825,24,23.14435
-49.637526,24,23.291653
-58.85961,24,23.391623
-44.947309,24,23.619423
-56.829605,24,23.750119
-48.863357,24,24.22963
-51.724159,24,26.628922
-54.502646,24,26.770347
-53.385748,24,26.96677
-65.163271,24,27.134564
-49.124426,24,27.238783
-48.819986,24,27.410553
-57.990522,24,27.512045
-54.571436,24,27.591568
-56.645765,24,27.721821
-43.59923,24,27.847353
-59.431402,24,28.041095
-49.419474,24,28.192764
-56.468511,24,28.321139
-40.026663,24,28.520575
-53.958094,24,28.654969
-51.293058,24,28.77733
-49.904688,24,28.957451
-42.971627,24,29.073885
-47.795495,24,29.359212
-53.444327,24,29.498477
-47.397857,24,29.606624
-35.704351,24,29.782632
-47.920096,24,29.893318
-48.778618,24,30.005081
-40.515522,24,30.207767
-47.706018,24,30.32752
-40.459958,24,30.498542
-42.546151,24,30.639707
-42.342109,24,30.748183
-52.052009,24,30.994167
-38.817322,24,31.094862
-39.907491,24,31.222462
-49.122099,24,31.440189
-35.385812,24,31.526487
-43.612005,24,31.666554
-31.880776,24,31.775805
-35.278502,24,31.877603
-47.949157,24,32.031527
-32.218351,24,32.154148
-46.095028,24,32.236244
-48.297356,24,32.381843
-44.993722,24,32.491847
