#{"t_start": 1773781402.5546803, "env_id": "None"}
r,l,t
-11.361927,24,0.426533
-10.087945,24,0.647527
-11.459781,24,0.877474
-15.470881,24,0.9806
-17.481498,24,1.094465
-12.326369,24,1.206064
-0.174624,24,1.288969
0.909098,24,1.357325
-23.637064,24,1.473157
-24.058563,24,1.563998
-3.077287,24,1.680471
-9.985351,24,1.762674
5.081931,24,1.833167
-22.618004,24,1.989985
-14.518068,24,2.09115
-9.006184,24,2.168322
-9.152389,24,2.289933
-1.321807,24,2.358061
-22.047865,24,2.484403
-0.472881,24,2.584252
-16.915844,24,2.680279
-11.263216,24,2.860809
-13.649304,24,2.984293
-10.080146,24,3.064348
-11.984052,24,3.230117
-14.963512,24,3.333607
-2.677085,24,3.473405
-23.452839,24,3.5611
-22.108402,24,3.6378
10.27513,24,3.786959
-11.609234,24,3.87177
7.344517,24,3.965052
5.547139,24,4.141071
-13.641327,24,4.245716
-24.305488,24,4.381192
-7.674441,24,4.477882
-3.8317,24,4.555965
-18.701566,24,4.668004
1.207717,24,4.743089
2.006565,24,4.82504
-17.516721,24,4.973173
8.79527,24,5.043778
-14.398506,24,5.156102
-5.463233,24,5.239026
-9.175489,24,5.319684
-9.386241,24,5.441121
-11.249739,24,5.513911
-5.212843,24,5.601059
4.758952,24,5.716904
-1.387063,24,5.800174
-9.660651,24,5.912544
4.264469,24,6.00344
0.26584,24,6.070952
0.847451,24,6.187248
0.731389,24,6.245537
8.707581,24,6.322358
-5.609726,24,6.451793
-9.799126,24,6.53237
-7.416386,24,6.664104
-11.055255,24,6.766391
15.08725,24,6.863288
-0.899914,24,6.988579
-7.910322,24,7.069917
-19.513019,24,7.138592
1.694804,24,7.244122
-1.742136,24,7.318605
8.759758,24,7.457213
8.284343,24,7.542597
9.587657,24,7.608855
6.598726,24,7.717934
-9.119294,24,7.790154
-11.721069,24,7.870879
19.438866,24,8.016376
5.63989,24,8.100739
-8.784802,24,8.223011
-18.498929,24,8.308499
0.46211,24,8.386089
-4.97762,24,8.528203
7.082564,24,8.61587
-6.750279,24,8.678556
-4.227785,24,8.798354
21.507098,24,8.892182
-0.587626,24,9.013818
9.664235,24,9.111191
9.755039,24,9.186997
13.001146,24,9.297189
18.719409,24,9.396034
6.21413,24,9.477847
15.803491,24,9.607586
14.180122,24,9.700526
13.136007,24,9.824022
13.138107,24,9.935422
1.844647,24,10.022925
9.952359,24,10.163578
22.218965,24,10.242384
11.477563,24,10.335949
14.447699,24,10.479521
14.99598,24,10.576267
11.177847,24,10.708068
19.204672,24,10.809462
2.054185,24,10.900513
21.983344,24,11.083323
14.7502,24,11.189447
22.287676,24,11.281709
7.310747,24,11.474829
11.285975,24,11.590202
14.744973,24,11.71402
27.970775,24,11.815518
8.766237,24,11.889373
23.913483,24,12.049385
22.00709,24,12.164738
10.795269,24,12.247802
18.364762,24,12.39687
29.884243,24,12.488926
16.676754,24,12.609659
22.058067,24,12.728093
14.255433,24,12.835992
6.305064,24,12.950186
28.727169,24,13.038124
25.518575,24,13.139332
23.083348,24,13.277661
20.882437,24,13.375454
12.433925,24,13.498106
27.35586,24,13.610744
14.084319,24,13.712133
19.398269,24,13.862996
7.132858,24,13.975354
19.07707,24,14.066247
8.807863,24,14.188366
19.225293,24,14.271679
21.291197,24,14.400009
21.664355,24,14.486332
13.102316,24,14.562369
16.964318,24,14.708323
27.310471,24,14.79611
12.636807,24,14.87681
30.760905,24,14.99823
24.254303,24,15.116959
16.750479,24,15.253324
23.480776,24,15.349789
15.266233,24,15.431125
13.360624,24,15.564721
19.507193,24,15.662038
26.962513,24,15.760887
24.981615,24,15.882925
22.959785,24,15.971989
12.326136,24,16.096806
23.555913,24,16.176694
23.458176,24,16.264327
12.472339,24,16.389597
22.468497,24,16.479051
16.635933,24,16.574349
19.743742,24,16.699442
22.41798,24,16.787064
19.991339,24,16.910879
28.579524,24,17.009315
21.935448,24,17.096271
24.508698,24,17.215556
25.90104,24,17.300492
20.813493,24,17.37733
17.319878,24,17.504275
24.926301,24,17.596303
27.845261,24,17.710145
25.66122,24,17.793118
36.74367,24,17.902181
34.856076,24,18.025685
19.723075,24,18.119879
18.175957,24,18.20664
21.359115,24,18.366057
27.086514,24,18.45765
25.555397,24,18.587356
24.42411,24,18.680785
25.284463,24,18.789266
25.31908,24,18.935356
24.872249,24,19.058855
27.18973,24,19.160459
31.036005,24,19.341418
25.788575,24,19.45273
24.082868,24,19.668839
21.47004,24,19.790951
24.224097,24,19.924641
30.263929,24,20.172366
9.171557,24,20.305583
21.937501,24,20.437288
34.363907,24,20.678634
24.816199,24,20.785619
29.203558,24,20.924273
28.645043,24,21.031001
31.088932,24,21.145771
20.151222,24,21.305377
23.847009,24,21.404309
24.666354,24,21.505788
23.644798,24,21.662564
33.021852,24,21.763014
27.179811,24,21.909071
20.170682,24,22.032006
31.636816,24,22.143356
26.110439,24,22.32286
23.78861,24,22.416409
21.391137,24,22.502453
28.972882,24,22.6444
26.914017,24,22.755356
29.860329,24,22.889601
35.898335,24,23.020346
36.45001,24,23.190869
31.045515,24,23.352336
33.63913,24,23.488803
30.132487,24,23.59317
22.305704,24,23.758353
33.0409,24,23.891143
