#{"t_start": 1773781961.4644225, "env_id": "None"}
r,l,t
10.277211,24,0.091672
9.705069,24,0.189778
8.241775,24,0.357126
9.078748,24,0.467428
19.228461,24,0.557695
6.516399,24,0.678437
-3.470519,24,0.785385
5.587682,24,0.934305
17.756844,24,1.055706
11.928732,24,1.15034
7.370163,24,1.304744
11.090134,24,1.406293
0.687712,24,1.492692
14.307593,24,1.629903
-6.102764,24,1.731322
11.956818,24,1.797172
21.671869,24,1.937164
17.245345,24,2.007931
10.877826,24,2.121044
10.624996,24,2.220413
29.998419,24,2.299903
8.202849,24,2.451566
17.974581,24,2.574054
19.60056,24,2.698257
7.962679,24,2.902735
13.237591,24,3.017803
17.743801,24,3.185048
24.714299,24,3.293036
13.278545,24,3.414848
12.246804,24,3.579214
-0.624183,24,3.696285
16.151428,24,3.800848
7.622566,24,4.033607
26.042564,24,4.124318
8.629551,24,4.272326
16.680627,24,4.366726
13.619268,24,4.440886
23.884857,24,6.992804
9.313216,24,7.174278
20.67198,24,7.34362
28.451415,24,7.684308
10.747714,24,7.801759
18.639444,24,8.023921
20.20104,24,8.161013
16.074012,24,8.254518
15.416244,24,8.450995
8.866804,24,8.576134
18.507712,24,8.686131
23.346096,24,8.881852
13.279296,24,8.979092
23.592973,24,9.17973
17.716538,24,9.343883
15.797473,24,9.468607
24.905924,24,9.691075
27.975341,24,9.823466
13.697556,24,9.946191
21.474367,24,10.166596
11.180644,24,10.290136
21.251099,24,10.459488
18.878153,24,10.578711
15.597336,24,10.772629
22.072523,24,10.970079
8.432983,24,11.098046
22.88989,24,11.200774
15.034899,24,11.388191
16.299986,24,11.51093
17.17347,24,11.68545
24.074987,24,11.808231
19.09802,24,11.949943
23.915523,24,12.132221
20.138992,24,12.252248
28.427138,24,12.339878
18.769712,24,12.482778
17.976862,24,12.612619
18.47153,24,12.766849
21.589989,24,12.874461
27.464892,24,12.978219
25.452792,24,13.126978
21.861792,24,13.250501
15.014346,24,13.376471
17.340551,24,13.555314
27.361086,24,13.692022
19.832561,24,13.856765
28.053552,24,13.968254
23.814057,24,14.138426
28.612608,24,14.353509
30.199691,24,14.484453
31.604054,24,14.588787
25.443637,24,14.716053
27.147621,24,14.807148
32.395485,24,14.958344
23.154628,24,15.047378
27.514306,24,15.129445
27.192494,24,15.262072
12.179132,24,15.350387
25.125419,24,15.448501
24.634855,24,15.594172
31.26008,24,15.682508
28.464233,24,15.820475
23.062027,24,15.917921
26.046271,24,16.023837
27.623186,24,16.193861
20.157021,24,16.302094
23.207275,24,16.392466
29.162665,24,16.542868
36.407146,24,16.64161
26.288584,24,16.786876
35.39462,24,16.901168
27.966879,24,16.991648
23.337437,24,17.120624
32.350031,24,17.23119
32.164976,24,17.324826
29.843544,24,17.478161
36.111856,24,17.587671
32.605541,24,17.717149
33.905716,24,17.810567
36.345266,24,17.907088
36.162055,24,18.026614
29.570986,24,18.1252
32.581043,24,18.228439
26.593358,24,18.379928
35.092393,24,18.47191
33.124754,24,18.621279
25.67078,24,18.703844
35.660355,24,18.797163
30.397496,24,18.910343
33.87628,24,19.011996
29.109647,24,19.10028
34.2389,24,19.265902
33.361383,24,19.361532
28.741133,24,19.580356
39.402851,24,19.791284
39.92117,24,19.92152
37.021041,24,21.357065
37.195789,24,21.468862
34.364674,24,21.570854
39.352857,24,21.723268
32.117214,24,21.814265
36.579395,24,21.954479
34.901028,24,22.05641
41.396969,24,22.153466
32.863137,24,22.276898
32.038897,24,22.362882
35.014955,24,22.440405
34.706649,24,22.582938
40.298908,24,22.676891
35.560503,24,22.821766
37.731691,24,22.901516
39.50018,24,23.021314
32.238776,24,23.171973
32.744915,24,23.276525
38.59223,24,23.358482
31.80238,24,23.529996
36.629965,24,23.640253
34.461528,24,23.784351
39.117239,24,23.887475
35.657913,24,23.992076
41.951002,24,24.137209
38.453377,24,24.242712
40.525868,24,24.330116
33.877643,24,24.468251
41.921972,24,24.574712
34.086203,24,24.688389
35.159781,24,24.783288
37.526256,24,24.882745
34.199366,24,25.034261
37.968217,24,25.131042
39.891546,24,25.231227
44.658271,24,25.389677
41.373052,24,25.479082
37.136764,24,25.619253
45.647872,24,25.718332
42.039093,24,25.819029
37.522345,24,25.958869
37.833488,24,26.075814
35.219251,24,26.166282
40.835445,24,26.315854
40.417116,24,26.416929
44.552313,24,26.546812
44.213598,24,26.635317
37.007568,24,26.746099
39.733537,24,26.922396
47.614294,24,27.031994
40.47715,24,27.118603
36.433794,24,27.253757
40.556531,24,27.359402
49.355067,24,27.498738
39.122916,24,27.608051
41.050886,24,27.708769
38.782007,24,27.827261
38.563519,24,27.934488
41.497773,24,28.033766
42.612518,24,28.209399
37.119263,24,28.293143
42.327998,24,28.424766
46.913741,24,28.541835
42.749339,24,28.634903
43.991711,24,28.772516
46.793684,24,28.867959
39.493552,24,28.970499
49.093529,24,29.114323
37.563395,24,29.210454
43.321329,24,29.356859
38.845815,24,29.465893
38.456302,24,29.556196
40.587935,24,29.722121
45.879461,24,29.814336
39.381449,24,29.898564
34.32196,24,30.048878
38.406737,24,30.147705
