feature,feature_label,mean_abs_shap,split,rank
ret_std_20,20-day return volatility,0.07130662415063047,split_012_2017-12-28_2020-03-31,1
ret_std_10,10-day return volatility,0.06578648818582386,split_012_2017-12-28_2020-03-31,2
ret_std_60,60-day return volatility,0.05536196776689409,split_012_2017-12-28_2020-03-31,3
mom_5,5-day momentum,0.04777544195604879,split_012_2017-12-28_2020-03-31,4
ret_std_5,5-day return volatility,0.04738806310174035,split_012_2017-12-28_2020-03-31,5
ret_mean_10,10-day average return,0.04340171564917096,split_012_2017-12-28_2020-03-31,6
mom_10,10-day momentum,0.03456465320056399,split_012_2017-12-28_2020-03-31,7
log_return_1,1-day log return,0.031926171776380276,split_012_2017-12-28_2020-03-31,8
ret_mean_20,20-day average return,0.03100103699394023,split_012_2017-12-28_2020-03-31,9
macd_signal_9,MACD signal (9),0.02965989291568086,split_012_2017-12-28_2020-03-31,10
mom_60,60-day momentum,0.026470855321549164,split_012_2017-12-28_2020-03-31,11
ret_mean_5,5-day average return,0.024499607618616106,split_012_2017-12-28_2020-03-31,12
macd_hist,MACD histogram,0.022550418505414834,split_012_2017-12-28_2020-03-31,13
mom_20,20-day momentum,0.022466671907092336,split_012_2017-12-28_2020-03-31,14
macd_12_26,"MACD (12, 26)",0.02224673422993297,split_012_2017-12-28_2020-03-31,15
ret_mean_60,60-day average return,0.021839812704079455,split_012_2017-12-28_2020-03-31,16
simple_return_1,1-day simple return,0.018144049234843265,split_012_2017-12-28_2020-03-31,17
rsi_14,14-day RSI,0.011610323622668015,split_012_2017-12-28_2020-03-31,18
volume_roll_mean_20,20-day average volume,0.009115803865751058,split_012_2017-12-28_2020-03-31,19
volume,Trading volume,0.007370697753634058,split_012_2017-12-28_2020-03-31,20
ticker_EFA,Asset indicator: EFA,0.0040910033932471754,split_012_2017-12-28_2020-03-31,21
ticker_IWM,Asset indicator: IWM,0.003940612874607834,split_012_2017-12-28_2020-03-31,22
ticker_SPY,Asset indicator: SPY,0.003885426057374529,split_012_2017-12-28_2020-03-31,23
ticker_TLT,Asset indicator: TLT,0.0032360144108812476,split_012_2017-12-28_2020-03-31,24
volume_chg,Volume change,3.2430406635625086e-06,split_012_2017-12-28_2020-03-31,25
