feature,feature_label,mean_abs_shap,split,rank
ret_mean_60,60-day average return,0.015549267106243566,split_016_2018-12-31_2021-03-31,1
mom_60,60-day momentum,0.014767551197051474,split_016_2018-12-31_2021-03-31,2
macd_signal_9,MACD signal (9),0.00895992150570589,split_016_2018-12-31_2021-03-31,3
log_return_1,1-day log return,0.008278839925145392,split_016_2018-12-31_2021-03-31,4
volume_roll_mean_20,20-day average volume,0.008258845245783901,split_016_2018-12-31_2021-03-31,5
macd_12_26,"MACD (12, 26)",0.008169155901947717,split_016_2018-12-31_2021-03-31,6
rsi_14,14-day RSI,0.0071802577130872505,split_016_2018-12-31_2021-03-31,7
ret_std_10,10-day return volatility,0.00682434210683559,split_016_2018-12-31_2021-03-31,8
ret_mean_5,5-day average return,0.0068240576642452765,split_016_2018-12-31_2021-03-31,9
ret_std_20,20-day return volatility,0.006238958659225553,split_016_2018-12-31_2021-03-31,10
ret_mean_20,20-day average return,0.006086918302102159,split_016_2018-12-31_2021-03-31,11
simple_return_1,1-day simple return,0.00586481377494267,split_016_2018-12-31_2021-03-31,12
mom_20,20-day momentum,0.005731712236968545,split_016_2018-12-31_2021-03-31,13
ret_mean_10,10-day average return,0.005652705313555236,split_016_2018-12-31_2021-03-31,14
volume,Trading volume,0.005613812663634763,split_016_2018-12-31_2021-03-31,15
mom_5,5-day momentum,0.005420389167826919,split_016_2018-12-31_2021-03-31,16
ticker_SPY,Asset indicator: SPY,0.005380426369796506,split_016_2018-12-31_2021-03-31,17
ret_std_5,5-day return volatility,0.00491649512109542,split_016_2018-12-31_2021-03-31,18
ret_std_60,60-day return volatility,0.004806352903605946,split_016_2018-12-31_2021-03-31,19
mom_10,10-day momentum,0.004593306696469588,split_016_2018-12-31_2021-03-31,20
macd_hist,MACD histogram,0.0036650349359426343,split_016_2018-12-31_2021-03-31,21
ticker_EFA,Asset indicator: EFA,0.0036432135500710445,split_016_2018-12-31_2021-03-31,22
ticker_TLT,Asset indicator: TLT,0.002916454378831282,split_016_2018-12-31_2021-03-31,23
ticker_IWM,Asset indicator: IWM,0.0028684042491191105,split_016_2018-12-31_2021-03-31,24
volume_chg,Volume change,3.0202522432841395e-06,split_016_2018-12-31_2021-03-31,25
