feature,feature_label,mean_abs_shap,split,rank
log_return_1,1-day log return,0.008890354442063812,split_001_2015-03-31_2017-06-28,1
macd_12_26,"MACD (12, 26)",0.008320149868411158,split_001_2015-03-31_2017-06-28,2
mom_20,20-day momentum,0.007378547376984815,split_001_2015-03-31_2017-06-28,3
ret_std_60,60-day return volatility,0.0063950491502141665,split_001_2015-03-31_2017-06-28,4
ret_std_10,10-day return volatility,0.006380391719198809,split_001_2015-03-31_2017-06-28,5
ret_mean_10,10-day average return,0.005447985611989537,split_001_2015-03-31_2017-06-28,6
rsi_14,14-day RSI,0.005298652725264407,split_001_2015-03-31_2017-06-28,7
simple_return_1,1-day simple return,0.005114624439654506,split_001_2015-03-31_2017-06-28,8
ret_std_5,5-day return volatility,0.004745741216162766,split_001_2015-03-31_2017-06-28,9
mom_10,10-day momentum,0.004545879297423627,split_001_2015-03-31_2017-06-28,10
ret_std_20,20-day return volatility,0.004331684153418965,split_001_2015-03-31_2017-06-28,11
volume_chg,Volume change,0.004253131172221447,split_001_2015-03-31_2017-06-28,12
ret_mean_60,60-day average return,0.003649944824103818,split_001_2015-03-31_2017-06-28,13
volume,Trading volume,0.003520524020583132,split_001_2015-03-31_2017-06-28,14
mom_60,60-day momentum,0.003217806311541676,split_001_2015-03-31_2017-06-28,15
volume_roll_mean_20,20-day average volume,0.0031389584094969063,split_001_2015-03-31_2017-06-28,16
mom_5,5-day momentum,0.002814375615592078,split_001_2015-03-31_2017-06-28,17
ret_mean_20,20-day average return,0.002632309395454842,split_001_2015-03-31_2017-06-28,18
macd_hist,MACD histogram,0.0026003279022194523,split_001_2015-03-31_2017-06-28,19
ret_mean_5,5-day average return,0.002583139386692629,split_001_2015-03-31_2017-06-28,20
macd_signal_9,MACD signal (9),0.002479009117629431,split_001_2015-03-31_2017-06-28,21
ticker_SPY,Asset indicator: SPY,0.0020761647713600324,split_001_2015-03-31_2017-06-28,22
ticker_EFA,Asset indicator: EFA,0.0020027983368045396,split_001_2015-03-31_2017-06-28,23
ticker_TLT,Asset indicator: TLT,0.0020019286700915487,split_001_2015-03-31_2017-06-28,24
ticker_IWM,Asset indicator: IWM,0.001559196543323106,split_001_2015-03-31_2017-06-28,25
