feature,feature_label,mean_abs_shap,split,rank
mom_5,5-day momentum,0.023876572163639902,split_021_2020-04-01_2022-06-30,1
macd_12_26,"MACD (12, 26)",0.022419268959046966,split_021_2020-04-01_2022-06-30,2
ret_mean_60,60-day average return,0.01956282955856178,split_021_2020-04-01_2022-06-30,3
ret_mean_20,20-day average return,0.01942903326967245,split_021_2020-04-01_2022-06-30,4
ret_mean_10,10-day average return,0.0188519837400001,split_021_2020-04-01_2022-06-30,5
ret_std_10,10-day return volatility,0.01771443604065421,split_021_2020-04-01_2022-06-30,6
macd_hist,MACD histogram,0.01661084768784349,split_021_2020-04-01_2022-06-30,7
rsi_14,14-day RSI,0.016241059696298063,split_021_2020-04-01_2022-06-30,8
mom_20,20-day momentum,0.015563754799381234,split_021_2020-04-01_2022-06-30,9
simple_return_1,1-day simple return,0.015150086817870502,split_021_2020-04-01_2022-06-30,10
mom_60,60-day momentum,0.0150117268755909,split_021_2020-04-01_2022-06-30,11
macd_signal_9,MACD signal (9),0.014217161430825664,split_021_2020-04-01_2022-06-30,12
mom_10,10-day momentum,0.013976063400920589,split_021_2020-04-01_2022-06-30,13
ret_mean_5,5-day average return,0.013455201662274645,split_021_2020-04-01_2022-06-30,14
ret_std_5,5-day return volatility,0.01017317034462218,split_021_2020-04-01_2022-06-30,15
log_return_1,1-day log return,0.009796921426054577,split_021_2020-04-01_2022-06-30,16
volume,Trading volume,0.009752821665030399,split_021_2020-04-01_2022-06-30,17
volume_chg,Volume change,0.008801970865240418,split_021_2020-04-01_2022-06-30,18
ret_std_20,20-day return volatility,0.007344371395740909,split_021_2020-04-01_2022-06-30,19
volume_roll_mean_20,20-day average volume,0.006980010821060263,split_021_2020-04-01_2022-06-30,20
ticker_SPY,Asset indicator: SPY,0.006507723818597902,split_021_2020-04-01_2022-06-30,21
ret_std_60,60-day return volatility,0.005098996453735679,split_021_2020-04-01_2022-06-30,22
ticker_TLT,Asset indicator: TLT,0.004566481605442894,split_021_2020-04-01_2022-06-30,23
ticker_IWM,Asset indicator: IWM,0.00454982522053122,split_021_2020-04-01_2022-06-30,24
ticker_EFA,Asset indicator: EFA,0.0037335933525061973,split_021_2020-04-01_2022-06-30,25
