feature,feature_label,mean_abs_shap,split,rank
log_return_1,1-day log return,0.009112327727864397,split_017_2019-04-02_2021-06-30,1
ret_std_5,5-day return volatility,0.008717425198227836,split_017_2019-04-02_2021-06-30,2
mom_5,5-day momentum,0.005977955432512287,split_017_2019-04-02_2021-06-30,3
simple_return_1,1-day simple return,0.005908880433948491,split_017_2019-04-02_2021-06-30,4
macd_signal_9,MACD signal (9),0.005587767744025558,split_017_2019-04-02_2021-06-30,5
volume_roll_mean_20,20-day average volume,0.005527319225778732,split_017_2019-04-02_2021-06-30,6
macd_12_26,"MACD (12, 26)",0.0048004598449386485,split_017_2019-04-02_2021-06-30,7
mom_20,20-day momentum,0.004755966493185267,split_017_2019-04-02_2021-06-30,8
ret_std_20,20-day return volatility,0.004667643138952168,split_017_2019-04-02_2021-06-30,9
rsi_14,14-day RSI,0.004364316916928883,split_017_2019-04-02_2021-06-30,10
mom_10,10-day momentum,0.004323084361722292,split_017_2019-04-02_2021-06-30,11
ret_mean_10,10-day average return,0.004269911136241506,split_017_2019-04-02_2021-06-30,12
ret_mean_60,60-day average return,0.0042654508351389715,split_017_2019-04-02_2021-06-30,13
ret_mean_5,5-day average return,0.004133762709950907,split_017_2019-04-02_2021-06-30,14
ret_mean_20,20-day average return,0.004109090046271872,split_017_2019-04-02_2021-06-30,15
macd_hist,MACD histogram,0.003908304914012878,split_017_2019-04-02_2021-06-30,16
volume,Trading volume,0.0037507172440704125,split_017_2019-04-02_2021-06-30,17
ret_std_60,60-day return volatility,0.003706636677641895,split_017_2019-04-02_2021-06-30,18
ticker_TLT,Asset indicator: TLT,0.003681852662173862,split_017_2019-04-02_2021-06-30,19
ret_std_10,10-day return volatility,0.0034224819113555256,split_017_2019-04-02_2021-06-30,20
mom_60,60-day momentum,0.0030494653545863628,split_017_2019-04-02_2021-06-30,21
ticker_SPY,Asset indicator: SPY,0.0028392821810890637,split_017_2019-04-02_2021-06-30,22
ticker_EFA,Asset indicator: EFA,0.0025276147955218004,split_017_2019-04-02_2021-06-30,23
ticker_IWM,Asset indicator: IWM,0.001995577323375697,split_017_2019-04-02_2021-06-30,24
volume_chg,Volume change,3.834920450720315e-06,split_017_2019-04-02_2021-06-30,25
