feature,feature_label,mean_abs_shap,split,rank
ret_std_60,60-day return volatility,0.020401607096275375,split_029_2022-03-31_2024-07-03,1
rsi_14,14-day RSI,0.012365639779478651,split_029_2022-03-31_2024-07-03,2
volume_chg,Volume change,0.012344237947054054,split_029_2022-03-31_2024-07-03,3
ret_mean_5,5-day average return,0.012196577960657734,split_029_2022-03-31_2024-07-03,4
mom_5,5-day momentum,0.012049105374243198,split_029_2022-03-31_2024-07-03,5
ret_std_5,5-day return volatility,0.011539120410697117,split_029_2022-03-31_2024-07-03,6
volume,Trading volume,0.010732873150655145,split_029_2022-03-31_2024-07-03,7
ret_std_20,20-day return volatility,0.010471569537853088,split_029_2022-03-31_2024-07-03,8
mom_20,20-day momentum,0.010382660230177743,split_029_2022-03-31_2024-07-03,9
macd_signal_9,MACD signal (9),0.01008763368020586,split_029_2022-03-31_2024-07-03,10
simple_return_1,1-day simple return,0.009711136102791375,split_029_2022-03-31_2024-07-03,11
log_return_1,1-day log return,0.008406609559091014,split_029_2022-03-31_2024-07-03,12
ret_std_10,10-day return volatility,0.008092910527443938,split_029_2022-03-31_2024-07-03,13
volume_roll_mean_20,20-day average volume,0.008092784803011455,split_029_2022-03-31_2024-07-03,14
macd_12_26,"MACD (12, 26)",0.007847242223671528,split_029_2022-03-31_2024-07-03,15
ret_mean_10,10-day average return,0.007581692576333479,split_029_2022-03-31_2024-07-03,16
ret_mean_20,20-day average return,0.007496733411781101,split_029_2022-03-31_2024-07-03,17
ret_mean_60,60-day average return,0.007166413132254689,split_029_2022-03-31_2024-07-03,18
mom_10,10-day momentum,0.006991248357347804,split_029_2022-03-31_2024-07-03,19
ticker_TLT,Asset indicator: TLT,0.006970416545374944,split_029_2022-03-31_2024-07-03,20
macd_hist,MACD histogram,0.0066025098430607795,split_029_2022-03-31_2024-07-03,21
mom_60,60-day momentum,0.005586569070564125,split_029_2022-03-31_2024-07-03,22
ticker_EFA,Asset indicator: EFA,0.005540441037529028,split_029_2022-03-31_2024-07-03,23
ticker_IWM,Asset indicator: IWM,0.004625342031908613,split_029_2022-03-31_2024-07-03,24
ticker_SPY,Asset indicator: SPY,0.004355079240742241,split_029_2022-03-31_2024-07-03,25
