feature,feature_label,mean_abs_shap,split,rank
ret_std_60,60-day return volatility,0.016188716680502337,split_003_2015-09-29_2017-12-27,1
macd_signal_9,MACD signal (9),0.013271594905298294,split_003_2015-09-29_2017-12-27,2
macd_12_26,"MACD (12, 26)",0.012370537772663052,split_003_2015-09-29_2017-12-27,3
ret_std_20,20-day return volatility,0.011500164724536455,split_003_2015-09-29_2017-12-27,4
volume_chg,Volume change,0.009399240691667818,split_003_2015-09-29_2017-12-27,5
ticker_IWM,Asset indicator: IWM,0.009237515073153667,split_003_2015-09-29_2017-12-27,6
ret_mean_10,10-day average return,0.00888290698663904,split_003_2015-09-29_2017-12-27,7
ret_mean_60,60-day average return,0.008511247134101424,split_003_2015-09-29_2017-12-27,8
volume_roll_mean_20,20-day average volume,0.008015346047315807,split_003_2015-09-29_2017-12-27,9
ret_std_5,5-day return volatility,0.007578765568261409,split_003_2015-09-29_2017-12-27,10
mom_5,5-day momentum,0.0073446384022779546,split_003_2015-09-29_2017-12-27,11
mom_10,10-day momentum,0.0070075006087716276,split_003_2015-09-29_2017-12-27,12
ret_std_10,10-day return volatility,0.006818108964312085,split_003_2015-09-29_2017-12-27,13
rsi_14,14-day RSI,0.006363133190402028,split_003_2015-09-29_2017-12-27,14
log_return_1,1-day log return,0.006126093848505378,split_003_2015-09-29_2017-12-27,15
mom_20,20-day momentum,0.005836959303436385,split_003_2015-09-29_2017-12-27,16
ret_mean_5,5-day average return,0.005803727140104098,split_003_2015-09-29_2017-12-27,17
simple_return_1,1-day simple return,0.0057641484727103814,split_003_2015-09-29_2017-12-27,18
volume,Trading volume,0.005703588859626611,split_003_2015-09-29_2017-12-27,19
mom_60,60-day momentum,0.005408182009275941,split_003_2015-09-29_2017-12-27,20
ret_mean_20,20-day average return,0.004773844360487765,split_003_2015-09-29_2017-12-27,21
ticker_SPY,Asset indicator: SPY,0.0045618037511452655,split_003_2015-09-29_2017-12-27,22
macd_hist,MACD histogram,0.00442357884832268,split_003_2015-09-29_2017-12-27,23
ticker_TLT,Asset indicator: TLT,0.004244354375519707,split_003_2015-09-29_2017-12-27,24
ticker_EFA,Asset indicator: EFA,0.0027141243227844346,split_003_2015-09-29_2017-12-27,25
