feature,feature_label,mean_abs_shap,split,rank
ret_std_10,10-day return volatility,0.019426758781354112,split_018_2019-07-02_2021-09-29,1
volume_roll_mean_20,20-day average volume,0.015483860567700668,split_018_2019-07-02_2021-09-29,2
log_return_1,1-day log return,0.015190693093871709,split_018_2019-07-02_2021-09-29,3
ret_mean_5,5-day average return,0.014090241016495636,split_018_2019-07-02_2021-09-29,4
simple_return_1,1-day simple return,0.013284359752389242,split_018_2019-07-02_2021-09-29,5
mom_10,10-day momentum,0.011963355728424132,split_018_2019-07-02_2021-09-29,6
ret_mean_60,60-day average return,0.011598423979000367,split_018_2019-07-02_2021-09-29,7
ret_mean_10,10-day average return,0.011528799813560432,split_018_2019-07-02_2021-09-29,8
mom_5,5-day momentum,0.011454285969648481,split_018_2019-07-02_2021-09-29,9
volume,Trading volume,0.011145305031829192,split_018_2019-07-02_2021-09-29,10
macd_12_26,"MACD (12, 26)",0.011028848864571438,split_018_2019-07-02_2021-09-29,11
macd_hist,MACD histogram,0.01067920542082589,split_018_2019-07-02_2021-09-29,12
mom_20,20-day momentum,0.010598243155982345,split_018_2019-07-02_2021-09-29,13
rsi_14,14-day RSI,0.010224175019592637,split_018_2019-07-02_2021-09-29,14
ret_std_60,60-day return volatility,0.009626799233300233,split_018_2019-07-02_2021-09-29,15
mom_60,60-day momentum,0.00959602709935709,split_018_2019-07-02_2021-09-29,16
ret_std_5,5-day return volatility,0.009562598656720794,split_018_2019-07-02_2021-09-29,17
ticker_SPY,Asset indicator: SPY,0.008961498126393321,split_018_2019-07-02_2021-09-29,18
macd_signal_9,MACD signal (9),0.008477776378073985,split_018_2019-07-02_2021-09-29,19
ret_mean_20,20-day average return,0.006791516821380594,split_018_2019-07-02_2021-09-29,20
ticker_TLT,Asset indicator: TLT,0.006092909216588806,split_018_2019-07-02_2021-09-29,21
ret_std_20,20-day return volatility,0.005362868212897843,split_018_2019-07-02_2021-09-29,22
ticker_IWM,Asset indicator: IWM,0.004923812315789038,split_018_2019-07-02_2021-09-29,23
ticker_EFA,Asset indicator: EFA,0.004638593521763067,split_018_2019-07-02_2021-09-29,24
volume_chg,Volume change,7.682360625099658e-06,split_018_2019-07-02_2021-09-29,25
