feature,feature_label,mean_abs_shap,split,rank
ret_mean_60,60-day average return,0.013785295184848632,split_032_2022-12-30_2025-04-04,1
mom_20,20-day momentum,0.010282110961509074,split_032_2022-12-30_2025-04-04,2
log_return_1,1-day log return,0.010038964624028103,split_032_2022-12-30_2025-04-04,3
ret_mean_20,20-day average return,0.009428028644684732,split_032_2022-12-30_2025-04-04,4
macd_hist,MACD histogram,0.008713968613742733,split_032_2022-12-30_2025-04-04,5
mom_10,10-day momentum,0.00865676320579235,split_032_2022-12-30_2025-04-04,6
simple_return_1,1-day simple return,0.008462930907059716,split_032_2022-12-30_2025-04-04,7
macd_12_26,"MACD (12, 26)",0.00817152696767093,split_032_2022-12-30_2025-04-04,8
rsi_14,14-day RSI,0.007935641923588681,split_032_2022-12-30_2025-04-04,9
macd_signal_9,MACD signal (9),0.0078344441715105,split_032_2022-12-30_2025-04-04,10
ret_mean_10,10-day average return,0.007617344392104717,split_032_2022-12-30_2025-04-04,11
ret_std_5,5-day return volatility,0.007560411784652388,split_032_2022-12-30_2025-04-04,12
ret_mean_5,5-day average return,0.007556366788194878,split_032_2022-12-30_2025-04-04,13
ret_std_10,10-day return volatility,0.007037346569106495,split_032_2022-12-30_2025-04-04,14
ret_std_60,60-day return volatility,0.006957063540297537,split_032_2022-12-30_2025-04-04,15
ret_std_20,20-day return volatility,0.006661059883463465,split_032_2022-12-30_2025-04-04,16
mom_60,60-day momentum,0.006653087606328419,split_032_2022-12-30_2025-04-04,17
volume_roll_mean_20,20-day average volume,0.0066117006432757424,split_032_2022-12-30_2025-04-04,18
volume,Trading volume,0.006532528355610786,split_032_2022-12-30_2025-04-04,19
mom_5,5-day momentum,0.006451488733195905,split_032_2022-12-30_2025-04-04,20
volume_chg,Volume change,0.006046343012832174,split_032_2022-12-30_2025-04-04,21
ticker_TLT,Asset indicator: TLT,0.004984300055318764,split_032_2022-12-30_2025-04-04,22
ticker_SPY,Asset indicator: SPY,0.004671648865996012,split_032_2022-12-30_2025-04-04,23
ticker_IWM,Asset indicator: IWM,0.0038667112360107254,split_032_2022-12-30_2025-04-04,24
ticker_EFA,Asset indicator: EFA,0.0036103479100437074,split_032_2022-12-30_2025-04-04,25
