feature,feature_label,mean_abs_shap,split,rank
ret_mean_60,60-day average return,0.02103972885009573,split_025_2021-04-01_2023-07-03,1
mom_60,60-day momentum,0.019589832636812077,split_025_2021-04-01_2023-07-03,2
ret_std_10,10-day return volatility,0.015388074320846917,split_025_2021-04-01_2023-07-03,3
ret_mean_20,20-day average return,0.014849578029997411,split_025_2021-04-01_2023-07-03,4
ret_std_60,60-day return volatility,0.014502259588746218,split_025_2021-04-01_2023-07-03,5
ret_std_5,5-day return volatility,0.014447089642790609,split_025_2021-04-01_2023-07-03,6
mom_20,20-day momentum,0.012660391171728584,split_025_2021-04-01_2023-07-03,7
rsi_14,14-day RSI,0.01211732731349375,split_025_2021-04-01_2023-07-03,8
macd_12_26,"MACD (12, 26)",0.011321874041030123,split_025_2021-04-01_2023-07-03,9
volume_roll_mean_20,20-day average volume,0.011004051055948127,split_025_2021-04-01_2023-07-03,10
simple_return_1,1-day simple return,0.010755965128722534,split_025_2021-04-01_2023-07-03,11
macd_signal_9,MACD signal (9),0.010257593312555073,split_025_2021-04-01_2023-07-03,12
ret_std_20,20-day return volatility,0.010219014539580101,split_025_2021-04-01_2023-07-03,13
ret_mean_10,10-day average return,0.010065609844235443,split_025_2021-04-01_2023-07-03,14
log_return_1,1-day log return,0.00983123367546557,split_025_2021-04-01_2023-07-03,15
ticker_IWM,Asset indicator: IWM,0.009016103983248897,split_025_2021-04-01_2023-07-03,16
mom_10,10-day momentum,0.008733221516567788,split_025_2021-04-01_2023-07-03,17
volume,Trading volume,0.008351792670509894,split_025_2021-04-01_2023-07-03,18
mom_5,5-day momentum,0.008039683813026909,split_025_2021-04-01_2023-07-03,19
volume_chg,Volume change,0.00749209323314927,split_025_2021-04-01_2023-07-03,20
macd_hist,MACD histogram,0.007368143032658364,split_025_2021-04-01_2023-07-03,21
ret_mean_5,5-day average return,0.007181954397042244,split_025_2021-04-01_2023-07-03,22
ticker_TLT,Asset indicator: TLT,0.005661093408367587,split_025_2021-04-01_2023-07-03,23
ticker_SPY,Asset indicator: SPY,0.003671930179123473,split_025_2021-04-01_2023-07-03,24
ticker_EFA,Asset indicator: EFA,0.003260409604633021,split_025_2021-04-01_2023-07-03,25
