feature,feature_label,mean_abs_shap,split,rank
ret_std_20,20-day return volatility,0.012721734380189326,split_026_2021-07-01_2023-10-02,1
ret_mean_20,20-day average return,0.01078841186720014,split_026_2021-07-01_2023-10-02,2
ret_std_60,60-day return volatility,0.009580238099539005,split_026_2021-07-01_2023-10-02,3
mom_60,60-day momentum,0.0093683261782208,split_026_2021-07-01_2023-10-02,4
ret_mean_10,10-day average return,0.008740580388359736,split_026_2021-07-01_2023-10-02,5
rsi_14,14-day RSI,0.008104031094232543,split_026_2021-07-01_2023-10-02,6
ret_std_10,10-day return volatility,0.007923651048875114,split_026_2021-07-01_2023-10-02,7
mom_10,10-day momentum,0.007664942694984257,split_026_2021-07-01_2023-10-02,8
ret_mean_5,5-day average return,0.007430684700736966,split_026_2021-07-01_2023-10-02,9
ticker_SPY,Asset indicator: SPY,0.0071068616535507135,split_026_2021-07-01_2023-10-02,10
ticker_EFA,Asset indicator: EFA,0.007097901649374326,split_026_2021-07-01_2023-10-02,11
ret_mean_60,60-day average return,0.006491433163739939,split_026_2021-07-01_2023-10-02,12
ret_std_5,5-day return volatility,0.006373302769059006,split_026_2021-07-01_2023-10-02,13
macd_hist,MACD histogram,0.006368397897505538,split_026_2021-07-01_2023-10-02,14
volume_roll_mean_20,20-day average volume,0.006337320576406891,split_026_2021-07-01_2023-10-02,15
mom_20,20-day momentum,0.0063236093942390095,split_026_2021-07-01_2023-10-02,16
mom_5,5-day momentum,0.006145720087253481,split_026_2021-07-01_2023-10-02,17
log_return_1,1-day log return,0.006037623956659024,split_026_2021-07-01_2023-10-02,18
volume_chg,Volume change,0.005994508347860326,split_026_2021-07-01_2023-10-02,19
simple_return_1,1-day simple return,0.005244566526069185,split_026_2021-07-01_2023-10-02,20
macd_signal_9,MACD signal (9),0.004957640737565504,split_026_2021-07-01_2023-10-02,21
volume,Trading volume,0.004876902568070334,split_026_2021-07-01_2023-10-02,22
ticker_TLT,Asset indicator: TLT,0.004837287524784819,split_026_2021-07-01_2023-10-02,23
macd_12_26,"MACD (12, 26)",0.004589528851629589,split_026_2021-07-01_2023-10-02,24
ticker_IWM,Asset indicator: IWM,0.0030386054960886704,split_026_2021-07-01_2023-10-02,25
