date,markowitz_gross,markowitz_net,black_litterman_gross,black_litterman_net
2017-12-28,1.0010413517189025,1.0000413517189026,1.001393254159137,1.000393254159137
2017-12-29,0.999091684313339,0.9980936319525672,0.9987286765010562,0.9977313373714455
2018-01-02,0.9997174380917618,0.9987187606281636,1.0007062801866842,0.9997069662048588
2018-01-03,1.005302976361112,1.0042987191697035,1.0056387916123568,1.0046345519817863
2018-01-04,1.0078730762800372,1.0068662516623033,1.0085383944565425,1.0075312592573906
2018-01-05,1.0109112180105848,1.0099013584116032,1.0114918862302318,1.0104818016485457
2018-01-08,1.011834108533095,1.0108233270036449,1.012437869668471,1.0114268404195084
2018-01-09,1.0081874508975863,1.007180312232269,1.0091890349028916,1.0081812499685396
2018-01-10,1.0068174857388021,1.005811715613512,1.0079997095595135,1.0069931122957778
2018-01-11,1.0133070615423554,1.0122948085921626,1.015961665160461,1.0149471170187183
2018-01-12,1.0180370438653181,1.0170200658532536,1.0208276905243152,1.0198082831273863
2018-01-16,1.0170943436194992,1.016078307327019,1.0182926568942343,1.0172757810039033
2018-01-17,1.022712445749386,1.0216907971991103,1.024377227223654,1.0233542752285516
2018-01-18,1.01796100973851,1.0169441076814763,1.0194039573689,1.0183859717242638
2018-01-19,1.0192034820957387,1.0181853388588527,1.0224124197596336,1.0213914298383278
2018-01-22,1.024717232396535,1.0236935811451284,1.0278776698774292,1.0268512223098938
2018-01-23,1.0277494920377583,1.0267228116810747,1.0309779745640868,1.0299484310053673
2018-01-24,1.025257740957762,1.0242335497600683,1.0280931978539907,1.027066535058346
2018-01-25,1.0286266118869414,1.0275990553228487,1.03081927500009,1.0297898899201332
2018-01-26,1.0344878110453222,1.0334543993792915,1.0364278663884476,1.0353928805204238
2018-01-29,1.0275371068747754,1.0265106386823173,1.0295105968582372,1.0284825186356379
2018-01-30,1.0183428916677002,1.0171444084680572,1.0200101333834044,1.0187149692536732
2018-01-31,1.019686393246873,1.0184863288862236,1.0203487120512909,1.0190531180092173
2018-02-01,1.0152456937717558,1.0140508556504793,1.0178492720170147,1.0165568516542713
2018-02-02,0.9969965134367051,0.9958231526942346,0.9984670433044365,0.9971992336456079
2018-02-05,0.969999029338814,0.968857441814764,0.9662429148299947,0.9650160219561529
2018-02-06,0.9811787691407128,0.9800240242308366,0.9796243154351775,0.9783804314457554
2018-02-07,0.9754967398262729,0.9743486820713118,0.9743060252350384,0.9730688941772523
2018-02-08,0.9497945700151649,0.9486767610290271,0.9461518787735528,0.9449504966161028
2018-02-09,0.9577230672941125,0.9565959272949486,0.9551229474821772,0.953910174255152
2018-02-12,0.9684343759182487,0.967294629827819,0.9666271200576891,0.9653997393369005
2018-02-13,0.9713427354056319,0.9701995664799149,0.9689170433812616,0.9676867550162727
2018-02-14,0.9782996178468791,0.9771482613972977,0.978867928060972,0.9776250044990625
2018-02-15,0.9880055902885209,0.9868428109233354,0.9889704508894792,0.9877146995871787
2018-02-16,0.990096985241998,0.9889317445234352,0.9910038803301828,0.9897455470683648
2018-02-20,0.9841850734766662,0.9830267904606479,0.9845646844120826,0.9833145273588182
2018-02-21,0.9779970003309768,0.9768460000305978,0.9794328658770144,0.9781892249818442
2018-02-22,0.9793914980366863,0.9782388565581875,0.980804026941109,0.9795586450057587
2018-02-23,0.9927264597358297,0.9915581244004826,0.994152281853017,0.992889950889034
2018-02-26,1.0005215146636326,0.9993440053629663,1.0027148668886634,1.0014416635297572
2018-02-27,0.9908894311735027,0.9897232578288635,0.9916315408808853,0.9903724106432292
2018-02-28,0.9847445511272331,0.9835856096644675,0.9835451600721637,0.9822962975661899
2018-03-01,0.9770347629603228,0.9757412129269466,0.9736289823165946,0.9722433036713514
2018-03-02,0.9814419167547961,0.9801425318482363,0.9795464007086746,0.9781523003335427
2018-03-05,0.9893950544682879,0.9880851399655001,0.9882428364590814,0.9868363592283629
2018-03-06,0.99315765287825,0.9918427568645852,0.9926834236861107,0.9912706265666003
2018-03-07,0.9944078135749438,0.9930912624048074,0.9941971712298716,0.9927822197294996
2018-03-08,0.9980858966806843,0.9967644758941283,0.9973543460672785,0.9959349012436478
2018-03-09,1.0102390146206726,1.0089015036531805,1.0107983756943644,1.0093597971913768
2018-03-12,1.011026126514409,1.0096875734462107,1.0111603601894392,1.009721266506446
2018-03-13,1.0072525959138159,1.0059190388302226,1.006180637561699,1.0047486310704694
2018-03-14,1.0050613905365748,1.003730734510238,1.0033452602258828,1.0019172890724428
2018-03-15,1.0034302702766411,1.0021017737800841,1.001581481543524,1.0001560206177986
2018-03-16,1.004430764948588,1.0031009438421343,1.0029655880271584,1.0015381572270436
2018-03-19,0.9937466461878055,0.9924309703735191,0.9918711864693004,0.9904595453340371
2018-03-20,0.9938866791297338,0.9925708179181376,0.9923714486214292,0.9909590955079958
2018-03-21,0.9940863687182093,0.9927702431265893,0.9927814216691893,0.9913684850779549
2018-03-22,0.976993727677318,0.9757002319728086,0.9728201508957426,0.9714356233875832
2018-03-23,0.9602804196488361,0.9590090516116092,0.9551486205445939,0.9537892433377105
2018-03-26,0.9793460030920308,0.978049393080788,0.9761688475075901,0.9747795541004397
2018-03-27,0.9678422603964825,0.9665608808225914,0.962831737763495,0.9614614258662393
2018-03-28,0.9665926406642062,0.9653129155305743,0.961983324320463,0.9606142198938267
2018-03-29,0.9768650317425204,0.975571706425634,0.9725769198353887,0.9711927384961421
