date,equal_weight_gross,equal_weight_net,markowitz_gross,markowitz_net,black_litterman_gross,black_litterman_net
2020-07-01,0.9998356848955154,0.9988356848955154,1.001636564731598,1.000636564731598,1.0012994382560254,1.0002994382560253
2020-07-02,1.0052352465577195,1.0042298461086818,1.0044677620633067,1.0034649354918423,1.0047008421447414,1.003697445155031
2020-07-06,1.0140125922363086,1.012998412999105,1.0082022960237422,1.0071957410201382,1.0085321681089492,1.007524944765385
2020-07-07,1.0067570136498047,1.0057500911835848,1.012545640737688,1.011534749485921,1.0124194908914188,1.0114083852698526
2020-07-08,1.0116681988111653,1.0106563643526696,1.0132166631201844,1.012205101942412,1.0131705970252114,1.0121587412722608
2020-07-09,1.0062626696043424,1.0052562415634094,1.0205889831551098,1.019570061702868,1.0199402748995896,1.018921658254127
2020-07-10,1.0143115577276298,1.0132970794758023,1.0216803064329292,1.0206602954405126,1.0210833489255473,1.020063590689485
2020-07-13,1.0081148873491326,1.0071066067860572,1.020168553274888,1.01915005156559,1.0198116242432071,1.0187931360814442
2020-07-14,1.0196192787870262,1.0185994919418568,1.0263368664352162,1.0253122064911078,1.0261626453954316,1.0251378144545662
2020-07-15,1.0329973173597662,1.031964150277449,1.0272344912919609,1.0262089351896169,1.027286526601828,1.0262605732382752
2020-07-16,1.030179177242545,1.029148828763484,1.0288086618081607,1.027781534107323,1.0285217515274694,1.0274945645420064
2020-07-17,1.03265324561059,1.0316204226565673,1.0287087809013193,1.027681752918194,1.0287401092874764,1.0277127042276277
2020-07-20,1.0355248119177827,1.0344891169255335,1.0335514309014773,1.0325195681807129,1.0332388334713005,1.032206935525496
2020-07-21,1.0404290947703703,1.0393884946892882,1.0348018044248748,1.0337686933735608,1.0344790989425878,1.0334459623408687
2020-07-22,1.0435191796300254,1.0424754889562526,1.0390135175204247,1.0379762016374943,1.0383615844189238,1.0373245703702312
2020-07-23,1.0416429902614228,1.0406011760853555,1.0413368350429792,1.0402971996385733,1.041115052327922,1.0400752883846385
2020-07-24,1.0346887453572209,1.0336538865689329,1.0386176755944512,1.0375807549066842,1.0384985196743728,1.0374613688681327
2020-07-27,1.0417004182224643,1.040658546608998,1.039334329278814,1.0382966931082964,1.0398474539642586,1.0388089559743106
2020-07-28,1.037590932867125,1.0365531714143752,1.0410123336098251,1.0399730221766523,1.0415203350490627,1.0404801663490144
2020-07-29,1.0487842408241,1.0477352842238614,1.0450694062034314,1.0440260443264784,1.0453859545971214,1.0443419252941402
2020-07-30,1.044669845767472,1.0436250042384585,1.0477094977214163,1.0466635000665665,1.046803969347069,1.0457585238695692
2020-07-31,1.0385466630063571,1.0375079456664018,1.050616918155612,1.0495680178307354,1.0458388722168148,1.0447480843965518
2020-08-03,1.0483361562540932,1.047287647812064,1.050364903594589,1.0493162548725092,1.0472497730596526,1.0461575136996564
2020-08-04,1.0550992339623377,1.054043961331142,1.0579950236491134,1.0569387572737619,1.0550787601227312,1.0539783352948409
2020-08-05,1.060550090561792,1.0594893661781917,1.0550735142964522,1.0540201646570262,1.0517765277074675,1.0506795470381318
2020-08-06,1.0639907970706524,1.0629266314150903,1.0614307644821102,1.0603710679795508,1.0573697542329676,1.0562669399466837
2020-08-07,1.065548077254532,1.0644823540628594,1.0574901404138,1.0564343780967598,1.052803209190983,1.051705157714578
2020-08-10,1.0687952196981159,1.0677262488303574,1.0559162860679985,1.0548620950337981,1.0512778099545308,1.0501813494372616
2020-08-11,1.0628355383303623,1.061772528123398,1.0448999299923114,1.0438567373146643,1.0418883738053117,1.0408017062713242
2020-08-12,1.0710961797676344,1.0700249075616617,1.045024516682973,1.0439811996221964,1.0430972217639494,1.0420092934271128
2020-08-13,1.0660032075832846,1.0649370291864861,1.0375669111235164,1.0365310394833864,1.0353072246410429,1.0342274211064173
2020-08-14,1.063165535573085,1.0621021953146457,1.035147247430537,1.034113791500634,1.0320846599892168,1.0310082175213535
2020-08-17,1.068057795747676,1.0669895624250578,1.0380226701621962,1.036986343507688,1.0355246630560242,1.0344446327377312
2020-08-18,1.0678274695061223,1.066759466547598,1.0433743607951727,1.0423326911941095,1.0404998572386632,1.0394146378980822
2020-08-19,1.0638776502902438,1.062813597800057,1.037723296116631,1.036687268347024,1.0348273559747416,1.0337480529329839
2020-08-20,1.0651615857610783,1.064096249124416,1.0446433251615126,1.0436003886694325,1.0408964707192179,1.0398108377191666
2020-08-21,1.064378850955706,1.0633142971824852,1.0498818043297982,1.0488336379176526,1.0449768554389003,1.043886966683902
2020-08-24,1.0729420038579103,1.0718688855245007,1.053113736588136,1.0520623435243563,1.0485987439507227,1.0475050776426231
2020-08-25,1.0722839504011152,1.0712114902293084,1.0497518380840916,1.0487038014258412,1.0448680206656398,1.0437782454230076
2020-08-26,1.0738260457735107,1.0727520432529003,1.0515518417871872,1.0505020080662433,1.046103013065447,1.0450119497518666
2020-08-27,1.0677651224062787,1.0666971818051003,1.0417399495981365,1.0406999117378215,1.0347011557809052,1.0336219843632801
2020-08-28,1.0734406661543918,1.0723670490767345,1.043966054073934,1.0429237937463547,1.0369929239249873,1.0359113622416676
2020-08-31,1.069315103596597,1.0682456127595013,1.0466132396303702,1.0455683364424466,1.0392985207829804,1.038113428743728
2020-09-01,1.0782400443793276,1.0771616271347055,1.0577388003713628,1.0566827898006492,1.0496717241295395,1.048474803726769
