split,model,train_start,train_end,test_start,test_end,n_reb,turnover_total,tc_total,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown,model_display
split_001_2015-03-31_2017-06-28,markowitz,2015-03-31,2017-03-29,2017-03-30,2017-06-28,3,1.19332,0.0011933199999999,0.1753306812764432,0.0461173609780552,3.526831148862529,5.717854057015349,0.0412140464872572,-0.009152772717476,Markowitz
split_001_2015-03-31_2017-06-28,black_litterman,2015-03-31,2017-03-29,2017-03-30,2017-06-28,3,1.67662,0.00167662,0.158202828753825,0.0565758058015638,2.624585373435472,4.053733439088229,0.0373997890023765,-0.0135505997582298,Black-Litterman
split_002_2015-06-30_2017-09-27,markowitz,2015-06-30,2017-06-28,2017-06-29,2017-09-27,3,1.1235,0.0011235,0.0572513964372669,0.0484998090139058,1.1719198062577838,1.5791556272104048,0.0140154376372945,-0.008742496728897,Markowitz
split_002_2015-06-30_2017-09-27,black_litterman,2015-06-30,2017-06-28,2017-06-29,2017-09-27,3,1.2961945881205754,0.0012961945881205,0.0605787335695111,0.0490964562366632,1.222281222923446,1.6409899712542333,0.0148123144767169,-0.0139685378300289,Black-Litterman
split_003_2015-09-29_2017-12-27,markowitz,2015-09-29,2017-09-27,2017-09-28,2017-12-27,3,1.15246,0.00115246,0.2300227612785685,0.0443631498665247,4.690509883241132,7.997494504517557,0.0531210339606436,-0.0118869982387309,Markowitz
split_003_2015-09-29_2017-12-27,black_litterman,2015-09-29,2017-09-27,2017-09-28,2017-12-27,3,1.2872535826641731,0.0012872535826641,0.2200277346308063,0.045779402446319,4.368393055982563,7.843843624448805,0.0509750979565737,-0.0109700658861493,Black-Litterman
split_004_2015-12-29_2018-03-29,markowitz,2015-12-29,2017-12-27,2017-12-28,2018-03-29,3,1.3226,0.0013226,-0.0941906785441156,0.1402864148272743,-0.635641339706623,-0.7994049115291315,-0.024428293574366,-0.0820332647489653,Markowitz
split_004_2015-12-29_2018-03-29,black_litterman,2015-12-29,2017-12-27,2017-12-28,2018-03-29,3,1.4210138098619014,0.0014210138098619,-0.1103448312405042,0.1561032235157755,-0.6715156387131825,-0.8384302936246265,-0.0288072615038579,-0.087350787904647,Black-Litterman
split_005_2016-03-31_2018-06-28,markowitz,2016-03-31,2018-03-29,2018-04-02,2018-06-28,3,1.46736,0.00146736,0.1697024314999369,0.0983173820759332,1.643297535032565,2.3225631902744928,0.0399652988462446,-0.024591780119381,Markowitz
split_005_2016-03-31_2018-06-28,black_litterman,2016-03-31,2018-03-29,2018-04-02,2018-06-28,3,1.256559595599658,0.0012565595955996,0.1471075611061736,0.0991114732046625,1.4339859144665852,2.021840268041978,0.0349063116188217,-0.023565695152952,Black-Litterman
split_006_2016-06-29_2018-09-27,markowitz,2016-06-29,2018-06-28,2018-06-29,2018-09-27,3,1.70824,0.00170824,0.1988668946958725,0.0739945069744145,2.488528654121979,3.8257913318024688,0.0463879793925077,-0.0179635582214561,Markowitz
split_006_2016-06-29_2018-09-27,black_litterman,2016-06-29,2018-06-28,2018-06-29,2018-09-27,3,1.3769800000000003,0.00137698,0.2105395562957135,0.074048425578511,2.617708682097035,4.073866430875872,0.0489257483384335,-0.0186134005706227,Black-Litterman
split_007_2016-09-28_2018-12-28,markowitz,2016-09-28,2018-09-27,2018-09-28,2018-12-28,3,1.65658,0.00165658,-0.3947858631214986,0.1837715196403722,-2.63936392808148,-3.368861793708449,-0.1179823700594214,-0.1499400574279931,Markowitz
split_007_2016-09-28_2018-12-28,black_litterman,2016-09-28,2018-09-27,2018-09-28,2018-12-28,3,1.89532,0.00189532,-0.4442024666092116,0.2045503519956118,-2.7673578982333518,-3.5228744758772823,-0.1365659848633836,-0.1711287956442294,Black-Litterman
split_008_2016-12-28_2019-04-01,markowitz,2016-12-28,2018-12-28,2018-12-31,2019-04-01,3,1.1675,0.0011675,0.4240190763718023,0.056788082873243,6.256876009584658,12.339234658650744,0.0923931088235956,-0.0115074294781648,Markowitz
split_008_2016-12-28_2019-04-01,black_litterman,2016-12-28,2018-12-28,2018-12-31,2019-04-01,3,1.4047736932630674,0.001404773693263,0.4011372348777282,0.0589832883715185,5.75112257549611,10.677467189489157,0.0879781378843935,-0.0149599520246942,Black-Litterman
split_009_2017-03-30_2019-07-01,markowitz,2017-03-30,2019-04-01,2019-04-02,2019-07-01,3,1.25854,0.00125854,0.1944378287747772,0.0567497424079443,3.1598816672186043,5.222928728307116,0.0454201997629044,-0.0152232890531521,Markowitz
split_009_2017-03-30_2019-07-01,black_litterman,2017-03-30,2019-04-01,2019-04-02,2019-07-01,3,1.47052,0.00147052,0.1695757631900425,0.059591779160856,2.658708532376472,4.253225312408534,0.0399371429680885,-0.0177946061972871,Black-Litterman
split_010_2017-06-29_2019-09-30,markowitz,2017-06-29,2019-07-01,2019-07-02,2019-09-30,3,1.11586,0.0011158599999999,0.2214391056773317,0.0771103719382296,2.6330857984261167,3.89494191041769,0.0512789174382311,-0.0356412446745896,Markowitz
split_010_2017-06-29_2019-09-30,black_litterman,2017-06-29,2019-07-01,2019-07-02,2019-09-30,3,1.2056,0.0012056,0.2088198474721059,0.0755730605338806,2.547586920820104,3.777726458519689,0.0485530201991697,-0.0335787493971536,Black-Litterman
split_011_2017-09-28_2019-12-30,markowitz,2017-09-28,2019-09-30,2019-10-01,2019-12-30,3,1.04026,0.0010402599999999,0.0473773093336702,0.0744277690617232,0.6586067145978596,0.9779067798277448,0.0116395279223542,-0.0264541622950662,Markowitz
split_011_2017-09-28_2019-12-30,black_litterman,2017-09-28,2019-09-30,2019-10-01,2019-12-30,3,1.06278,0.00106278,0.0462882347122306,0.0744247526877644,0.6446497930423836,0.955846779063238,0.0113764467977928,-0.0265421571261774,Black-Litterman
split_012_2017-12-28_2020-03-31,markowitz,2017-12-28,2019-12-30,2019-12-31,2020-03-31,3,1.09234,0.0010923399999999,0.1966993351782209,0.2161899159516005,0.9386062936967392,1.2137713316881644,0.0459146892297346,-0.1491602308516362,Markowitz
split_012_2017-12-28_2020-03-31,black_litterman,2017-12-28,2019-12-30,2019-12-31,2020-03-31,3,1.21604,0.00121604,0.1836859899580385,0.217695515288339,0.8833818779500553,1.137519475767801,0.0430596055100327,-0.1528715160602343,Black-Litterman
split_013_2018-04-02_2020-06-30,markowitz,2018-04-02,2020-03-31,2020-04-01,2020-06-30,3,1.0,0.001,0.3573923444799329,0.1098844282063371,2.8363576563948523,5.070233249079316,0.0793849264518469,-0.0301272741602601,Markowitz
split_013_2018-04-02_2020-06-30,black_litterman,2018-04-02,2020-03-31,2020-04-01,2020-06-30,3,1.0899,0.0010899,0.3317212116732773,0.1062937815774793,2.748783090161548,4.783651835175884,0.0742449711720625,-0.0316442252871108,Black-Litterman
split_014_2018-06-29_2020-09-29,markowitz,2018-06-29,2020-06-30,2020-07-01,2020-09-29,3,1.0,0.001,0.1612622760348923,0.0830113990834764,1.842504787080191,2.571266730865821,0.0380841965060363,-0.0415435618068409,Markowitz
split_014_2018-06-29_2020-09-29,black_litterman,2018-06-29,2020-06-30,2020-07-01,2020-09-29,3,1.1419,0.0011419,0.1389268809550481,0.079492791240226,1.6760618166368086,2.3233024949416112,0.0330562292773377,-0.0376247160122472,Black-Litterman
split_015_2018-09-28_2020-12-29,markowitz,2018-09-28,2020-09-29,2020-09-30,2020-12-29,3,1.0,0.001,0.0861640080262768,0.0881043987020208,0.981509145862427,1.566418110395528,0.0208780165895616,-0.042304675967435,Markowitz
split_015_2018-09-28_2020-12-29,black_litterman,2018-09-28,2020-09-29,2020-09-30,2020-12-29,3,1.1797330329303293,0.0011797330329303,0.1038136055224758,0.084910536836242,1.2051360965692053,1.9720031107820784,0.0250001659633034,-0.0413171997034433,Black-Litterman
split_016_2018-12-31_2021-03-31,markowitz,2018-12-31,2020-12-29,2020-12-30,2021-03-31,3,1.0737599999999998,0.0010737599999999,-0.1969740158706505,0.106410256905145,-2.0082210999579755,-2.577530273838984,-0.0533653445059619,-0.0690977573742248,Markowitz
split_016_2018-12-31_2021-03-31,black_litterman,2018-12-31,2020-12-29,2020-12-30,2021-03-31,3,1.163492974270257,0.0011634929742702,-0.1469472099034477,0.1091922745213829,-1.4012520815480067,-1.8100911669787996,-0.0389544393007861,-0.0596780264912373,Black-Litterman
split_017_2019-04-02_2021-06-30,markowitz,2019-04-02,2021-03-31,2021-04-01,2021-06-30,3,1.21514,0.00121514,0.3294930244855618,0.082066257767465,3.5126480233009523,6.037729930684339,0.0737953421185007,-0.0327323919931092,Markowitz
split_017_2019-04-02_2021-06-30,black_litterman,2019-04-02,2021-03-31,2021-04-01,2021-06-30,3,1.2647,0.0012647,0.28321611152615,0.0873932050037847,2.897846035839242,4.602484845782278,0.0643266848718313,-0.0365348972938204,Black-Litterman
split_018_2019-07-02_2021-09-29,markowitz,2019-07-02,2021-06-30,2021-07-01,2021-09-29,3,1.174789438905611,0.0011747894389056,0.0440624560808471,0.0736838728027179,0.6216013793401338,0.8336946471755065,0.0108381395619616,-0.0381523332336146,Markowitz
split_018_2019-07-02_2021-09-29,black_litterman,2019-07-02,2021-06-30,2021-07-01,2021-09-29,3,1.317487416792103,0.0013174874167921,0.0029965949783619,0.0750179115094132,0.0769159230854848,0.0994637838176975,0.0007483083773438,-0.0368042506131091,Black-Litterman
split_019_2019-10-01_2021-12-29,markowitz,2019-10-01,2021-09-29,2021-09-30,2021-12-29,3,1.08194,0.00108194,0.3023733952727352,0.0837130920116554,3.1987208970558387,5.121660675983566,0.0682770020763998,-0.017713426933359,Markowitz
split_019_2019-10-01_2021-12-29,black_litterman,2019-10-01,2021-09-29,2021-09-30,2021-12-29,3,1.1942245196451964,0.0011942245196451,0.2497182422190811,0.089470782824021,2.536628217127178,3.9882045224404856,0.0573116738872225,-0.0306434350769913,Black-Litterman
split_020_2019-12-31_2022-03-30,markowitz,2019-12-31,2021-12-29,2021-12-30,2022-03-30,3,1.24642,0.0012464199999999,-0.1887815231891479,0.138779298776405,-1.438555244394125,-1.904087970737233,-0.0509601287737491,-0.1113419410477714,Markowitz
split_020_2019-12-31_2022-03-30,black_litterman,2019-12-31,2021-12-29,2021-12-30,2022-03-30,3,1.61008,0.00161008,-0.1424054596359808,0.1614410990221949,-0.87186847725425,-1.2249323208041756,-0.0376778063122181,-0.1113375200242382,Black-Litterman
split_021_2020-04-01_2022-06-30,markowitz,2020-04-01,2022-03-30,2022-03-31,2022-06-30,3,1.2960544852551474,0.0012960544852551,-0.5245796194613319,0.26435764798961,-2.677818179413386,-3.279624347187657,-0.1696342093665496,-0.1892625291873564,Markowitz
split_021_2020-04-01_2022-06-30,black_litterman,2020-04-01,2022-03-30,2022-03-31,2022-06-30,3,1.2109,0.0012109,-0.5261275171605044,0.2733629530924548,-2.5926762097301017,-3.172599394911986,-0.1703109228825859,-0.1911058786489233,Black-Litterman
split_022_2020-07-01_2022-09-29,markowitz,2020-07-01,2022-06-30,2022-07-01,2022-09-29,3,1.0,0.001,-0.1036043559632734,0.2243843735091492,-0.3766547154334829,-0.5221607729311547,-0.0269729038299388,-0.160985831562997,Markowitz
split_022_2020-07-01_2022-09-29,black_litterman,2020-07-01,2022-06-30,2022-07-01,2022-09-29,3,1.57102,0.0015710199999999,-0.1310186177855957,0.22512447293371,-0.5126377243624775,-0.7101234392397718,-0.0344992444648798,-0.1648533740874882,Black-Litterman
split_023_2020-09-30_2022-12-29,markowitz,2020-09-30,2022-09-29,2022-09-30,2022-12-29,3,1.41822,0.00141822,0.3071475725078609,0.2574971663952893,1.1663756967669343,1.9852989171110729,0.0692546686521817,-0.0658598886995854,Markowitz
split_023_2020-09-30_2022-12-29,black_litterman,2020-09-30,2022-09-29,2022-09-30,2022-12-29,3,1.47932,0.00147932,0.2869245721715681,0.2645659437528277,1.0830247641627375,1.830063177128468,0.0650948219083871,-0.0754384734248705,Black-Litterman
split_024_2020-12-30_2023-03-31,markowitz,2020-12-30,2022-12-29,2022-12-30,2023-03-31,3,1.0,0.001,0.3293736654340373,0.1525169979251705,1.942774467473472,3.013150399111359,0.0737712405424866,-0.0679365731617398,Markowitz
split_024_2020-12-30_2023-03-31,black_litterman,2020-12-30,2022-12-29,2022-12-30,2023-03-31,3,1.0,0.001,0.3293736654340373,0.1525169979251705,1.942774467473472,3.013150399111359,0.0737712405424866,-0.0679365731617398,Black-Litterman
split_025_2021-04-01_2023-07-03,markowitz,2021-04-01,2023-03-31,2023-04-03,2023-07-03,3,2.0,0.002,0.2073980681262806,0.101867495150528,1.9008379081470856,3.236826482011329,0.048244564595707,-0.0243157203104824,Markowitz
split_025_2021-04-01_2023-07-03,black_litterman,2021-04-01,2023-03-31,2023-04-03,2023-07-03,3,2.0,0.002,0.2073980681262806,0.101867495150528,1.9008379081470856,3.236826482011329,0.048244564595707,-0.0243157203104824,Black-Litterman
split_026_2021-07-01_2023-10-02,markowitz,2021-07-01,2023-07-03,2023-07-05,2023-10-02,3,2.0,0.002,-0.2342914160251601,0.1106627186589043,-2.3564871605370947,-2.94816933041358,-0.0645601243437151,-0.0911314883281793,Markowitz
split_026_2021-07-01_2023-10-02,black_litterman,2021-07-01,2023-07-03,2023-07-05,2023-10-02,3,2.4378,0.0024378,-0.2590155102810344,0.1109322329101974,-2.6460307564682743,-3.2543457270063856,-0.0722044624290435,-0.0985586874022558,Black-Litterman
split_027_2021-09-30_2024-01-02,markowitz,2021-09-30,2023-10-02,2023-10-03,2024-01-02,3,2.0,0.002,0.451577678037413,0.1365970023849514,2.797152141094376,4.5520983085383735,0.0976403668459766,-0.0588272093888498,Markowitz
split_027_2021-09-30_2024-01-02,black_litterman,2021-09-30,2023-10-02,2023-10-03,2024-01-02,3,2.0,0.002,0.451577678037413,0.1365970023849514,2.797152141094376,4.5520983085383735,0.0976403668459766,-0.0588272093888498,Black-Litterman
split_028_2021-12-30_2024-04-03,markowitz,2021-12-30,2024-01-02,2024-01-03,2024-04-03,3,1.0,0.001,0.3942598239989592,0.0982179323480356,3.4344363043698625,5.963159286659922,0.08664060205732,-0.015981602187104,Markowitz
split_028_2021-12-30_2024-04-03,black_litterman,2021-12-30,2024-01-02,2024-01-03,2024-04-03,3,1.0,0.001,0.3942598239989592,0.0982179323480356,3.4344363043698625,5.963159286659922,0.08664060205732,-0.015981602187104,Black-Litterman
split_029_2022-03-31_2024-07-03,markowitz,2022-03-31,2024-04-03,2024-04-04,2024-07-03,3,1.0,0.001,0.1963182657758886,0.1024395356192376,1.8008555240991513,2.714740692968692,0.0458314156629187,-0.0441627256500256,Markowitz
split_029_2022-03-31_2024-07-03,black_litterman,2022-03-31,2024-04-03,2024-04-04,2024-07-03,3,1.0,0.001,0.1963182657758886,0.1024395356192376,1.8008555240991513,2.714740692968692,0.0458314156629187,-0.0441627256500256,Black-Litterman
split_030_2022-07-01_2024-10-02,markowitz,2022-07-01,2024-07-03,2024-07-05,2024-10-02,3,1.0,0.001,0.1543840133258602,0.1532952291766303,1.0123975158654426,1.4422187999209586,0.0365436034498298,-0.0795867924186077,Markowitz
split_030_2022-07-01_2024-10-02,black_litterman,2022-07-01,2024-07-03,2024-07-05,2024-10-02,3,1.05724,0.0010572399999999,0.1516483087405655,0.1535634288850507,0.9954316587249784,1.418921125247853,0.0359289465023657,-0.0795867924186077,Black-Litterman
split_031_2022-09-30_2025-01-02,markowitz,2022-09-30,2024-10-02,2024-10-03,2025-01-02,3,1.11558,0.00111558,-0.0632889838592626,0.1044478402913859,-0.5742140570696459,-0.7183244775407567,-0.0162122580142765,-0.0412410963538423,Markowitz
split_031_2022-09-30_2025-01-02,black_litterman,2022-09-30,2024-10-02,2024-10-03,2025-01-02,3,1.2346,0.0012346,-0.078824833310617,0.108455820551757,-0.7032067768575947,-0.8681803046213264,-0.0203170374323961,-0.0431553971339169,Black-Litterman
split_032_2022-12-30_2025-04-04,markowitz,2022-12-30,2025-01-02,2025-01-03,2025-04-04,3,1.09886,0.00109886,-0.3016178294863668,0.1994283263937597,-1.6987261659199209,-1.9276099091574208,-0.0858377445941939,-0.1395531940209753,Markowitz
split_032_2022-12-30_2025-04-04,black_litterman,2022-12-30,2025-01-02,2025-01-03,2025-04-04,3,1.19252,0.00119252,-0.3329303506534963,0.2015983729875768,-1.9055171297399724,-2.157816418911796,-0.0962614763484708,-0.1465687723510182,Black-Litterman
split_033_2023-04-03_2025-07-08,markowitz,2023-04-03,2025-04-04,2025-04-07,2025-07-08,3,1.0,0.001,1.2312131392436458,0.2399805133496685,3.46371738469475,8.23133343425006,0.2221802592668222,-0.0341804504394531,Markowitz
split_033_2023-04-03_2025-07-08,black_litterman,2023-04-03,2025-04-04,2025-04-07,2025-07-08,3,1.0,0.001,1.2312131392436458,0.2399805133496685,3.46371738469475,8.23133343425006,0.2221802592668222,-0.0341804504394531,Black-Litterman
split_034_2023-07-05_2025-10-06,markowitz,2023-07-05,2025-07-08,2025-07-09,2025-10-06,3,1.0,0.001,0.349834602260235,0.0888783427493228,3.4208360017908386,6.140373269609598,0.077879318767833,-0.0304037718271746,Markowitz
split_034_2023-07-05_2025-10-06,black_litterman,2023-07-05,2025-07-08,2025-07-09,2025-10-06,3,1.0581,0.0010581,0.3491818125932735,0.0890580683816359,3.408670544737193,6.123152302069384,0.0777489775909832,-0.0304037718271746,Black-Litterman
split_001_2015-03-31_2017-06-28,dnn_only,2015-03-31,2017-03-29,2017-03-30,2017-06-28,3,3.0,0.003,0.177942616970498,0.0721920821183999,2.304642613354896,4.309537798096777,0.0417920371566125,-0.0143595386713634,DNN-only
split_002_2015-06-30_2017-09-27,dnn_only,2015-06-30,2017-06-28,2017-06-29,2017-09-27,3,3.4471698319418014,0.0034471698319418,0.1244290332881075,0.0658693087632403,1.8132676993086148,2.703558656088953,0.029752873912471,-0.0176632700878939,DNN-only
split_003_2015-09-29_2017-12-27,dnn_only,2015-09-29,2017-09-27,2017-09-28,2017-12-27,3,3.0121817506768886,0.0030121817506768,0.182057006667099,0.0588720019398995,2.870910593959223,4.613534766748865,0.0427005566867464,-0.0189955274853861,DNN-only
split_004_2015-12-29_2018-03-29,dnn_only,2015-12-29,2017-12-27,2017-12-28,2018-03-29,3,3.678923837657538,0.0036789238376575,0.0947865978059658,0.1180873015999594,0.8255304690220644,1.0502531950296137,0.0228980908877218,-0.0800528266998596,DNN-only
split_005_2016-03-31_2018-06-28,dnn_only,2016-03-31,2018-03-29,2018-04-02,2018-06-28,3,2.506318267257116,0.0025063182672571,0.1018322001059413,0.1031514514831119,0.9912156703759272,1.3400758843846703,0.0245398732512016,-0.0275433204326419,DNN-only
split_006_2016-06-29_2018-09-27,dnn_only,2016-06-29,2018-06-28,2018-06-29,2018-09-27,3,3.4750372798694547,0.0034750372798694,0.1701776079870243,0.0632244013652272,2.5175463327211367,4.049490323152252,0.0400709008739614,-0.0331197680216762,DNN-only
split_007_2016-09-28_2018-12-28,dnn_only,2016-09-28,2018-09-27,2018-09-28,2018-12-28,3,2.805648570006259,0.0028056485700062,-0.3945221811144789,0.178691782279205,-2.7171377997487256,-3.529076491985481,-0.1178863155489603,-0.1537189879740874,DNN-only
