date,dnn_rl_gross,dnn_rl_net
2020-12-30,1.0027410629296463,1.0020410629296463
2020-12-31,1.0031178613263163,1.0024175982884422
2021-01-04,0.9997254593201382,0.9990275644723104
2021-01-05,0.9993909040209554,0.9986932427216658
2021-01-06,0.9937824995385277,0.9930887533906992
2021-01-07,0.9927388538798814,0.992045836286999
2021-01-08,0.9928166620792899,0.9921235901695539
2021-01-11,0.9888307549976876,0.9881404655958794
2021-01-12,0.9908284165384018,0.9901367325960385
2021-01-13,0.9970306799198655,0.9963346662611601
2021-01-14,0.994050129398034,0.9933561964214134
2021-01-15,0.9915549496108815,0.9908627584855878
2021-01-19,0.996999039979887,0.9963030484085966
2021-01-20,1.0011431754908213,1.0004442909544724
2021-01-21,0.9963091969130198,0.995613686911862
2021-01-22,0.9981766138798308,0.9974798002600969
2021-01-25,1.0055711020926796,1.0048691264805427
2021-01-26,1.0037020205079206,1.0030013496764072
2021-01-27,0.9962649094470615,0.9955694303623859
2021-01-28,0.9948866547406836,0.9941921377970134
2021-01-29,0.983719128762284,0.9830324077177486
2021-02-01,0.9908136194256232,0.9900811512344971
2021-02-02,0.9919298463149153,0.9911965529426711
2021-02-03,0.987411232423268,0.9866812794784046
2021-02-04,0.9893626771128158,0.9886312815443006
2021-02-05,0.9871238489094739,0.9863941084155482
2021-02-08,0.9940125200154761,0.9932776870073122
2021-02-09,0.995633895039197,0.9948978634144543
2021-02-10,0.9984400147181732,0.9977019086433372
2021-02-11,0.9964324466717436,0.9956958247102733
2021-02-12,0.9909021208023578,0.9901695871857654
2021-02-16,0.9823922403666729,0.9816659977584067
2021-02-17,0.9845861703784702,0.9838583058870206
2021-02-18,0.9794971103185838,0.9787730079621548
2021-02-19,0.9735633957873806,0.9728436799846527
2021-02-22,0.9670595543174374,0.966344646540057
2021-02-23,0.9650160154271895,0.9643026183549559
2021-02-24,0.9652083447697773,0.964494805516287
2021-02-25,0.9465634427761371,0.9458636869400011
2021-02-26,0.9622739883601757,0.9615626183569754
2021-03-01,0.9639978223385686,0.9632851779750534
2021-03-02,0.9612051195624847,0.9604945397304925
2021-03-03,0.9511848823384297,0.9504433374195529
2021-03-04,0.9423534438270034,0.9416187839085888
2021-03-05,0.9486145190172731,0.9478749779568427
2021-03-08,0.9431146254212996,0.9423793720847662
2021-03-09,0.9566011199586435,0.9558553525341726
2021-03-10,0.9604660178364252,0.9597172373327554
2021-03-11,0.9601052359965513,0.9593567367588531
2021-03-12,0.9488585815307413,0.9481188501988713
2021-03-15,0.9534804621171815,0.9527371275614502
2021-03-16,0.950276129511218,0.949535293057177
2021-03-17,0.9479721930088425,0.947233152706568
2021-03-18,0.9366555343751073,0.9359253165539975
2021-03-19,0.9407336816331038,0.9400002844833126
2021-03-22,0.9480131466841837,0.9472740744543728
2021-03-23,0.947518876701747,0.9467801898054299
2021-03-24,0.9476019625354499,0.9468632108653133
2021-03-25,0.9466107652699232,0.9458727863384092
2021-03-26,0.9503332786820707,0.9495923976744646
2021-03-29,0.943117201299227,0.9423819459545355
2021-03-30,0.9464371922285507,0.945699348614796
2021-03-31,0.9439836879729266,0.9432477571141452
