split,case_rank,date,ticker,y_true,y_pred,base_value,summary_text
split_015_2018-09-28_2020-12-29,1,2020-11-16,SPY,-0.005392721388489008,0.11297141015529633,-0.0026783249340951443,"For SPY on 2020-11-16, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were MACD (12, 26), MACD histogram, 1-day simple return. The main downward influences were MACD signal (9), 10-day momentum, Asset indicator: IWM."
split_015_2018-09-28_2020-12-29,2,2020-12-07,IWM,0.012764337472617626,-0.0830589160323143,-0.0026783249340951443,"For IWM on 2020-12-07, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 20-day momentum, 60-day momentum, MACD (12, 26). The main downward influences were 20-day average return, MACD signal (9), 60-day average return."
split_015_2018-09-28_2020-12-29,3,2020-11-13,SPY,0.012405495159327984,0.09658066928386688,-0.0026783249340951443,"For SPY on 2020-11-13, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were MACD histogram, Asset indicator: SPY, 1-day simple return. The main downward influences were MACD signal (9), 10-day momentum, Asset indicator: IWM."
split_015_2018-09-28_2020-12-29,4,2020-10-19,SPY,0.003997834399342537,0.08317923545837402,-0.0026783249340951443,"For SPY on 2020-10-19, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were Asset indicator: SPY, MACD histogram, 1-day log return. The main downward influences were MACD (12, 26), 20-day average volume, Asset indicator: IWM."
split_016_2018-12-31_2021-03-31,1,2021-01-15,IWM,0.012730267830193043,0.1078520342707634,0.0004012373392470181,"For IWM on 2021-01-15, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were MACD signal (9), 60-day momentum, 10-day average return. The main downward influences were 60-day average return, 20-day average return, 10-day momentum."
split_016_2018-12-31_2021-03-31,2,2021-02-02,IWM,0.0029916607309132814,-0.12202613800764084,0.0004012373392470181,"For IWM on 2021-02-02, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were MACD (12, 26), 1-day simple return, MACD signal (9). The main downward influences were 60-day average return, 60-day momentum, 20-day average return."
split_016_2018-12-31_2021-03-31,3,2021-03-18,SPY,-0.0018520394805818796,-0.08485610038042068,0.0004012373392470181,"For SPY on 2021-03-18, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were Asset indicator: SPY, 10-day momentum, 14-day RSI. The main downward influences were Trading volume, 20-day average volume, MACD (12, 26)."
split_016_2018-12-31_2021-03-31,4,2021-02-01,IWM,0.014143727719783783,-0.08134091645479202,0.0004012373392470181,"For IWM on 2021-02-01, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 1-day simple return, MACD (12, 26), MACD signal (9). The main downward influences were 60-day momentum, 60-day average return, 20-day average return."
split_017_2019-04-02_2021-06-30,1,2021-06-02,TLT,-0.00376079510897398,0.0527261346578598,0.001998386112973094,"For TLT on 2021-06-02, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were 20-day return volatility, 5-day return volatility, MACD (12, 26). The main downward influences were 5-day momentum, 1-day log return, MACD signal (9)."
split_017_2019-04-02_2021-06-30,2,2021-05-06,SPY,0.007251630071550608,-0.08287303894758224,0.001998386112973094,"For SPY on 2021-05-06, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 5-day return volatility, Asset indicator: SPY, Trading volume. The main downward influences were MACD (12, 26), MACD histogram, 20-day average volume."
split_017_2019-04-02_2021-06-30,3,2021-04-13,IWM,0.009809720329940319,-0.07889033854007721,0.001998386112973094,"For IWM on 2021-04-13, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 20-day momentum, 1-day simple return, 60-day average return. The main downward influences were 20-day average return, 20-day return volatility, 60-day return volatility."
split_017_2019-04-02_2021-06-30,4,2021-05-14,SPY,-0.0025479570031166077,-0.048721786588430405,0.001998386112973094,"For SPY on 2021-05-14, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were 20-day average volume, 5-day momentum, 10-day momentum. The main downward influences were Trading volume, Asset indicator: TLT, MACD signal (9)."
split_018_2019-07-02_2021-09-29,1,2021-09-21,SPY,0.009707621298730373,0.1754409819841385,-0.013582278974354267,"For SPY on 2021-09-21, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were MACD histogram, 5-day average return, 60-day return volatility. The main downward influences were Asset indicator: SPY, 20-day momentum, 60-day average return."
split_018_2019-07-02_2021-09-29,2,2021-09-27,SPY,-0.020357755944132805,-0.1233709305524826,-0.013582278974354267,"For SPY on 2021-09-27, the DNN predicted a negative next-period log return. Relative to the baseline prediction, the forecast moved strongly down. The main upward influences were Trading volume, 60-day return volatility, Asset indicator: IWM. The main downward influences were 60-day average return, Asset indicator: SPY, 5-day momentum."
split_018_2019-07-02_2021-09-29,3,2021-09-22,SPY,0.012076797895133495,0.11894380301237106,-0.013582278974354267,"For SPY on 2021-09-22, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were MACD histogram, 10-day return volatility, 60-day return volatility. The main downward influences were 60-day average return, 14-day RSI, Asset indicator: SPY."
split_018_2019-07-02_2021-09-29,4,2021-08-20,IWM,0.01884484477341175,0.11238272488117218,-0.013582278974354267,"For IWM on 2021-08-20, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were 10-day return volatility, 10-day momentum, 5-day average return. The main downward influences were 20-day average volume, 60-day momentum, Asset indicator: IWM."
split_019_2019-10-01_2021-12-29,1,2021-12-03,IWM,0.01987474225461483,0.22664973139762878,0.004131208173930645,"For IWM on 2021-12-03, the DNN predicted a positive next-period log return. Relative to the baseline prediction, the forecast moved strongly up. The main upward influences were MACD histogram, 20-day average return, Asset indicator: IWM. The main downward influences were 5-day average return, 5-day return volatility, 14-day RSI."
