split,rmse,is_outlier_rmse,outlier_reason
split_001_2015-03-31_2017-06-28,0.02259630337357521,False,
split_002_2015-06-30_2017-09-27,0.019375551491975784,False,
split_003_2015-09-29_2017-12-27,0.04302212968468666,False,
split_004_2015-12-29_2018-03-29,0.09671139717102051,True,rmse_above_iqr_upper(0.088579)
split_005_2016-03-31_2018-06-28,0.023124556988477707,False,
split_006_2016-06-29_2018-09-27,0.05418483167886734,False,
split_007_2016-09-28_2018-12-28,0.04624777287244797,False,
split_008_2016-12-28_2019-04-01,0.04177822545170784,False,
split_009_2017-03-30_2019-07-01,0.031237175688147545,False,
split_010_2017-06-29_2019-09-30,73.55513763427734,True,rmse_above_iqr_upper(0.088579); rmse_robust_z_gt_3.5(4367.83); rmse_gt_1.0
split_011_2017-09-28_2019-12-30,0.04418833926320076,False,
split_012_2017-12-28_2020-03-31,0.11822770535945892,True,rmse_above_iqr_upper(0.088579); rmse_robust_z_gt_3.5(4.43)
split_013_2018-04-02_2020-06-30,0.18469467759132385,True,rmse_above_iqr_upper(0.088579); rmse_robust_z_gt_3.5(8.38)
split_014_2018-06-29_2020-09-29,0.02454766258597374,False,
split_015_2018-09-28_2020-12-29,0.032569266855716705,False,
split_016_2018-12-31_2021-03-31,0.03114761970937252,False,
split_017_2019-04-02_2021-06-30,0.022600194439291954,False,
split_018_2019-07-02_2021-09-29,0.03967323526740074,False,
split_019_2019-10-01_2021-12-29,0.05024130269885063,False,
split_020_2019-12-31_2022-03-30,0.03228352591395378,False,
split_021_2020-04-01_2022-06-30,0.06979124248027802,False,
split_022_2020-07-01_2022-09-29,0.05083825811743736,False,
split_023_2020-09-30_2022-12-29,0.07625748217105865,False,
split_024_2020-12-30_2023-03-31,0.053680505603551865,False,
split_025_2021-04-01_2023-07-03,0.0618399977684021,False,
split_026_2021-07-01_2023-10-02,0.03695935010910034,False,
split_027_2021-09-30_2024-01-02,0.05441633239388466,False,
split_028_2021-12-30_2024-04-03,0.03719836473464966,False,
split_029_2022-03-31_2024-07-03,0.04997524246573448,False,
split_030_2022-07-01_2024-10-02,0.038824621587991714,False,
split_031_2022-09-30_2025-01-02,0.05498751252889633,False,
split_032_2022-12-30_2025-04-04,0.039199911057949066,False,
split_033_2023-04-03_2025-07-08,0.1459178328514099,True,rmse_above_iqr_upper(0.088579); rmse_robust_z_gt_3.5(6.08)
split_034_2023-07-05_2025-10-06,0.021928003057837486,False,
