family,family_label,n_splits,n_outlier_splits,delta_mae_mean,delta_mae_median,delta_rmse_mean,delta_rmse_median,delta_rmse_mean_excl_outliers,delta_direction_acc_mean,delta_direction_acc_median,delta_net_ann_return_mean,delta_net_ann_return_median,delta_net_sharpe_mean,delta_net_sharpe_median,delta_net_sortino_mean,delta_net_sortino_median,delta_net_max_drawdown_mean,delta_turnover_total_mean,delta_tc_total_mean,sharpe_hurt_count,sharpe_help_count,sharpe_neutral_count,sortino_hurt_count,sortino_help_count,sortino_neutral_count,rmse_hurt_count,rmse_help_count,rmse_neutral_count
momentum,Momentum family,34,5,-0.04572451657012982,-0.01355987973511219,-0.4898200378588894,-0.016938301734626293,-0.017159139095195407,-0.009570494864612512,-0.003968253968253954,0.04367932652746817,0.03657509913634893,0.403315405305723,0.3592195575173067,0.6884208792536031,0.6185593865876389,-0.00626414107709982,0.11388130977837826,0.00011388130977837824,22,12,0,23,11,0,4,30,0
volatility,Volatility family,34,5,-0.0813848064007128,-0.018716079648584127,-0.9464848208350732,-0.024046367034316063,-0.021950950043211723,0.0017507002801120484,0.005952380952380931,0.02233234533147165,0.02012415056536776,0.24253184780424977,0.11921892071183804,0.4856551941272206,0.31969626484602287,-0.004807040548596692,0.12001080154339773,0.00012001080154339773,20,14,0,22,12,0,0,34,0
macd,MACD family,34,5,-0.08621007987462423,-0.014756425749510527,-1.1002826878581853,-0.01926635392010212,-0.017219588224743974,-0.006185807656395896,-0.007936507936507908,-0.004862029057922618,0.002955675122962742,0.19874860272111833,0.20179954854215865,0.4547959395162665,0.4457344611116354,0.0004174339426086902,-0.08470081898028826,-8.47008189802883e-05,20,14,0,20,14,0,3,31,0
rsi,RSI family,34,5,-0.08795638667309985,-0.012856806628406048,-1.157577830585925,-0.015372594818472862,-0.014900172900023132,-0.014589169000933705,-0.015873015873015844,-0.011425307279913147,0.01004137453841114,0.19117858899280069,0.24159587646503988,0.487420893215147,0.36600744508010297,-0.003996777151947795,0.06292286891455501,6.292286891455499e-05,21,13,0,21,13,0,5,29,0
return_level,Return-level family,34,5,-0.12846952139892998,-0.01774371601641178,-1.7139566519352443,-0.021828729659318924,-0.02162767612728579,-0.009453781512605043,-0.009920634920634941,0.0007220196207324966,0.0042687138512675915,0.1826708129771518,0.08963747804144717,0.3979407632020827,0.39566004483980444,-0.0009870355133006297,-0.0925889071182248,-9.25889071182248e-05,20,14,0,19,15,0,0,34,0
volume,Volume family,34,5,-0.14752917251933148,-0.011581212282180786,-2.1741872694726814,-0.012227186933159828,-0.011738445706151682,-0.012021475256769366,-0.015873015873015844,-0.011369194342516036,-0.004351389495591995,0.1213252780263927,0.051553277512507066,0.3196623120801205,0.12033073392921842,0.0007179024583588434,-0.054361756593204066,-5.436175659320407e-05,19,15,0,19,15,0,7,27,0
