split,family,family_label,full_rmse,ablated_rmse,is_outlier_rmse,outlier_reason,delta_mae,delta_rmse,delta_direction_acc,delta_net_ann_return,delta_net_sharpe,delta_net_sortino,delta_net_max_drawdown,delta_turnover_total,delta_tc_total
split_001_2015-03-31_2017-06-28,return_level,Return-level family,0.02259630337357521,0.013090305030345917,False,,-0.006437056697905064,-0.009505998343229294,0.003968253968253954,-0.11127594477031466,-1.3762700304724418,-1.599833531149665,0.0035194525291413203,0.8108055961844318,0.0008108055961844316
split_001_2015-03-31_2017-06-28,volatility,Volatility family,0.02259630337357521,0.011520667001605034,False,,-0.0072659337893128395,-0.011075636371970177,-0.023809523809523836,-0.02774318911676188,-0.052711769567652667,0.41638329160258447,-0.006529586087294925,-0.2999999999999998,-0.0002999999999999999
split_001_2015-03-31_2017-06-28,momentum,Momentum family,0.02259630337357521,0.015803759917616844,False,,-0.0038815857842564583,-0.006792543455958366,0.031746031746031744,-0.08044193157557755,-0.5750281008922364,-0.6851127542955258,-0.0020981940091447937,0.3999999999999999,0.00039999999999999975
split_001_2015-03-31_2017-06-28,macd,MACD family,0.02259630337357521,0.01980637013912201,False,,-0.0027037616819143295,-0.0027899332344532013,0.011904761904761918,-0.05506763455445074,-1.5450685438399714,-2.110795263253923,0.005145796350145004,-1.6312740808899768,-0.0016312740808899768
split_001_2015-03-31_2017-06-28,rsi,RSI family,0.02259630337357521,0.020963720977306366,False,,-0.0010037915781140327,-0.0016325823962688446,0.04365079365079366,0.00404579113748138,-0.8445392498234319,-1.121452369921358,0.0051960129182042625,-0.9546745843415261,-0.0009546745843415261
split_001_2015-03-31_2017-06-28,volume,Volume family,0.02259630337357521,0.02367357350885868,False,,0.001633964478969574,0.0010772701352834702,0.02777777777777779,-0.023188011420701704,-1.191859373651298,-1.6437541416591275,0.005100794385820229,-1.1426815625445226,-0.0011426815625445227
split_002_2015-06-30_2017-09-27,return_level,Return-level family,0.019375551491975784,0.013077394105494022,False,,-0.004641384817659855,-0.006298157386481762,0.023809523809523836,0.01924871662169525,0.6111457719498445,1.031152040750284,-0.026569570277004795,-0.18050316527513477,-0.00018050316527513455
split_002_2015-06-30_2017-09-27,volatility,Volatility family,0.019375551491975784,0.012299487367272377,False,,-0.00547234620898962,-0.007076064124703407,0.051587301587301626,0.017421965449452737,0.5955182371357692,1.014675440112816,-0.02490272468607546,-0.7856961596782592,-0.0007856961596782591
split_002_2015-06-30_2017-09-27,momentum,Momentum family,0.019375551491975784,0.01796692982316017,False,,-0.0008608978241682053,-0.0014086216688156128,0.05555555555555558,0.15378935343546296,2.1484485244804508,3.133387166648297,-0.026569570277004795,0.21949683472486559,0.00021949683472486563
split_002_2015-06-30_2017-09-27,macd,MACD family,0.019375551491975784,0.01862974278628826,False,,-0.0007721111178398132,-0.0007458087056875229,0.06349206349206349,0.16706356140557788,2.422698391004823,3.4749902551794394,-0.018044779484843843,-0.2805031652751344,-0.0002805031652751344
split_002_2015-06-30_2017-09-27,rsi,RSI family,0.019375551491975784,0.01877199299633503,False,,-0.0012457715347409248,-0.0006035584956407547,0.05555555555555558,-0.0026428592893499303,0.3077612533469274,0.605185973854462,-0.021119776341780194,-0.5805031652751347,-0.0005805031652751347
split_002_2015-06-30_2017-09-27,volume,Volume family,0.019375551491975784,0.023522434756159782,False,,0.003980277106165886,0.004146883264183998,0.0753968253968254,0.11271398725978798,1.613022000361322,2.446187028159428,-0.01669729542234266,0.7528301680581988,0.0007528301680581992
split_003_2015-09-29_2017-12-27,return_level,Return-level family,0.04302212968468666,0.014533521607518196,False,,-0.022764069959521294,-0.028488608077168465,0.08333333333333331,-0.07022791356656244,-1.8870830006809611,-3.7811913153496803,0.008850066618776409,-0.9619339008378391,-0.0009619339008378391
split_003_2015-09-29_2017-12-27,volatility,Volatility family,0.04302212968468666,0.012749885208904743,False,,-0.024201519787311554,-0.030272244475781918,0.059523809523809534,-0.014473088263302625,-0.7281792701939662,-1.8628315844164316,0.005596815950209,-0.6276010661445741,-0.0006276010661445744
split_003_2015-09-29_2017-12-27,momentum,Momentum family,0.04302212968468666,0.017270199954509735,False,,-0.019900123588740826,-0.025751929730176926,0.05555555555555558,0.0017482717428631833,-0.2961131370615151,-0.36174402623274826,1.1102230246251565e-16,-1.0121817506768886,-0.0010121817506768887
split_003_2015-09-29_2017-12-27,macd,MACD family,0.04302212968468666,0.020411845296621323,False,,-0.017935363575816154,-0.022610284388065338,0.05555555555555558,-0.0028570998855226293,0.14802340087898713,0.20644959419861753,0.0013223754385714992,-0.14551508401022195,-0.0001455150840102221
split_003_2015-09-29_2017-12-27,rsi,RSI family,0.04302212968468666,0.021214956417679787,False,,-0.01659655012190342,-0.021807173267006874,0.031746031746031744,0.0160369579393409,0.3439562155034399,0.5699247899079936,0.0013223754385716102,0.1872273039661927,0.0001872273039661928
split_003_2015-09-29_2017-12-27,volume,Volume family,0.04302212968468666,0.02103612944483757,False,,-0.017342545092105865,-0.02198600023984909,0.06746031746031744,-0.05568740030001473,-0.7071693051915857,-1.7770711775079082,0.006081048193531058,-0.48445634628087575,-0.0004844563462808758
split_004_2015-12-29_2018-03-29,return_level,Return-level family,0.09671139717102051,0.02351374365389347,True,rmse_above_iqr_upper(0.088579),-0.052545810118317604,-0.07319765351712704,0.00396825396825401,0.17845102143127356,1.2920082189766027,1.6228440838383247,-0.012344142261977331,-1.3927046192493524,-0.0013927046192493521
split_004_2015-12-29_2018-03-29,volatility,Volatility family,0.09671139717102051,0.022232115268707275,True,rmse_above_iqr_upper(0.088579),-0.05264141596853733,-0.07447928190231323,-0.051587301587301626,0.07723856253132633,0.6284351339996819,0.8040688487843757,-0.003556823223483385,-1.145946718266285,-0.001145946718266285
split_004_2015-12-29_2018-03-29,momentum,Momentum family,0.09671139717102051,0.027418162673711777,True,rmse_above_iqr_upper(0.088579),-0.05079299211502075,-0.06929323449730873,-0.0714285714285714,0.18437891264550899,1.329998733036195,1.6841237840608008,-0.016415882278683736,-0.37478918236387226,-0.0003747891823638722
split_004_2015-12-29_2018-03-29,macd,MACD family,0.09671139717102051,0.029359176754951477,True,rmse_above_iqr_upper(0.088579),-0.047075143083930016,-0.06735222041606903,-0.023809523809523836,0.16094750194369944,1.1720917988076005,1.4726075923687176,-0.015543320577096842,-0.6328100211532153,-0.0006328100211532152
split_004_2015-12-29_2018-03-29,rsi,RSI family,0.09671139717102051,0.034745778888463974,True,rmse_above_iqr_upper(0.088579),-0.04426012746989727,-0.061965618282556534,-0.023809523809523836,0.26032007481340713,1.9908106935288945,2.466782463094475,-0.005827598272107881,-0.5937814236339181,-0.0005937814236339181
split_004_2015-12-29_2018-03-29,volume,Volume family,0.09671139717102051,0.04642718285322189,True,rmse_above_iqr_upper(0.088579),-0.03776047006249428,-0.050284214317798615,0.00396825396825401,0.06536375329647681,0.5276659020949892,0.6562353675183488,0.010809160465987455,0.10860457201998974,0.00010860457201998996
split_005_2016-03-31_2018-06-28,return_level,Return-level family,0.023124556988477707,0.02142174355685711,False,,-0.0017965417355298996,-0.0017028134316205978,0.04365079365079366,-0.0020905861782793966,-0.17952746532508745,-0.43016480618514197,-0.0030389952756032512,1.1701453275646054,0.0011701453275646057
split_005_2016-03-31_2018-06-28,volatility,Volatility family,0.023124556988477707,0.018211161717772484,False,,-0.0036945724859833717,-0.004913395270705223,0.02777777777777779,0.1433172619729186,1.5090937367093864,2.0353425192697117,-0.004278199108378233,0.6936817327428844,0.0006936817327428844
split_005_2016-03-31_2018-06-28,momentum,Momentum family,0.023124556988477707,0.029095211997628212,False,,0.002529297024011612,0.005970655009150505,0.05158730158730157,0.020378778655222973,-0.09140564989693856,-0.2614486370132747,-0.0030389952756038063,0.3603483994095513,0.00036034839940955136
split_005_2016-03-31_2018-06-28,macd,MACD family,0.023124556988477707,0.02976219169795513,False,,0.004964666441082954,0.006637634709477425,0.05158730158730157,-0.023649804600760493,-0.3189481158745714,-0.4847466140660426,0.00023214747455946316,1.4936817327428846,0.0014936817327428848
split_005_2016-03-31_2018-06-28,rsi,RSI family,0.023124556988477707,0.03298747166991234,False,,0.004976736381649971,0.009862914681434631,0.0357142857142857,0.027685767542956485,0.16145755594997802,0.1954632643128944,-0.0030389952756034733,0.6270150660762184,0.0006270150660762186
split_005_2016-03-31_2018-06-28,volume,Volume family,0.023124556988477707,0.029754837974905968,False,,0.005340477451682091,0.006630280986428261,0.055555555555555525,-0.011636389248035561,-0.10917259769348975,-0.16203403520510795,0.0019470548641068453,0.6269402587199631,0.0006269402587199633
split_006_2016-06-29_2018-09-27,return_level,Return-level family,0.05418483167886734,0.01714969426393509,False,,-0.029326900839805603,-0.03703513741493225,0.023809523809523836,0.08776151778428143,1.139192352850327,1.992998988546634,0.004913823997640732,-1.2569813283228606,-0.0012569813283228605
split_006_2016-06-29_2018-09-27,volatility,Volatility family,0.05418483167886734,0.01905522495508194,False,,-0.028637229464948177,-0.0351296067237854,-0.02380952380952378,0.09323095107872859,1.2884601077954996,2.2357506930599795,0.0059106803197714886,-0.7750372798694545,-0.0007750372798694546
split_006_2016-06-29_2018-09-27,momentum,Momentum family,0.05418483167886734,0.015333784744143486,False,,-0.03061292227357626,-0.038851046934723854,-0.06349206349206354,0.19170124089260865,2.8189662891849885,4.455518464225924,-0.0011920740709706612,-0.1858453509258884,-0.0001858453509258882
split_006_2016-06-29_2018-09-27,macd,MACD family,0.05418483167886734,0.021116560325026512,False,,-0.026209313422441483,-0.03306827135384083,0.059523809523809534,0.13142344314381416,1.7636988677211658,2.9431711477516305,0.011313102225474991,-0.9417039465361214,-0.0009417039465361215
split_006_2016-06-29_2018-09-27,rsi,RSI family,0.05418483167886734,0.02149757742881775,False,,-0.026857289485633373,-0.03268725425004959,-0.019841269841269826,0.04695272414556828,0.5035610308446001,0.8418311840087149,0.01857841768821311,0.8550220842676839,0.000855022084267684
split_006_2016-06-29_2018-09-27,volume,Volume family,0.05418483167886734,0.02629975974559784,False,,-0.02316756173968315,-0.0278850719332695,-0.003968253968253954,0.07903012597863057,0.8802611824947133,1.4581587851661189,0.011360130319839512,-1.0750372798694547,-0.001075037279869455
split_007_2016-09-28_2018-12-28,return_level,Return-level family,0.04624777287244797,0.0357973650097847,False,,-0.008246282115578651,-0.010450407862663269,-0.023809523809523836,0.12205463893291257,0.6954842955587832,0.745711099960277,-0.04409223458414191,-0.792001897505731,-0.0007920018975057308
split_007_2016-09-28_2018-12-28,volatility,Volatility family,0.04624777287244797,0.031814415007829666,False,,-0.011646382510662079,-0.014433357864618301,-0.06746031746031744,0.13708148986661295,1.1449948316337393,1.1607739136141295,-0.05029979539820484,0.33488606532993215,0.0003348860653299324
split_007_2016-09-28_2018-12-28,momentum,Momentum family,0.04624777287244797,0.03615051880478859,False,,-0.008767705410718918,-0.010097254067659378,-0.003968253968253954,0.05659154260095012,0.6173768190551332,0.626901328451591,-0.013243120285763132,-0.4426717033905483,-0.000442671703390548
split_007_2016-09-28_2018-12-28,macd,MACD family,0.04624777287244797,0.04667112976312637,False,,-0.0003896169364452362,0.00042335689067840576,-0.015873015873015872,0.012003819677581795,0.14253465764857776,0.16697700105163005,-0.007019184165873438,-0.4202838441826917,-0.00042028384418269166
split_007_2016-09-28_2018-12-28,rsi,RSI family,0.04624777287244797,0.06397277861833572,False,,0.0067233070731163025,0.017725005745887756,-0.031746031746031744,0.09466413110331351,0.5857241077092827,0.6158022252795354,-0.029702472721899187,0.10594940109836948,0.00010594940109836951
split_007_2016-09-28_2018-12-28,volume,Volume family,0.04624777287244797,0.06317117065191269,False,,0.0078110285103321075,0.01692339777946472,-0.031746031746031744,-0.03789176386054527,0.00891687748683001,0.019107773676662276,0.027603313642274308,1.118607922394288,0.0011186079223942879
split_008_2016-12-28_2019-04-01,return_level,Return-level family,0.04177822545170784,0.02632521651685238,False,,-0.01277838833630085,-0.015453008934855461,-0.03968253968253965,-0.028475251977494676,1.5588956231616793,3.8786890780376853,-0.008484379404100295,0.4232672629031282,0.00042326726290312826
split_008_2016-12-28_2019-04-01,volatility,Volatility family,0.04177822545170784,0.02875519171357155,False,,-0.009238800033926964,-0.013023033738136292,0.019841269841269826,0.05722653853763027,1.0084860433314464,1.9973614033568783,-0.0035342437354020095,0.3077772739806779,0.00030777727398067795
split_008_2016-12-28_2019-04-01,momentum,Momentum family,0.04177822545170784,0.04415403679013252,False,,-0.0009111780673265457,0.0023758113384246826,0.011904761904761918,0.06291563757573182,1.2826770276255495,3.447637161856976,-0.007665638152687948,-0.2968874838037312,-0.00029688748380373147
split_008_2016-12-28_2019-04-01,macd,MACD family,0.04177822545170784,0.036309219896793365,False,,-0.004818513989448547,-0.0054690055549144745,-0.04761904761904767,-0.01483302131030162,-1.1224030488842587,-2.629841763206475,-0.0002154313200396496,0.40086965917762196,0.0004008696591776221
split_008_2016-12-28_2019-04-01,rsi,RSI family,0.04177822545170784,0.034150153398513794,False,,-0.007212737575173378,-0.007628072053194046,0.031746031746031744,-0.16943344702776186,0.8217396946217619,2.35740971505963,-0.009323499455791806,-0.5002321664554179,-0.0005002321664554178
