split,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown,turnover_total,tc_total
split_001_2015-03-31_2017-06-28,0.18146667482783285,0.06193945790939515,2.7235897288115827,4.558215338047164,0.04257034836237228,-0.014359538671363303,2.0,0.002
split_002_2015-06-30_2017-09-27,0.10484168585894116,0.05993680800394607,1.693300640169472,2.4225815634730727,0.02523875123131325,-0.015569139394512321,2.5130649691758635,0.0025130649691758634
split_003_2015-09-29_2017-12-27,0.15153888666648752,0.05881607727739028,2.428585056006633,3.915203207384277,0.03590433883089239,-0.01899552748538602,2.772757542005111,0.002772757542005111
split_004_2015-12-29_2018-03-29,-0.025064239801396826,0.11394384501194785,-0.16628143603238857,-0.2035738245079564,-0.006325831430220585,-0.07860765861586494,2.7197895218386368,0.0027197895218386368
split_005_2016-03-31_2018-06-28,0.09342717761838015,0.08116720186408992,1.1406198808441061,1.5616235534464613,0.022580404251461017,-0.024175401175445366,2.713615836221277,0.002713615836221277
split_006_2016-06-29_2018-09-27,0.12519379126932084,0.060645523650197396,1.9752820018372967,3.0582478887479674,0.029927920743228142,-0.03311976802167671,3.5417039465361215,0.0035417039465361214
split_007_2016-09-28_2018-12-28,-0.4652057155719419,0.19079791799093498,-3.18232640920616,-4.037154896729903,-0.14484135733432335,-0.1779628705046309,2.1056485700062586,0.0021056485700062587
split_008_2016-12-28_2019-04-01,0.6765887935202104,0.08746406923021384,5.957213931805782,11.852743730367262,0.1379066611794324,-0.010072896646728946,2.8657970074890446,0.0028657970074890448
split_009_2017-03-30_2019-07-01,0.2515442877280911,0.07388885121452711,3.074342261513459,5.5682503827737095,0.05769768934404196,-0.020118203003110402,2.2570242713907955,0.0022570242713907955
split_010_2017-06-29_2019-09-30,-0.09870252528324674,0.15143108338283048,-0.6111399248453262,-0.7816196655601948,-0.025645402849695853,-0.07132419432127057,2.933333333333333,0.0029333333333333334
split_011_2017-09-28_2019-12-30,0.12519984517353544,0.07384754417443581,1.634083102814892,2.4145315659301905,0.029929306076236672,-0.015575912233526168,2.6333333333333333,0.0026333333333333334
split_012_2017-12-28_2020-03-31,-0.5772883000709473,0.5360491656534828,-1.3337193498605318,-1.672425638094761,-0.19367325127758328,-0.3260222049084939,2.9436005616839154,0.0029436005616839153
split_013_2018-04-02_2020-06-30,0.5464260172298672,0.19319449967117605,2.353085558089821,3.8938314551289066,0.11514742766101427,-0.04230949185697208,1.7,0.0017
split_014_2018-06-29_2020-09-29,0.31426719826668514,0.09207830836434608,3.014780509377851,5.031001433045938,0.07070767852494386,-0.03376548443914762,1.7,0.0017
split_015_2018-09-28_2020-12-29,0.6372775272936497,0.1278825727852095,3.9221473192052265,6.263849712685852,0.13117702371236883,-0.06094401628804047,3.466666666666667,0.003466666666666667
split_016_2018-12-31_2021-03-31,-0.005803651155744438,0.13446308944342997,0.023118143315444636,0.030116602887289984,-0.0014540812440100304,-0.06210666765518813,2.8543480303571505,0.0028543480303571504
split_017_2019-04-02_2021-06-30,0.30274640687772236,0.08767262691937783,3.061301734280077,5.120677259234416,0.06835348492871152,-0.029268268344386117,3.349975812169442,0.003349975812169442
split_018_2019-07-02_2021-09-29,0.003387720425821694,0.12024834177608416,0.0873394372358647,0.1250754858527031,0.0008458562918405299,-0.045725631291347546,2.136939895790762,0.002136939895790762
split_019_2019-10-01_2021-12-29,0.26199553851172386,0.11595926207480876,2.064619955621905,3.2787053345476886,0.05989893285513603,-0.04736061032748207,2.6333333333333333,0.0026333333333333334
split_020_2019-12-31_2022-03-30,-0.1147009152381363,0.17403054585902875,-0.6144263326334509,-0.8897601875028737,-0.029998281217592182,-0.1218222737486182,3.0044932430822144,0.0030044932430822145
split_021_2020-04-01_2022-06-30,-0.5220617804918566,0.24148396422218107,-2.933262319379881,-3.525888228328449,-0.16853697626099973,-0.19105145332081686,2.4487245722604083,0.0024487245722604085
split_022_2020-07-01_2022-09-29,-0.26207695593278646,0.18321652438691102,-1.567389397715762,-2.0704630357253704,-0.07316426895963346,-0.1430255162098929,3.0036498351839027,0.0030036498351839027
split_023_2020-09-30_2022-12-29,0.22394060476766509,0.21059263343504897,1.062760974701435,1.8345604235246606,0.05181675759612814,-0.06444218214331476,3.668160496616204,0.003668160496616204
split_024_2020-12-30_2023-03-31,0.17200441663324284,0.14377977560735988,1.1749849011455964,1.7326371994159362,0.040476586984421914,-0.09180585186022117,1.9372146426376244,0.0019372146426376246
split_025_2021-04-01_2023-07-03,-0.0060674652882992675,0.09160822607718314,-0.021369812404368253,-0.03075895814975623,-0.0015203299138858428,-0.04300205359902842,2.635349267423236,0.0026353492674232363
split_026_2021-07-01_2023-10-02,-0.29242397513171947,0.11666099103534752,-2.9055461174915367,-3.5575952430030244,-0.08284386119789156,-0.10599725936565896,2.864702642403919,0.002864702642403919
split_027_2021-09-30_2024-01-02,0.5952161395761648,0.15657155214205706,3.0620373203414175,5.484252818801234,0.12384103039994732,-0.05882720938884989,2.5521693142446398,0.00255216931424464
split_028_2021-12-30_2024-04-03,0.20821358111451738,0.13429261406569026,1.4752161985274646,2.16058931236107,0.048421523761358554,-0.030856208006540986,2.4,0.0024
split_029_2022-03-31_2024-07-03,0.09174314532736316,0.11145382525776075,0.8425866007062153,1.2102827229185287,0.022186447083889282,-0.04612805465957881,2.864685227533768,0.002864685227533768
split_030_2022-07-01_2024-10-02,0.2344653682405038,0.15828836494910806,1.4092585583349846,2.08117780327688,0.05407066665653115,-0.06198538552222632,3.064092178432496,0.003064092178432496
split_031_2022-09-30_2025-01-02,-0.2196578365121855,0.11647869589333873,-2.070505884778327,-2.434081309156472,-0.060122466848434364,-0.071874343191202,3.597399393098933,0.0035973993930989334
split_032_2022-12-30_2025-04-04,-0.23697200066427215,0.13023859981191527,-2.011206386035293,-2.4536484833310745,-0.06537989586734527,-0.10019520974684915,4.0,0.004
split_033_2023-04-03_2025-07-08,0.8288055492451272,0.20078424017393273,3.1073049601127654,5.903740990833091,0.1628986938170618,-0.03328204154968262,3.466666666666667,0.003466666666666667
split_034_2023-07-05_2025-10-06,0.371014109050805,0.1023017211012508,3.1366322725270406,5.616600690490648,0.08208276802227643,-0.02363366695555036,1.741926632068958,0.001741926632068958
