feature,feature_label,mean_abs_shap
volume_chg,Volume change,9.423286973851177
mom_5,5-day momentum,0.022566328896514717
ret_mean_5,5-day average return,0.01869221062239493
mom_20,20-day momentum,0.01788055284422655
mom_60,60-day momentum,0.015918260271827158
macd_hist,MACD histogram,0.014197661195442291
macd_signal_9,MACD signal (9),0.013690772547805307
ret_std_10,10-day return volatility,0.012852527691129286
mom_10,10-day momentum,0.012384188645639017
rsi_14,14-day RSI,0.012128098978469243
ret_mean_10,10-day average return,0.01179717121079105
ret_std_20,20-day return volatility,0.011325290493151707
ret_mean_20,20-day average return,0.010433163146738098
simple_return_1,1-day simple return,0.010240795794743462
log_return_1,1-day log return,0.010200930178730378
ret_mean_60,60-day average return,0.009951517506197565
macd_12_26,"MACD (12, 26)",0.009478597840033246
ret_std_5,5-day return volatility,0.008693706978163155
volume_roll_mean_20,20-day average volume,0.006348847821843059
volume,Trading volume,0.006033031707316226
ret_std_60,60-day return volatility,0.005959256188537937
ticker_IWM,Asset indicator: IWM,0.005152580034137505
ticker_TLT,Asset indicator: TLT,0.0043040401662379265
ticker_EFA,Asset indicator: EFA,0.004156756934559868
ticker_SPY,Asset indicator: SPY,0.0037675995550788713
