feature,feature_label,mean_abs_shap
ret_std_5,5-day return volatility,0.008702090847834392
log_return_1,1-day log return,0.008431824869457016
mom_5,5-day momentum,0.0058265485490401935
macd_signal_9,MACD signal (9),0.005466968030816118
simple_return_1,1-day simple return,0.005404214836173106
volume_roll_mean_20,20-day average volume,0.00507319008661285
ret_std_20,20-day return volatility,0.004927177099361419
macd_12_26,"MACD (12, 26)",0.004810424416064052
mom_20,20-day momentum,0.004631054074647077
rsi_14,14-day RSI,0.004547024821634799
ret_mean_10,10-day average return,0.004469584303591516
ret_mean_60,60-day average return,0.004286112464849658
ret_mean_20,20-day average return,0.004053803044912494
mom_10,10-day momentum,0.003909954156039352
macd_hist,MACD histogram,0.0038421479383197784
ret_std_60,60-day return volatility,0.003769753758845108
volume,Trading volume,0.003657102241906749
ticker_TLT,Asset indicator: TLT,0.0036507248402535167
ret_mean_5,5-day average return,0.0036260990253681523
ret_std_10,10-day return volatility,0.003299715594339958
mom_60,60-day momentum,0.003180314077446593
ticker_SPY,Asset indicator: SPY,0.002903401754961988
ticker_EFA,Asset indicator: EFA,0.002474938716050545
ticker_IWM,Asset indicator: IWM,0.002060574909832633
volume_chg,Volume change,3.8057908214496234e-06
