feature,feature_label,mean_abs_shap
ret_std_20,20-day return volatility,0.012576124650832219
ret_mean_20,20-day average return,0.011148667514150046
ret_std_60,60-day return volatility,0.009532832278035896
mom_60,60-day momentum,0.00951290848337341
rsi_14,14-day RSI,0.008781388943893681
ret_mean_10,10-day average return,0.008242358601406026
ret_std_10,10-day return volatility,0.007336950716360526
ticker_SPY,Asset indicator: SPY,0.0071373860779158724
ticker_EFA,Asset indicator: EFA,0.006926108980953043
mom_10,10-day momentum,0.006827746962330858
volume_roll_mean_20,20-day average volume,0.006469273848689069
mom_20,20-day momentum,0.00646906362716669
ret_mean_5,5-day average return,0.006442246832576973
ret_mean_60,60-day average return,0.0063224433451677595
ret_std_5,5-day return volatility,0.00624513181175328
macd_hist,MACD histogram,0.006181716190898562
mom_5,5-day momentum,0.006046432631825335
log_return_1,1-day log return,0.006001326259348757
volume_chg,Volume change,0.005945166772265614
volume,Trading volume,0.005074250973788262
simple_return_1,1-day simple return,0.005030591668175535
macd_12_26,"MACD (12, 26)",0.004929538883441051
macd_signal_9,MACD signal (9),0.00471650212470315
ticker_TLT,Asset indicator: TLT,0.004390055018338598
ticker_IWM,Asset indicator: IWM,0.0028605415465549904
