feature,feature_label,mean_abs_shap
macd_signal_9,MACD signal (9),0.01824227943435573
mom_20,20-day momentum,0.017002987449128253
ret_std_10,10-day return volatility,0.014911640838855404
ret_std_60,60-day return volatility,0.014693647968819218
ret_mean_10,10-day average return,0.013762672568563936
mom_10,10-day momentum,0.011667578951331603
macd_12_26,"MACD (12, 26)",0.01142112461638299
ret_mean_20,20-day average return,0.011134311623596868
ret_std_5,5-day return volatility,0.010126801042193233
mom_60,60-day momentum,0.009754158209899123
macd_hist,MACD histogram,0.00818717136298503
rsi_14,14-day RSI,0.008134888167242919
ret_std_20,20-day return volatility,0.008115459562148198
ret_mean_60,60-day average return,0.007729338127647366
mom_5,5-day momentum,0.007685892430747684
volume,Trading volume,0.0071210132163451205
ret_mean_5,5-day average return,0.006412522637189989
simple_return_1,1-day simple return,0.006343920620006653
volume_roll_mean_20,20-day average volume,0.006192621662730893
log_return_1,1-day log return,0.00578314664501883
ticker_SPY,Asset indicator: SPY,0.004821283898225181
volume_chg,Volume change,0.004765118409180059
ticker_IWM,Asset indicator: IWM,0.0030452872343317483
ticker_TLT,Asset indicator: TLT,0.0028117019483928384
ticker_EFA,Asset indicator: EFA,0.002623009904292288
