feature,feature_label,mean_abs_shap
ret_mean_60,60-day average return,0.020231978737817864
mom_60,60-day momentum,0.02007292301516186
ret_std_10,10-day return volatility,0.015970137369385767
ret_mean_20,20-day average return,0.015479144227565036
ret_std_60,60-day return volatility,0.014304319596465307
ret_std_5,5-day return volatility,0.014275056953801006
mom_20,20-day momentum,0.012949567784356778
rsi_14,14-day RSI,0.011233182346780373
macd_12_26,"MACD (12, 26)",0.010836876591965252
volume_roll_mean_20,20-day average volume,0.010752093764718576
simple_return_1,1-day simple return,0.010525827697239917
macd_signal_9,MACD signal (9),0.010438338489203473
ret_mean_10,10-day average return,0.009839139256402006
log_return_1,1-day log return,0.009635794342721354
ret_std_20,20-day return volatility,0.009448701479742026
mom_10,10-day momentum,0.00870054140271305
ticker_IWM,Asset indicator: IWM,0.00862678601936109
volume,Trading volume,0.008072039598089043
mom_5,5-day momentum,0.007664209043453963
ret_mean_5,5-day average return,0.007504239369870343
volume_chg,Volume change,0.007369857275721113
macd_hist,MACD histogram,0.00710953066962128
ticker_TLT,Asset indicator: TLT,0.005796406188892433
ticker_SPY,Asset indicator: SPY,0.00374430466905085
ticker_EFA,Asset indicator: EFA,0.003378915034519479
