feature,feature_label,mean_abs_shap
macd_12_26,"MACD (12, 26)",0.00682697966951595
ret_mean_60,60-day average return,0.006405641427403123
mom_60,60-day momentum,0.006308852700701307
macd_hist,MACD histogram,0.006228626725188849
volume,Trading volume,0.005808681839584439
macd_signal_9,MACD signal (9),0.005754102933325676
ret_mean_20,20-day average return,0.005718222085058435
rsi_14,14-day RSI,0.005601732663917047
volume_roll_mean_20,20-day average volume,0.004717831794580941
mom_20,20-day momentum,0.004504300098315897
mom_5,5-day momentum,0.004400398704423093
log_return_1,1-day log return,0.004397127630856766
mom_10,10-day momentum,0.0042125947244837205
ret_std_20,20-day return volatility,0.0041873777425145125
simple_return_1,1-day simple return,0.004041931790844268
ret_std_60,60-day return volatility,0.0036452098784213963
ret_std_5,5-day return volatility,0.0035536944546759866
ticker_SPY,Asset indicator: SPY,0.0034786716547567584
ret_std_10,10-day return volatility,0.003460094887516841
ticker_TLT,Asset indicator: TLT,0.0032404683669265367
ret_mean_5,5-day average return,0.0030259789860522216
ret_mean_10,10-day average return,0.002975136175434671
ticker_EFA,Asset indicator: EFA,0.0027266627178295123
volume_chg,Volume change,0.0020517618243703108
ticker_IWM,Asset indicator: IWM,0.0020261550927131817
