feature,feature_label,mean_abs_shap
ret_mean_5,5-day average return,0.012994363742153637
ret_mean_10,10-day average return,0.012485204293152197
mom_5,5-day momentum,0.010509831167282976
ret_std_20,20-day return volatility,0.009561897282439783
mom_10,10-day momentum,0.00836922432169625
macd_hist,MACD histogram,0.007841328673378936
ret_mean_20,20-day average return,0.007639563784412131
log_return_1,1-day log return,0.006903135507847646
ret_std_10,10-day return volatility,0.006886137016260726
rsi_14,14-day RSI,0.006833433670609833
ret_std_60,60-day return volatility,0.006626766030137325
macd_12_26,"MACD (12, 26)",0.006572343781495815
ret_std_5,5-day return volatility,0.006483917234322505
simple_return_1,1-day simple return,0.006227956597566793
macd_signal_9,MACD signal (9),0.006190333923997998
mom_20,20-day momentum,0.005921390771721982
volume,Trading volume,0.005160942793795621
volume_roll_mean_20,20-day average volume,0.004657518384133218
volume_chg,Volume change,0.004577057609607644
ret_mean_60,60-day average return,0.00438317305230246
mom_60,60-day momentum,0.004368429791042202
ticker_IWM,Asset indicator: IWM,0.004027626229392668
ticker_EFA,Asset indicator: EFA,0.0037572849921154437
ticker_TLT,Asset indicator: TLT,0.0023516344236424363
ticker_SPY,Asset indicator: SPY,0.0022622304812664777
