feature,feature_label,mean_abs_shap
ret_mean_60,60-day average return,0.0157062860962735
mom_60,60-day momentum,0.015342417009261197
macd_signal_9,MACD signal (9),0.009421277675785185
volume_roll_mean_20,20-day average volume,0.008433267469069593
log_return_1,1-day log return,0.00838937964806152
macd_12_26,"MACD (12, 26)",0.008218002413184055
rsi_14,14-day RSI,0.007554108109352162
ret_mean_5,5-day average return,0.007184818991640162
ret_std_10,10-day return volatility,0.0068474642259036865
simple_return_1,1-day simple return,0.006222996850400734
ret_mean_20,20-day average return,0.006111085781016769
ret_std_20,20-day return volatility,0.005914765591202717
mom_5,5-day momentum,0.005776581661965822
ret_mean_10,10-day average return,0.005758980954910399
mom_20,20-day momentum,0.005607133132798481
ret_std_5,5-day return volatility,0.005540991539272645
ticker_SPY,Asset indicator: SPY,0.005534337474230252
volume,Trading volume,0.005382140053752077
mom_10,10-day momentum,0.0048572837702507855
ret_std_60,60-day return volatility,0.004503692723266149
ticker_EFA,Asset indicator: EFA,0.0036315330922192398
macd_hist,MACD histogram,0.0035537985365936627
ticker_TLT,Asset indicator: TLT,0.003097342800683673
ticker_IWM,Asset indicator: IWM,0.00287024400289914
volume_chg,Volume change,2.8782546465780827e-06
