feature,feature_label,mean_abs_shap
mom_5,5-day momentum,0.02330821354242348
macd_12_26,"MACD (12, 26)",0.021413001103933165
ret_mean_20,20-day average return,0.019665720008854425
ret_mean_60,60-day average return,0.018948619010951653
ret_mean_10,10-day average return,0.018366583662012295
ret_std_10,10-day return volatility,0.016888947248639118
rsi_14,14-day RSI,0.016418923405346446
macd_hist,MACD histogram,0.01640460634523826
mom_20,20-day momentum,0.015498591123046466
mom_60,60-day momentum,0.014606524544726726
macd_signal_9,MACD signal (9),0.014568963455413694
simple_return_1,1-day simple return,0.014012895575990936
mom_10,10-day momentum,0.013893368298791727
ret_mean_5,5-day average return,0.013317602167981316
ret_std_5,5-day return volatility,0.010125593517020002
log_return_1,1-day log return,0.0093194609490902
volume,Trading volume,0.009208203059848354
volume_chg,Volume change,0.00839693060373564
volume_roll_mean_20,20-day average volume,0.007401272034837435
ret_std_20,20-day return volatility,0.00688382464126804
ticker_SPY,Asset indicator: SPY,0.006297217386007458
ret_std_60,60-day return volatility,0.005154156741560479
ticker_TLT,Asset indicator: TLT,0.004582589643867381
ticker_IWM,Asset indicator: IWM,0.004396848514393388
ticker_EFA,Asset indicator: EFA,0.0037126634703209646
