feature,feature_label,mean_abs_shap
ret_std_60,60-day return volatility,0.020077810230863864
ret_mean_5,5-day average return,0.012251580251165146
rsi_14,14-day RSI,0.012133833855811838
volume_chg,Volume change,0.011728374379151214
mom_5,5-day momentum,0.011477640999116568
ret_std_5,5-day return volatility,0.011296736027126648
volume,Trading volume,0.010215383788311213
ret_std_20,20-day return volatility,0.010129115193134954
mom_20,20-day momentum,0.010062952817220396
simple_return_1,1-day simple return,0.010029952737076216
macd_signal_9,MACD signal (9),0.009551307073200063
ret_std_10,10-day return volatility,0.008643319280695248
log_return_1,1-day log return,0.008520129055531485
ret_mean_20,20-day average return,0.007955303769762634
volume_roll_mean_20,20-day average volume,0.007647382700434107
ret_mean_10,10-day average return,0.007472251390384774
ret_mean_60,60-day average return,0.007266569434623157
macd_hist,MACD histogram,0.007140298179198368
macd_12_26,"MACD (12, 26)",0.0070599487609469495
ticker_TLT,Asset indicator: TLT,0.0070286543832853415
mom_10,10-day momentum,0.006787716514289238
mom_60,60-day momentum,0.005544150158949959
ticker_EFA,Asset indicator: EFA,0.0055213729604280965
ticker_IWM,Asset indicator: IWM,0.0048432062220272794
ticker_SPY,Asset indicator: SPY,0.004116206152950147
