feature,feature_label,mean_abs_shap
mom_10,10-day momentum,0.008042774130327387
mom_20,20-day momentum,0.005487609775715804
rsi_14,14-day RSI,0.004837327732774054
ret_mean_20,20-day average return,0.004515412127419393
mom_60,60-day momentum,0.004450997704313317
ret_mean_60,60-day average return,0.0044182243810874135
macd_signal_9,MACD signal (9),0.0044014911184809356
mom_5,5-day momentum,0.004397536021960766
ret_mean_10,10-day average return,0.003988904570383789
volume_roll_mean_20,20-day average volume,0.0038929141018812633
ret_mean_5,5-day average return,0.0038464976592701033
volume,Trading volume,0.00355229973170466
macd_12_26,"MACD (12, 26)",0.00326124995280914
ret_std_60,60-day return volatility,0.003197987671147794
macd_hist,MACD histogram,0.0031654766705962118
simple_return_1,1-day simple return,0.0031036921508266167
ret_std_20,20-day return volatility,0.0029693036517381833
log_return_1,1-day log return,0.002889489495300363
ret_std_10,10-day return volatility,0.00272976220323486
volume_chg,Volume change,0.002179734646160209
ticker_TLT,Asset indicator: TLT,0.002028195770252193
ret_std_5,5-day return volatility,0.0017703186197562195
ticker_IWM,Asset indicator: IWM,0.0014521948359904327
ticker_SPY,Asset indicator: SPY,0.001256619683658755
ticker_EFA,Asset indicator: EFA,0.001240294466666206
