feature,feature_label,mean_abs_shap
macd_signal_9,MACD signal (9),0.02126711798838023
ret_std_20,20-day return volatility,0.01929974431967836
ret_mean_60,60-day average return,0.01725000796682625
ret_std_60,60-day return volatility,0.01637683980325313
mom_20,20-day momentum,0.016173679891760943
ret_mean_10,10-day average return,0.015688220677862984
ret_mean_20,20-day average return,0.014949715188508815
ret_std_10,10-day return volatility,0.014805062517433592
mom_5,5-day momentum,0.014230225717390617
ret_std_5,5-day return volatility,0.013907717317571773
log_return_1,1-day log return,0.013182126430290767
mom_60,60-day momentum,0.01306098236687592
macd_12_26,"MACD (12, 26)",0.011673849444422723
mom_10,10-day momentum,0.00992729349690919
volume,Trading volume,0.009251740109604844
rsi_14,14-day RSI,0.008388091528253367
ret_mean_5,5-day average return,0.008375500775534912
simple_return_1,1-day simple return,0.008279782501094665
macd_hist,MACD histogram,0.007938606959121481
volume_roll_mean_20,20-day average volume,0.007859263529516299
volume_chg,Volume change,0.004917833342676845
ticker_IWM,Asset indicator: IWM,0.004762570029000568
ticker_TLT,Asset indicator: TLT,0.004517343297926391
ticker_SPY,Asset indicator: SPY,0.0032920086544838906
ticker_EFA,Asset indicator: EFA,0.0025644078333079664
