feature,feature_label,mean_abs_shap
ret_mean_60,60-day average return,0.014663067871640765
mom_20,20-day momentum,0.010435326560448138
log_return_1,1-day log return,0.009834617053069242
ret_mean_20,20-day average return,0.009312558623396847
mom_10,10-day momentum,0.008678202353442683
macd_hist,MACD histogram,0.008560865137209862
simple_return_1,1-day simple return,0.00844418843023989
rsi_14,14-day RSI,0.008389294704460046
macd_12_26,"MACD (12, 26)",0.007898224645077044
ret_mean_5,5-day average return,0.007671016783951629
ret_mean_10,10-day average return,0.007584580803804933
macd_signal_9,MACD signal (9),0.0075584208666367005
volume,Trading volume,0.007187991824929534
ret_std_5,5-day return volatility,0.007164125216418217
ret_std_10,10-day return volatility,0.007102459825307692
ret_std_60,60-day return volatility,0.006965029777824921
volume_roll_mean_20,20-day average volume,0.006629500774638994
mom_5,5-day momentum,0.006535359139135955
ret_std_20,20-day return volatility,0.006481634565179625
mom_60,60-day momentum,0.006321765888746175
volume_chg,Volume change,0.005960460072543117
ticker_TLT,Asset indicator: TLT,0.004908136238838302
ticker_SPY,Asset indicator: SPY,0.004572732348964057
ticker_IWM,Asset indicator: IWM,0.004092377222463494
ticker_EFA,Asset indicator: EFA,0.003613234718770519
