split,base_model,compare_model,delta_net_ann_return,delta_net_ann_vol,delta_net_sharpe,delta_net_sortino,delta_net_cumulative_return,delta_net_max_drawdown,delta_turnover_total,delta_tc_total
split_001_2015-03-31_2017-06-28,dnn_only,dnn_rl,0.03411287118343559,-0.013487030244274709,1.0014872180937822,1.0111938656705615,0.0074619436996992,0.0045290736266123,-0.9610659054061119,-0.0009610659054062002
split_002_2015-06-30_2017-09-27,dnn_only,dnn_rl,-0.1619765861323967,-0.002213795674763208,-2.3830628104020857,-3.4459944454583518,-0.0392749044227165,-0.0080025401521065,-1.0442640792572622,-0.0010442640792573
split_003_2015-09-29_2017-12-27,dnn_only,dnn_rl,-0.0221077355771149,-0.0015313612113405997,-0.25427689163552714,-0.7887347361313459,-0.004909917461199703,0.0008416473199612008,-2.085445426731912,-0.0020854454267319
split_004_2015-12-29_2018-03-29,dnn_only,dnn_rl,-0.17979717793252847,-0.010107002428274697,-1.5949217462535676,-2.0437605782816903,-0.0448639436573115,0.018689366896271792,-1.617888781126298,-0.0016178887811263
split_005_2016-03-31_2018-06-28,dnn_only,dnn_rl,0.0734595143329985,-0.006268675968702606,0.724222666719244,1.0689130167972907,0.016665543042944295,-0.002068808490418999,-1.4144597308048226,-0.0014144597308049002
split_006_2016-06-29_2018-09-27,dnn_only,dnn_rl,-0.1296142268525462,0.015386817365039607,-1.9729859252664346,-3.2830737603100335,-0.030080759512455403,-0.014713767004084694,-1.260747857491321,-0.0012607478574913002
split_007_2016-09-28_2018-12-28,dnn_only,dnn_rl,-0.11914140625410996,0.023376283839420975,-0.74574395435556,-0.8135943040690052,-0.04702192772298229,-0.047872801114535596,-1.8283648708862055,-0.0018283648708861998
split_008_2016-12-28_2019-04-01,dnn_only,dnn_rl,-0.11187550531553692,-0.0030480027413870986,-0.607556129947751,-1.8233718515168977,-0.019476957536659803,-0.0082208698570995,-0.7445036442144892,-0.0007445036442145
split_009_2017-03-30_2019-07-01,dnn_only,dnn_rl,-0.135916000304654,0.0379622776854239,-1.951750468118029,-3.854466829544224,-0.029509041239015696,-0.0374532924829102,-0.8467051310678417,-0.0008467051310678
split_010_2017-06-29_2019-09-30,dnn_only,dnn_rl,0.29588905339366556,-0.0631689139809049,2.661840563991367,3.991062225379045,0.0726204679763694,0.0528094979552543,-1.2416956968426593,-0.0012416956968427
