split,base_model,compare_model,delta_net_ann_return,delta_net_ann_vol,delta_net_sharpe,delta_net_sortino,delta_net_cumulative_return,delta_net_max_drawdown,delta_turnover_total,delta_tc_total
split_001_2015-03-31_2017-06-28,black_litterman,dnn_rl,0.05385265940010861,0.0021292460725613957,0.6815444580132062,1.2669982246791092,0.0118541918539352,0.0037201347134786997,0.3623140945938881,0.0003623140945937999
split_002_2015-06-30_2017-09-27,black_litterman,dnn_rl,-0.0981262864138003,0.014559056851813898,-1.7920763340169168,-2.3834257606236324,-0.0243343449869624,-0.0116972724099715,1.1067111645639638,0.001106711164564
split_003_2015-09-29_2017-12-27,black_litterman,dnn_rl,-0.06007846354082219,0.0115612382822399,-1.751759353658867,-4.019043593831286,-0.013184458731026999,-0.007183814279275599,-0.3605172587191967,-0.0003605172587192
split_004_2015-12-29_2018-03-29,black_litterman,dnn_rl,0.02533425111394151,-0.048122924344090795,-0.09787563851832082,-0.15507708962745026,0.006841408734268202,0.025987328101059193,0.6400212466693387,0.0006400212466693
split_005_2016-03-31_2018-06-28,black_litterman,dnn_rl,0.028184153332766193,-0.0022286976902532035,0.28145242262858594,0.38714863313998293,0.006299104675324199,-0.006046433770108901,-0.16470105914736477,-0.00016470105914740004
split_006_2016-06-29_2018-09-27,black_litterman,dnn_rl,-0.1699761751612354,0.004562793151755798,-2.0731482746423326,-3.307449868033653,-0.0389356069769275,-0.029220134455138196,0.8373094223781334,0.0008373094223780998
split_007_2016-09-28_2018-12-28,black_litterman,dnn_rl,-0.06946112075937727,-0.002482285876985818,-0.6955238558709338,-0.819796320177204,-0.028342258408559,-0.0304629934443936,-0.9180363008799467,-0.0009180363008800001
split_008_2016-12-28_2019-04-01,black_litterman,dnn_rl,0.1635760533269453,0.0254327781173082,-0.40146477363807875,-0.6480953106387926,0.030451565758379096,-0.0033338144791341985,0.716519670011488,0.0007165196700115002
split_009_2017-03-30_2019-07-01,black_litterman,dnn_rl,-0.02951027686049021,0.057197926909757606,-1.478473587807781,-2.5451801359771453,-0.006622819276457602,-0.0404810435889098,0.503335535105552,0.0005033355351055
split_010_2017-06-29_2019-09-30,black_litterman,dnn_rl,-0.029754521674489526,0.012450651657199191,-0.6323599990515569,-0.7358880106941537,-0.006512836127942095,0.008426297767152098,0.7922742976600687,0.0007922742976600001
split_011_2017-09-28_2019-12-30,black_litterman,dnn_rl,0.015254086878674099,-0.009570600550560193,0.3082297554030088,0.5161020138701978,0.003666290931020999,0.007233901893376797,1.999308657904856,0.0019993086579048
split_012_2017-12-28_2020-03-31,black_litterman,dnn_rl,-0.6336740303495006,0.15067728140289618,-2.3193755459548773,-2.858697353206412,-0.18188139408561138,-0.12292876532801622,0.5240948064140003,0.0005240948064139999
split_013_2018-04-02_2020-06-30,black_litterman,dnn_rl,0.4729177717044224,0.2038272742224655,-0.690134608992655,-1.6922776008058613,0.08479278535747792,-0.0376843835663194,1.020574313051617,0.0010205743130516
split_014_2018-06-29_2020-09-29,black_litterman,dnn_rl,-0.008571196130061604,0.0087988850250513,-0.2444501769945786,-0.19964242001136734,-0.0019491212719729006,0.0015873390047796976,-0.2873258011322476,-0.0002873258011323
split_015_2018-09-28_2020-12-29,black_litterman,dnn_rl,0.0699774233816804,-0.0027873678784779976,0.7870053545868387,1.3976243330375804,0.015872722113073,0.0008996064254732997,-0.14756546341195098,-0.00014756546341200007
split_016_2018-12-31_2021-03-31,black_litterman,dnn_rl,-0.0614576399130809,-0.010381126603121002,-0.9141509637680814,-1.1379333617575056,-0.017797803585068606,-0.008931713931392894,-0.382043342614914,-0.0003820433426149
split_017_2019-04-02_2021-06-30,black_litterman,dnn_rl,-0.007611919624115615,0.004431376128369802,-0.20047156890732332,-0.3243342044893849,-0.0015818951659793967,0.0035289787011882,0.657912188450992,0.0006579121884509001
split_018_2019-07-02_2021-09-29,black_litterman,dnn_rl,-0.06795505046402489,0.022480258907126904,-0.7176511438580094,-0.9641342903351144,-0.0173992034257938,0.0010526738601382007,0.483044604041442,0.0004830446040414
split_019_2019-10-01_2021-12-29,black_litterman,dnn_rl,-0.1138446929348784,-0.004454404907946699,-0.9958205079981273,-1.7198063235212646,-0.024948517932846498,-0.0033353956294375,-0.4168661705780867,-0.00041686617057799997
split_020_2019-12-31_2022-03-30,black_litterman,dnn_rl,0.06480854373758371,-0.003242707384724791,0.43908691130509847,0.6006030808437983,0.0176870827419298,0.0159329641733421,0.08630356251840565,8.630356251839995e-05
split_021_2020-04-01_2022-06-30,black_litterman,dnn_rl,0.03772969093653106,-0.025306537957798275,0.01716395768105272,0.0071242960006272504,0.016043569322443385,0.013643226175905715,0.8219332145882836,0.0008219332145882
split_022_2020-07-01_2022-09-29,black_litterman,dnn_rl,-0.17386854117106249,-0.03990656232200748,-1.3580618097041657,-1.6836590087959413,-0.0524102480605234,0.017347053674971913,0.4262706321204375,0.0004262706321204999
split_023_2020-09-30_2022-12-29,black_litterman,dnn_rl,-0.016573547885485373,-0.059266534638468815,0.1832742109560166,0.35574360262567484,-0.0034458695512940007,0.009383250016434808,-0.07590060774436935,-7.59006077444e-05
split_024_2020-12-30_2023-03-31,black_litterman,dnn_rl,-0.07709485140189898,-0.002627543652257508,-0.36749670746909424,-0.631057333058525,-0.015918395712860398,-0.0135318629474145,-0.05569080373776425,-5.5690803737800006e-05
split_025_2021-04-01_2023-07-03,black_litterman,dnn_rl,0.0708759957799247,0.014916903525310304,0.25975270446670873,0.506975043771408,0.0150558771433566,-0.0022901999317958,-1.0599905409624892,-0.0010599905409625
split_026_2021-07-01_2023-10-02,black_litterman,dnn_rl,0.07521286858514373,0.0025412232008727026,0.9128367181099835,1.038534499328768,0.022697185338557406,0.013880225260469808,-1.5160545135330437,-0.0015160545135331
split_027_2021-09-30_2024-01-02,black_litterman,dnn_rl,0.13374291286962103,0.00022883467521159218,0.6407293930542393,1.3919615948668262,0.024453723539628103,-0.002214641474875205,-1.1260393919507279,-0.0011260393919508
split_028_2021-12-30_2024-04-03,black_litterman,dnn_rl,-0.07365628229205129,0.006324784858024707,-0.7214884004720865,-1.5728833962029656,-0.014644726549942491,-0.0029831952267224994,0.046307426788326556,4.63074267883e-05
split_029_2022-03-31_2024-07-03,black_litterman,dnn_rl,-0.0284260957867917,0.002016513587345392,-0.2631734307013387,-0.4070922404565951,-0.0062687197950362025,-0.0023290144495339005,0.7760888127065055,0.0007760888127065
split_030_2022-07-01_2024-10-02,black_litterman,dnn_rl,-0.009268382345204607,-0.01842702316579639,0.056472381931136684,0.08387961663462606,-0.0020905902867638035,0.005880568032876787,0.6348772683710397,0.0006348772683711001
split_031_2022-09-30_2025-01-02,black_litterman,dnn_rl,0.0237181251042837,0.006161309624102801,0.2653263483777254,0.29547732334922017,0.006246151736610502,-0.007423324920361095,0.12083625905343598,0.00012083625905340008
split_032_2022-12-30_2025-04-04,black_litterman,dnn_rl,0.3004667832072326,-0.0946432936690215,1.6496365635314694,1.8052063651582744,0.0880448691207123,0.1005022270765284,0.27982626718645154,0.0002798262671863999
split_033_2023-04-03_2025-07-08,black_litterman,dnn_rl,-0.24573711913428864,-0.051427323135862096,0.2701392631609436,-0.9577061259449895,-0.035138051319126784,0.007455727302194699,1.1019546221447878,0.0011019546221447
split_034_2023-07-05_2025-10-06,black_litterman,dnn_rl,-0.09953747282930533,0.008838259758278705,-1.083080200210902,-2.303031927663385,-0.020452935159457203,-0.0053347572804467,0.970812668417445,0.0009708126684173999
