split_name,case_id,date,ticker,feature,weight,abs_weight,y_true,y_pred
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,20-day return volatility > 0.11,0.062017819579037306,0.062017819579037306,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,MACD signal (9) > 0.47,0.045447979330000145,0.045447979330000145,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,10-day return volatility > 0.07,-0.04313229719256049,0.04313229719256049,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,5-day average return <= -0.29,-0.03723114437183431,0.03723114437183431,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,5-day momentum <= -0.31,-0.0323685320049113,0.0323685320049113,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,Trading volume > 0.27,-0.02559033519074012,0.02559033519074012,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,Asset indicator: IWM <= 0.00,-0.024612219603526716,0.024612219603526716,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,Asset indicator: TLT <= 0.00,-0.02177745604963077,0.02177745604963077,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,"MACD (12, 26) > 0.47",-0.016725587901182733,0.016725587901182733,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,1,2020-06-12,SPY,5-day return volatility > 0.08,-0.013337172138024767,0.013337172138024767,0.009292429313063622,0.2959222197532654
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,20-day return volatility > 0.11,0.06551605531297817,0.06551605531297817,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,10-day return volatility > 0.07,-0.05017212839375535,0.05017212839375535,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,MACD signal (9) > 0.47,0.03510348800033538,0.03510348800033538,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,60-day average return <= -0.41,0.023986777058530733,0.023986777058530733,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,60-day return volatility > 0.31,0.0199922519191198,0.0199922519191198,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,Asset indicator: IWM > 0.25,0.019958760892781285,0.019958760892781285,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,Asset indicator: TLT <= 0.00,-0.016090629284674838,0.016090629284674838,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,5-day average return > 0.45,0.014390294940725867,0.014390294940725867,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,5-day momentum > 0.46,0.012278068210128874,0.012278068210128874,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,2,2020-05-20,IWM,60-day momentum <= -0.47,0.011367046537091077,0.011367046537091077,0.0017891994211822748,-0.5195600986480713
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,20-day return volatility > 0.11,0.04773112614586007,0.04773112614586007,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,10-day return volatility > 0.07,-0.0414867073367552,0.0414867073367552,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,MACD signal (9) > 0.47,0.03786711818104818,0.03786711818104818,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,5-day momentum > 0.46,0.020820084481791387,0.020820084481791387,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,Asset indicator: IWM > 0.25,0.02079909707090917,0.02079909707090917,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,60-day average return <= -0.41,0.020614578707046693,0.020614578707046693,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,Asset indicator: TLT <= 0.00,-0.016905328946677733,0.016905328946677733,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,5-day average return > 0.45,0.01673088796262048,0.01673088796262048,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,"MACD (12, 26) > 0.47",-0.015841264970065355,0.015841264970065355,0.029844211414456367,-0.5008453726768494
split_013_2018-04-02_2020-06-30,3,2020-05-19,IWM,10-day average return > 0.51,-0.014167719896759837,0.014167719896759837,0.029844211414456367,-0.5008453726768494
