split_name,case_id,date,ticker,y_true,y_pred,local_pred,intercept,fidelity_score,plain_english,top_positive_features,top_negative_features
split_032_2022-12-30_2025-04-04,1,2025-03-31,IWM,0.00010016941814683378,0.07760486006736755,-0.0419637542035417,0.01792350093839977,0.0872314667567683,"For IWM on 2025-03-31, the DNN predicted a negative next-period log return. Relative to the local surrogate baseline, the forecast moved strongly down. The main upward influences were 60-day momentum <= -0.62, 20-day momentum <= -0.71, Asset indicator: TLT <= 0.00. The main downward influences were 5-day average return <= -0.63, MACD histogram > 0.41, 10-day return volatility > 0.52.",60-day momentum <= -0.62; 20-day momentum <= -0.71; Asset indicator: TLT <= 0.00,5-day average return <= -0.63; MACD histogram > 0.41; 10-day return volatility > 0.52
split_032_2022-12-30_2025-04-04,2,2025-04-03,TLT,0.010828341357409954,-0.10107192397117615,-0.0026978038267896146,0.016383869159436265,0.06410402854507291,"For TLT on 2025-04-03, the DNN predicted a negative next-period log return. Relative to the local surrogate baseline, the forecast moved moderately down. The main upward influences were 5-day average return > 0.63, 0.01 < 10-day momentum <= 0.66, Asset indicator: IWM <= 0.00. The main downward influences were Asset indicator: TLT > 0.25, 60-day return volatility <= -0.81, 5-day momentum > 0.62.",5-day average return > 0.63; 0.01 < 10-day momentum <= 0.66; Asset indicator: IWM <= 0.00,Asset indicator: TLT > 0.25; 60-day return volatility <= -0.81; 5-day momentum > 0.62
split_032_2022-12-30_2025-04-04,3,2025-03-07,SPY,-0.02699664607644081,-0.09968631714582443,0.034164975159381224,-0.003726198338176121,0.081412221899131,"For SPY on 2025-03-07, the DNN predicted a positive next-period log return. Relative to the local surrogate baseline, the forecast moved moderately up. The main upward influences were 60-day momentum <= -0.62, MACD histogram <= -0.35, 20-day average Trading volume > 0.42. The main downward influences were 5-day average return <= -0.63, 20-day average return <= -0.70, 60-day average return <= -0.59.",60-day momentum <= -0.62; MACD histogram <= -0.35; 20-day average Trading volume > 0.42,5-day average return <= -0.63; 20-day average return <= -0.70; 60-day average return <= -0.59
