feature,mean_abs_weight,count_appears
5-day average return > 0.63,0.048366283093364035,1
5-day average return <= -0.63,0.042932116037937895,2
60-day momentum <= -0.62,0.030785505349454075,2
MACD histogram <= -0.35,0.024998525923159712,1
Asset indicator: TLT > 0.25,0.019663545554920763,1
MACD histogram > 0.41,0.0193824411201911,1
10-day return volatility > 0.52,0.01902782030650443,1
Asset indicator: TLT <= 0.00,0.018196357010244843,2
20-day average Trading volume > 0.42,0.017213357970855096,1
20-day momentum <= -0.71,0.01665899074862811,2
14-day RSI <= -0.76,0.015628492951414608,1
60-day return volatility <= -0.81,0.015429000720260877,1
5-day momentum > 0.62,0.01432178887114965,1
20-day average return <= -0.70,0.013755599095989833,1
60-day average return <= -0.59,0.012891884434741478,2
0.03 < 60-day momentum <= 0.67,0.012854340489552212,1
0.01 < 10-day momentum <= 0.66,0.012594110182814477,1
Asset indicator: IWM > 0.25,0.012162609393277932,1
MACD signal (9) <= -0.61,0.011812393688649506,2
10-day momentum <= -0.71,0.011516906467846536,1
0.04 < 14-day RSI <= 0.78,0.009918761433441742,1
-0.61 < MACD signal (9) <= -0.24,0.008139034868911583,1
Asset indicator: IWM <= 0.00,0.007361771802755239,1
-0.00 < MACD histogram <= 0.41,0.0070773661269228055,1
