split,model,train_start,train_end,test_start,test_end,n_reb,turnover_total,tc_total,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown
split_001_2015-03-31_2017-06-28,dnn_rl,2015-03-31,2017-03-29,2017-03-30,2017-06-28,3,2.0389340945938876,0.0020389340945938875,0.2120554881539336,0.05870505187412524,3.3061298314486782,5.320731663767338,0.04925398085631172,-0.009830465044751158
split_002_2015-06-30_2017-09-27,dnn_rl,2015-06-30,2017-06-28,2017-06-29,2017-09-27,3,2.402905752684539,0.002402905752684539,-0.037547552844289234,0.06365551308847715,-0.5697951110934707,-0.7424357893693989,-0.009522030510245583,-0.025665810240000475
split_003_2015-09-29_2017-12-27,dnn_rl,2015-09-29,2017-09-27,2017-09-28,2017-12-27,3,0.9267363239449764,0.0009267363239449765,0.15994927108998414,0.05734064072855894,2.616633702323696,3.824800030617519,0.03779063922554671,-0.018153880165424963
split_004_2015-12-29_2018-03-29,dnn_rl,2015-12-29,2017-12-27,2017-12-28,2018-03-29,3,2.0610350565312396,0.00206103505653124,-0.08501058012656271,0.10798029917168472,-0.7693912772315034,-0.9935073832520767,-0.021965852769589733,-0.061363459803587816
split_005_2016-03-31_2018-06-28,dnn_rl,2016-03-31,2018-03-29,2018-04-02,2018-06-28,3,1.0918585364522932,0.0010918585364522932,0.17529171443893987,0.09688277551440934,1.7154383370951711,2.408988901181961,0.04120541629414598,-0.029612128923060976
split_006_2016-06-29_2018-09-27,dnn_rl,2016-06-29,2018-06-28,2018-06-29,2018-09-27,3,2.2142894223781338,0.0022142894223781337,0.040563381134478105,0.07861121873026687,0.544560407454702,0.7664165628422186,0.009990141361506,-0.04783353502576093
split_007_2016-09-28_2018-12-28,dnn_rl,2016-09-28,2018-09-27,2018-09-28,2018-12-28,3,0.9772836991200531,0.000977283699120053,-0.5136635873685889,0.20206806611862604,-3.4628817541042856,-4.342670796054486,-0.16490824327194264,-0.20159178908862307
split_008_2016-12-28_2019-04-01,dnn_rl,2016-12-28,2018-12-28,2018-12-31,2019-04-01,3,2.1212933632745554,0.0021212933632745556,0.5647132882046735,0.08441606648882674,5.349657801858031,10.029371878850364,0.11842970364277261,-0.018293766503828413
split_009_2017-03-30_2019-07-01,dnn_rl,2017-03-30,2019-04-01,2019-04-02,2019-07-01,3,1.9738555351055522,0.0019738555351055524,0.1400654863295523,0.11678970607061369,1.180234944568691,1.7080451764313889,0.0333143236916309,-0.058275649786196926
split_010_2017-06-29_2019-09-30,dnn_rl,2017-06-29,2019-07-01,2019-07-02,2019-09-30,3,1.9978742976600687,0.0019978742976600686,0.17906532579761647,0.08802371219107985,1.9152269217685471,3.041838447825535,0.04204018407122767,-0.02515245163000157
split_011_2017-09-28_2019-12-30,dnn_rl,2017-09-28,2019-09-30,2019-10-01,2019-12-30,3,3.062088657904856,0.003062088657904856,0.06154232159090478,0.06485415213720425,0.9528795484453924,1.4719487929334358,0.015042737728813815,-0.019308255232800664
split_012_2017-12-28_2020-03-31,dnn_rl,2017-12-28,2019-12-30,2019-12-31,2020-03-31,3,1.7401348064140003,0.0017401348064140004,-0.4499880403914621,0.3683727966912352,-1.435993668004822,-1.7211778774386108,-0.1388217885755787,-0.2758002813882505
split_013_2018-04-02_2020-06-30,dnn_rl,2018-04-02,2020-03-31,2020-04-01,2020-06-30,3,2.1104743130516175,0.0021104743130516174,0.8046389833776997,0.3101210557999448,2.0586484811688934,3.0913742343700226,0.15903775652954044,-0.06932860885343028
split_014_2018-06-29_2020-09-29,dnn_rl,2018-06-29,2020-06-30,2020-07-01,2020-09-29,3,0.8545741988677523,0.0008545741988677523,0.1303556848249865,0.0882916762652773,1.43161163964223,2.123660074930244,0.03110710800536487,-0.036037377007467564
split_015_2018-09-28_2020-12-29,dnn_rl,2018-09-28,2020-09-29,2020-09-30,2020-12-29,3,1.0321675695183783,0.0010321675695183783,0.1737910289041562,0.08212316895776407,1.9921414511560438,3.3696274438196587,0.04087288807637646,-0.04041759327797001
split_016_2018-12-31_2021-03-31,dnn_rl,2018-12-31,2020-12-29,2020-12-30,2021-03-31,3,0.7814496316553431,0.0007814496316553431,-0.20840484981652863,0.09881114791826191,-2.315403045316088,-2.948024528736305,-0.05675224288585479,-0.06860974042263024
split_017_2019-04-02_2021-06-30,dnn_rl,2019-04-02,2021-03-31,2021-04-01,2021-06-30,3,1.9226121884509917,0.0019226121884509918,0.27560419190203445,0.09182458113215453,2.697374466931919,4.278150641292893,0.06274478970585196,-0.033005918592632244
split_018_2019-07-02_2021-09-29,dnn_rl,2019-07-02,2021-06-30,2021-07-01,2021-09-29,3,1.800532020833545,0.001800532020833545,-0.06495845548566304,0.09749817041654019,-0.6407352207725246,-0.864670506517417,-0.016650895048450076,-0.035751576752970915
split_019_2019-10-01_2021-12-29,dnn_rl,2019-10-01,2021-09-29,2021-09-30,2021-12-29,3,0.7773583490671097,0.0007773583490671097,0.1358735492842027,0.08501637791607436,1.5408077091290506,2.268398198919221,0.032363155954376,-0.03397883070642882
split_020_2019-12-31_2022-03-30,dnn_rl,2019-12-31,2021-12-29,2021-12-30,2022-03-30,3,1.6963835625184056,0.0016963835625184056,-0.07759691589839712,0.15819839163747015,-0.4327815659491515,-0.6243292399603773,-0.019990723570288305,-0.09540455585089613
split_021_2020-04-01_2022-06-30,dnn_rl,2020-04-01,2022-03-30,2022-03-31,2022-06-30,3,2.0328332145882833,0.0020328332145882833,-0.48839782622397343,0.24805641513465657,-2.575512252049049,-3.165475098911359,-0.15426735356014254,-0.17746265247301762
split_022_2020-07-01_2022-09-29,dnn_rl,2020-07-01,2022-06-30,2022-07-01,2022-09-29,3,1.9972906321204378,0.0019972906321204377,-0.3048871589566582,0.18521791061170254,-1.8706995340666432,-2.3937824480357133,-0.08690949252540325,-0.14750632041251632
split_023_2020-09-30_2022-12-29,dnn_rl,2020-09-30,2022-09-29,2022-09-30,2022-12-29,3,1.4034193922556306,0.0014034193922556307,0.2703510242860827,0.2052994091143589,1.2662989751187539,2.185806779754143,0.06164895235709311,-0.06605522340843573
split_024_2020-12-30_2023-03-31,dnn_rl,2020-12-30,2022-12-29,2022-12-30,2023-03-31,3,0.9443091962622358,0.0009443091962622358,0.25227881403213837,0.149889454272913,1.5752777600043777,2.382093066052834,0.05785284482962627,-0.08146843610915433
split_025_2021-04-01_2023-07-03,dnn_rl,2021-04-01,2023-03-31,2023-04-03,2023-07-03,3,0.9400094590375108,0.0009400094590375108,0.27827406390620535,0.11678439867583836,2.1605906126137944,3.743801525782737,0.06330044173906368,-0.026605920242278258
split_026_2021-07-01_2023-10-02,dnn_rl,2021-07-01,2023-07-03,2023-07-05,2023-10-02,3,0.9217454864669566,0.0009217454864669566,-0.18380264169589078,0.11347345611107018,-1.733194038358291,-2.2158112276776176,-0.04950727709048619,-0.08467846214178609
split_027_2021-09-30_2024-01-02,dnn_rl,2021-09-30,2023-10-02,2023-10-03,2024-01-02,3,0.873960608049272,0.000873960608049272,0.585320590907034,0.13682583706016302,3.437881534148615,5.9440599034052,0.1220940903856047,-0.061041850863725045
split_028_2021-12-30_2024-04-03,dnn_rl,2021-12-30,2024-01-02,2024-01-03,2024-04-03,3,1.0463074267883266,0.0010463074267883265,0.32060354170690797,0.1045427172060603,2.712947903897776,4.390275890456956,0.07199587550737752,-0.018964797413826506
split_029_2022-03-31_2024-07-03,dnn_rl,2022-03-31,2024-04-03,2024-04-04,2024-07-03,3,1.7760888127065055,0.0017760888127065055,0.16789216998909695,0.10445604920658308,1.5376820933978126,2.3076484525120975,0.039562695867882525,-0.046491740099559586
split_030_2022-07-01_2024-10-02,dnn_rl,2022-07-01,2024-07-03,2024-07-05,2024-10-02,3,1.6921172683710397,0.0016921172683710397,0.1423799263953609,0.13513640571925437,1.0519040406561153,1.5028007418824791,0.03383835621560194,-0.07370622438573093
split_031_2022-09-30_2025-01-02,dnn_rl,2022-09-30,2024-10-02,2024-10-03,2025-01-02,3,1.355436259053436,0.0013554362590534358,-0.055106708206333344,0.11461713017585987,-0.43788042847986935,-0.5727029812721063,-0.014070885695785629,-0.05057872205427805
split_032_2022-12-30_2025-04-04,dnn_rl,2022-12-30,2025-01-02,2025-01-03,2025-04-04,3,1.4723462671864516,0.0014723462671864516,-0.032463567446263775,0.10695507931855537,-0.25588056620850314,-0.35261005375352156,-0.008216607227758521,-0.046066545274489834
split_033_2023-04-03_2025-07-08,dnn_rl,2023-04-03,2025-04-04,2025-04-07,2025-07-08,3,2.1019546221447873,0.0021019546221447876,0.9854760201093571,0.18855319021380645,3.733856647855694,7.27362730830507,0.18704220794769544,-0.026724723137258488
split_034_2023-07-05_2025-10-06,dnn_rl,2023-07-05,2025-07-08,2025-07-09,2025-10-06,3,2.028912668417445,0.002028912668417445,0.24964433976396827,0.09789632813991461,2.325590344526291,3.820120374405999,0.057296042431526084,-0.03573852910762132
