date,Markowitz,Black-Litterman,DNN-only,DNN+RL
2022-03-31,0.9864991046364436,0.9843925474011898,0.987393091750274,0.9939388993808216
2022-04-01,0.991416206396926,0.990133842813026,0.9957962254900654,0.9994661508485208
2022-04-04,0.9963402848666458,0.996326433430716,0.9985384196603576,0.9979500673412282
2022-04-05,0.9807517256240348,0.9812741006644916,0.9792678267409954,0.9786822070407648
2022-04-06,0.9703572300686945,0.9702360749031778,0.9671637042911404,0.9691104630096636
2022-04-07,0.9721418424719904,0.9729201826279508,0.9663332528118226,0.9660008019248496
2022-04-08,0.968130440553894,0.969817211508912,0.9610651312347362,0.9592719226936718
2022-04-11,0.95398050418123,0.9565511035818096,0.9510926414594538,0.9458266127414228
2022-04-12,0.951234256362037,0.953684321896634,0.9503410033448606,0.9433761617150648
2022-04-13,0.9619115593409666,0.9659864041898384,0.9639543813218509,0.949880836287036
2022-04-14,0.9503005864222788,0.9559697207398888,0.954208141892831,0.9359728787152336
2022-04-18,0.948301724213339,0.9537953217502072,0.949465298881462,0.931726881412868
2022-04-19,0.9598469244197236,0.9678686680821774,0.9624316373434378,0.9328404909794028
2022-04-20,0.963280201365702,0.9694451035555164,0.967177414197172,0.9446386624444496
2022-04-21,0.9492959906305374,0.9542196866989024,0.950533339760016,0.9345740329669708
2022-04-22,0.927405286765718,0.9303737712212706,0.9291332906068932,0.9220533090567458
2022-04-25,0.932106034813842,0.933930551828524,0.9329733696656358,0.927443066716326
2022-04-26,0.9096568426920192,0.9065653718105356,0.9081415395779432,0.9202792752853614
2022-04-27,0.9096285848597112,0.908097351310866,0.9065534446607008,0.914754197372749
2022-04-28,0.9276477165219996,0.9278586827251049,0.922460209633914,0.9232694148201712
2022-04-29,0.9002832495881108,0.8996222448898678,0.8988786022984597,0.9069137376361284
2022-05-02,0.903974076098218,0.9039910068903176,0.8978077067501194,0.911695707320364
2022-05-03,0.9092901702042692,0.9095220040586444,0.9030954899443874,0.9187049973747656
2022-05-04,0.9334124900320362,0.9336942587541596,0.9234000715609368,0.9414371534094652
2022-05-05,0.9004257737339365,0.9002433596793626,0.892698970557349,0.9060026992245106
2022-05-06,0.8928556422252366,0.8920056457142111,0.8851190765746509,0.8938664550893979
2022-05-09,0.8634864463003877,0.8619121135738597,0.8623030578696047,0.8607655938835926
2022-05-10,0.866431399745949,0.8645937196152292,0.8666749192432616,0.8628649191895542
2022-05-11,0.8538914750599176,0.8512363098430847,0.8601224257154402,0.8469958194477119
2022-05-12,0.8541618391853846,0.8523968752933658,0.8587016822306744,0.8523045788678356
2022-05-13,0.8763569005958479,0.8749823293093058,0.8758497421444552,0.8769895896274507
2022-05-16,0.8738634268509877,0.8723271536263105,0.8741883346896658,0.874134342346676
2022-05-17,0.8925808379990179,0.8917470757465231,0.8876662983976275,0.8965625201790759
2022-05-18,0.86111804501661,0.8602922351958421,0.864524560998934,0.8675696169920246
2022-05-19,0.860331069502291,0.8596719495205434,0.8650320873386778,0.8696787464818937
2022-05-20,0.8618131480592597,0.860802686581297,0.8686542469481965,0.8699689829475067
2022-05-23,0.8767679449045163,0.8753301450706774,0.8801892593488783,0.882001632705789
2022-05-24,0.8706204289229496,0.868554350243467,0.8786437257051332,0.8730856320699957
2022-05-25,0.8774279905352297,0.8761736664865829,0.8831717274211254,0.8837492898927694
2022-05-26,0.8931654679686661,0.8922607276259026,0.8950698693933088,0.9004499918481081
2022-05-27,0.9124336975382356,0.9119753813939984,0.9103940864644396,0.9208635622613092
2022-05-31,0.9063865946421416,0.905449304582748,0.9032333545520448,0.9116572794490476
2022-06-01,0.8987794118316409,0.8980973595593835,0.8957473840985026,0.905551046969806
2022-06-02,0.9169914865056548,0.9165514609405834,0.9147681277207476,0.9225040525798088
2022-06-03,0.903417618475678,0.9033617336746488,0.9024793285285578,0.9130458477825618
2022-06-06,0.9065603452176736,0.9065296154458624,0.9057708919085852,0.9132480676553694
2022-06-07,0.914574839692486,0.9154266737820688,0.9157513535487554,0.9237131439844564
2022-06-08,0.9033052107805688,0.9040302238625244,0.9038778338869468,0.9115041631190742
2022-06-09,0.8828624896841811,0.8836005367168804,0.8837349396530974,0.8957209391591522
2022-06-10,0.8585999831371781,0.8591343302832039,0.8593158966614258,0.874778696828682
2022-06-13,0.8259655474239578,0.8255860739003824,0.8244871057561166,0.839799857831831
2022-06-14,0.821903177404213,0.821793671196677,0.8207142139884374,0.8341744303103656
2022-06-15,0.8346070384132022,0.8342556167876805,0.8330488039365348,0.8475584523012624
2022-06-16,0.8077704026215332,0.8059225949487909,0.8028072561031998,0.8220982366619451
2022-06-17,0.8088822041568378,0.8077400603689648,0.8054712847435802,0.8251199341610806
2022-06-21,0.8263184682237456,0.8252891046940997,0.8224885835033687,0.8357341390756429
2022-06-22,0.8237679064724381,0.8230284009387703,0.8203968776900611,0.837477764741649
2022-06-23,0.8297912146472263,0.8298311754102174,0.8278112211822481,0.8444906476830167
2022-06-24,0.8556676591817982,0.8557714001233147,0.8536595336907209,0.8642574644254928
2022-06-27,0.8532338236551475,0.8538548782327664,0.8526720555377366,0.8631528498864064
2022-06-28,0.8389914069157299,0.8388695222976326,0.8374120739563304,0.8521049823485592
2022-06-29,0.836540174477594,0.8360016856152818,0.8335503033514261,0.8496505035635838
2022-06-30,0.8303657906334504,0.829689077117414,0.8271992762688511,0.8457326464398575
