date,dnn_only_gross,dnn_only_net
2018-09-28,0.9977470437685648,0.9967470437685648
2018-10-01,0.9922188418300862,0.9912243825149452
2018-10-02,0.993669117449527,0.9926732045839811
2018-10-03,0.9843097557814112,0.9833232234113792
2018-10-04,0.9757419025025392,0.9747639573323715
2018-10-05,0.9680264115822975,0.9670561993249642
2018-10-08,0.9651811610387604,0.9642138004566702
2018-10-09,0.9700213831971081,0.9690491714634273
2018-10-10,0.9578789555900491,0.9569189137021051
2018-10-11,0.9578334326129001,0.9568734363507262
2018-10-12,0.9580924483263916,0.9571321924636355
2018-10-15,0.9572977201966739,0.9563382608565782
2018-10-16,0.9672788607175051,0.9663093976990391
2018-10-17,0.9625712938229881,0.9616065490013075
2018-10-18,0.9560381521470268,0.9550799552191404
2018-10-19,0.9540860138942179,0.9531297735125973
2018-10-22,0.9519272000571675,0.9509731233640795
2018-10-23,0.9507553523055369,0.9498024501062837
2018-10-24,0.9428587763252798,0.941913788532819
2018-10-25,0.9470549580803532,0.9461057646309764
2018-10-26,0.9460265649607617,0.9450784022266608
2018-10-29,0.9417439908715919,0.9396660262991469
2018-10-30,0.9566928531550954,0.9545819038155327
2018-10-31,0.9629869990336547,0.9608621616180583
2018-11-01,0.9780220512620167,0.9758640389005983
2018-11-02,0.9778649546998414,0.9757072889730644
2018-11-05,0.9792415258445061,0.9770808227040606
2018-11-06,0.9841957871510817,0.9820241523990969
2018-11-07,1.0012565627429266,0.9990472832726298
2018-11-08,0.9962850723463625,0.9940867625037103
2018-11-09,0.9847474054994799,0.9825745535978274
2018-11-12,0.9667872856421164,0.9646540628680635
2018-11-13,0.9667078720773659,0.9645748245298881
2018-11-14,0.9626003321481836,0.9604763479157209
2018-11-15,0.9713772500285329,0.9692338994665928
2018-11-16,0.9733097031544033,0.9711620886213921
2018-11-19,0.95860713457159,0.9564919613569574
2018-11-20,0.9410308773286211,0.9389544862460977
2018-11-21,0.9511861617807086,0.9490873629934171
2018-11-23,0.9467032901750321,0.944614382874673
2018-11-26,0.9606053823819027,0.9584858000197767
2018-11-27,0.9575783946845923,0.9554654913915733
2018-11-28,0.9761351257102361,0.9734026005544327
2018-11-29,0.9723346097545497,0.9696127235002472
2018-11-30,0.9726975185605519,0.9699746164044387
2018-12-03,0.9838135892883603,0.981059569572703
2018-12-04,0.9502584805511285,0.9475983926860063
2018-12-06,0.9447168383189571,0.9420722633438079
2018-12-07,0.9298398345712617,0.9272369052514248
2018-12-10,0.9248460936569979,0.9222571434700805
2018-12-11,0.9258559531839731,0.9232641760661435
2018-12-12,0.9371344256258132,0.9345110763323139
2018-12-13,0.9297675635184444,0.927164836509194
2018-12-14,0.9167572799923954,0.914190973070982
2018-12-17,0.9030300407941872,0.9005021609567305
2018-12-18,0.9028520832464616,0.9003247015710554
2018-12-19,0.8892108451541975,0.8867216498172004
2018-12-20,0.8801653050097944,0.8777014311322361
2018-12-21,0.8611509793043514,0.8587403328150329
2018-12-24,0.8478481534283607,0.8454747459496997
2018-12-26,0.8778657825796508,0.8754083458261351
2018-12-27,0.8809677219873593,0.8785016018792137
2018-12-28,0.8845899443579558,0.8821136844510397
