rebalance_date,turnover,tc,w_EFA,w_IWM,w_SPY,w_TLT
2020-12-30,1.0,0.001,0.0,0.0,0.42203,0.57797
2021-02-01,0.011280000000000012,1.1280000000000012e-05,0.0,0.0,0.41639,0.58361
2021-03-03,0.06247999999999993,6.247999999999993e-05,0.0,0.01548,0.43215,0.55237
