rebalance_date,turnover,tc,w_EFA,w_IWM,w_SPY,w_TLT
2024-04-04,1.0,0.001,0.25,0.25,0.25,0.25
2024-05-03,0.0,0.0,0.25,0.25,0.25,0.25
2024-06-04,0.0,0.0,0.25,0.25,0.25,0.25
