rebalance_date,turnover,tc,w_EFA,w_IWM,w_SPY,w_TLT
2019-07-02,1.0,0.001,0.25,0.25,0.25,0.25
2019-08-01,0.0,0.0,0.25,0.25,0.25,0.25
2019-08-30,0.0,0.0,0.25,0.25,0.25,0.25
