rebalance_date,turnover,tc,w_EFA,w_IWM,w_SPY,w_TLT
2021-04-01,1.0,0.001,0.01854,0.20191,0.33744,0.44211
2021-05-03,0.08165999999999995,8.165999999999996e-05,0.03384,0.16108,0.34717,0.45791
2021-06-02,0.18304,0.00018304,0.07609,0.18759,0.36993,0.36639
