rebalance_date,turnover,tc,w_EFA,w_IWM,w_SPY,w_TLT
2017-12-28,1.0,0.001,0.25,0.25,0.25,0.25
2018-01-30,0.0,0.0,0.25,0.25,0.25,0.25
2018-03-01,0.0,0.0,0.25,0.25,0.25,0.25
